cluster,scene,image,split
collapsed_building_c0250,collapsed_building_image0001,collapsed_building_image0001_0.png,test
collapsed_building_c0250,collapsed_building_image0001,collapsed_building_image0001_1.png,test
collapsed_building_c0250,collapsed_building_image0001,collapsed_building_image0001_2.png,test
collapsed_building_c0250,collapsed_building_image0001,collapsed_building_image0001_3.png,test
collapsed_building_c0250,collapsed_building_image0001,collapsed_building_image0001_4.png,test
collapsed_building_c0347,collapsed_building_image0002,collapsed_building_image0002_0.png,train
collapsed_building_c0347,collapsed_building_image0002,collapsed_building_image0002_1.png,train
collapsed_building_c0347,collapsed_building_image0002,collapsed_building_image0002_2.png,train
collapsed_building_c0347,collapsed_building_image0002,collapsed_building_image0002_3.png,train
collapsed_building_c0347,collapsed_building_image0002,collapsed_building_image0002_4.png,train
collapsed_building_c0393,collapsed_building_image0003,collapsed_building_image0003_0.png,val
collapsed_building_c0393,collapsed_building_image0003,collapsed_building_image0003_1.png,val
collapsed_building_c0393,collapsed_building_image0003,collapsed_building_image0003_2.png,val
collapsed_building_c0393,collapsed_building_image0003,collapsed_building_image0003_3.png,val
collapsed_building_c0393,collapsed_building_image0003,collapsed_building_image0003_4.png,val
collapsed_building_c0453,collapsed_building_image0004,collapsed_building_image0004_0.png,val
collapsed_building_c0453,collapsed_building_image0004,collapsed_building_image0004_1.png,val
collapsed_building_c0453,collapsed_building_image0004,collapsed_building_image0004_2.png,val
collapsed_building_c0453,collapsed_building_image0004,collapsed_building_image0004_3.png,val
collapsed_building_c0453,collapsed_building_image0004,collapsed_building_image0004_4.png,val
collapsed_building_c0478,collapsed_building_image0005,collapsed_building_image0005_0.png,test
collapsed_building_c0478,collapsed_building_image0005,collapsed_building_image0005_1.png,test
collapsed_building_c0478,collapsed_building_image0005,collapsed_building_image0005_2.png,test
collapsed_building_c0478,collapsed_building_image0005,collapsed_building_image0005_3.png,test
collapsed_building_c0478,collapsed_building_image0005,collapsed_building_image0005_4.png,test
collapsed_building_c0430,collapsed_building_image0006,collapsed_building_image0006_0.png,test
collapsed_building_c0430,collapsed_building_image0006,collapsed_building_image0006_1.png,test
collapsed_building_c0430,collapsed_building_image0006,collapsed_building_image0006_2.png,test
collapsed_building_c0430,collapsed_building_image0006,collapsed_building_image0006_3.png,test
collapsed_building_c0430,collapsed_building_image0006,collapsed_building_image0006_4.png,test
collapsed_building_c0482,collapsed_building_image0007,collapsed_building_image0007_0.png,train
collapsed_building_c0482,collapsed_building_image0007,collapsed_building_image0007_1.png,train
collapsed_building_c0482,collapsed_building_image0007,collapsed_building_image0007_2.png,train
collapsed_building_c0482,collapsed_building_image0007,collapsed_building_image0007_3.png,train
collapsed_building_c0482,collapsed_building_image0007,collapsed_building_image0007_4.png,train
collapsed_building_c0378,collapsed_building_image0008,collapsed_building_image0008_0.png,val
collapsed_building_c0378,collapsed_building_image0008,collapsed_building_image0008_1.png,val
collapsed_building_c0378,collapsed_building_image0008,collapsed_building_image0008_2.png,val
collapsed_building_c0378,collapsed_building_image0008,collapsed_building_image0008_3.png,val
collapsed_building_c0378,collapsed_building_image0008,collapsed_building_image0008_4.png,val
collapsed_building_c0064,collapsed_building_image0009,collapsed_building_image0009_0.png,train
collapsed_building_c0064,collapsed_building_image0009,collapsed_building_image0009_1.png,train
collapsed_building_c0064,collapsed_building_image0009,collapsed_building_image0009_2.png,train
collapsed_building_c0064,collapsed_building_image0009,collapsed_building_image0009_3.png,train
collapsed_building_c0064,collapsed_building_image0009,collapsed_building_image0009_4.png,train
collapsed_building_c0203,collapsed_building_image0010,collapsed_building_image0010_0.png,train
collapsed_building_c0203,collapsed_building_image0010,collapsed_building_image0010_1.png,train
collapsed_building_c0203,collapsed_building_image0010,collapsed_building_image0010_2.png,train
collapsed_building_c0203,collapsed_building_image0010,collapsed_building_image0010_3.png,train
collapsed_building_c0203,collapsed_building_image0010,collapsed_building_image0010_4.png,train
collapsed_building_c0443,collapsed_building_image0011,collapsed_building_image0011_0.png,train
collapsed_building_c0443,collapsed_building_image0011,collapsed_building_image0011_1.png,train
collapsed_building_c0443,collapsed_building_image0011,collapsed_building_image0011_2.png,train
collapsed_building_c0443,collapsed_building_image0011,collapsed_building_image0011_3.png,train
collapsed_building_c0443,collapsed_building_image0011,collapsed_building_image0011_4.png,train
collapsed_building_c0357,collapsed_building_image0012,collapsed_building_image0012_0.png,val
collapsed_building_c0357,collapsed_building_image0012,collapsed_building_image0012_1.png,val
collapsed_building_c0357,collapsed_building_image0012,collapsed_building_image0012_2.png,val
collapsed_building_c0357,collapsed_building_image0012,collapsed_building_image0012_3.png,val
collapsed_building_c0357,collapsed_building_image0012,collapsed_building_image0012_4.png,val
collapsed_building_c0405,collapsed_building_image0013,collapsed_building_image0013_0.png,val
collapsed_building_c0405,collapsed_building_image0013,collapsed_building_image0013_1.png,val
collapsed_building_c0405,collapsed_building_image0013,collapsed_building_image0013_2.png,val
collapsed_building_c0405,collapsed_building_image0013,collapsed_building_image0013_3.png,val
collapsed_building_c0405,collapsed_building_image0013,collapsed_building_image0013_4.png,val
collapsed_building_c0260,collapsed_building_image0014,collapsed_building_image0014_0.png,train
collapsed_building_c0260,collapsed_building_image0014,collapsed_building_image0014_1.png,train
collapsed_building_c0260,collapsed_building_image0014,collapsed_building_image0014_2.png,train
collapsed_building_c0260,collapsed_building_image0014,collapsed_building_image0014_3.png,train
collapsed_building_c0260,collapsed_building_image0014,collapsed_building_image0014_4.png,train
collapsed_building_c0164,collapsed_building_image0015,collapsed_building_image0015_0.png,train
collapsed_building_c0164,collapsed_building_image0015,collapsed_building_image0015_1.png,train
collapsed_building_c0164,collapsed_building_image0015,collapsed_building_image0015_2.png,train
collapsed_building_c0164,collapsed_building_image0015,collapsed_building_image0015_3.png,train
collapsed_building_c0164,collapsed_building_image0015,collapsed_building_image0015_4.png,train
collapsed_building_c0134,collapsed_building_image0016,collapsed_building_image0016_0.png,train
collapsed_building_c0134,collapsed_building_image0016,collapsed_building_image0016_1.png,train
collapsed_building_c0134,collapsed_building_image0016,collapsed_building_image0016_2.png,train
collapsed_building_c0134,collapsed_building_image0016,collapsed_building_image0016_3.png,train
collapsed_building_c0134,collapsed_building_image0016,collapsed_building_image0016_4.png,train
collapsed_building_c0409,collapsed_building_image0017,collapsed_building_image0017_0.png,test
collapsed_building_c0409,collapsed_building_image0017,collapsed_building_image0017_1.png,test
collapsed_building_c0409,collapsed_building_image0017,collapsed_building_image0017_2.png,test
collapsed_building_c0409,collapsed_building_image0017,collapsed_building_image0017_3.png,test
collapsed_building_c0409,collapsed_building_image0017,collapsed_building_image0017_4.png,test
collapsed_building_c0154,collapsed_building_image0018,collapsed_building_image0018_0.png,train
collapsed_building_c0154,collapsed_building_image0018,collapsed_building_image0018_1.png,train
collapsed_building_c0154,collapsed_building_image0018,collapsed_building_image0018_2.png,train
collapsed_building_c0154,collapsed_building_image0018,collapsed_building_image0018_3.png,train
collapsed_building_c0154,collapsed_building_image0018,collapsed_building_image0018_4.png,train
collapsed_building_c0275,collapsed_building_image0019,collapsed_building_image0019_0.png,train
collapsed_building_c0275,collapsed_building_image0019,collapsed_building_image0019_1.png,train
collapsed_building_c0275,collapsed_building_image0019,collapsed_building_image0019_2.png,train
collapsed_building_c0275,collapsed_building_image0019,collapsed_building_image0019_3.png,train
collapsed_building_c0275,collapsed_building_image0019,collapsed_building_image0019_4.png,train
collapsed_building_c0093,collapsed_building_image0020,collapsed_building_image0020_0.png,train
collapsed_building_c0093,collapsed_building_image0020,collapsed_building_image0020_1.png,train
collapsed_building_c0093,collapsed_building_image0020,collapsed_building_image0020_2.png,train
collapsed_building_c0093,collapsed_building_image0020,collapsed_building_image0020_3.png,train
collapsed_building_c0093,collapsed_building_image0020,collapsed_building_image0020_4.png,train
collapsed_building_c0162,collapsed_building_image0021,collapsed_building_image0021_0.png,train
collapsed_building_c0162,collapsed_building_image0021,collapsed_building_image0021_1.png,train
collapsed_building_c0162,collapsed_building_image0021,collapsed_building_image0021_2.png,train
collapsed_building_c0162,collapsed_building_image0021,collapsed_building_image0021_3.png,train
collapsed_building_c0162,collapsed_building_image0021,collapsed_building_image0021_4.png,train
collapsed_building_c0195,collapsed_building_image0022,collapsed_building_image0022_0.png,train
collapsed_building_c0195,collapsed_building_image0022,collapsed_building_image0022_1.png,train
collapsed_building_c0195,collapsed_building_image0022,collapsed_building_image0022_2.png,train
collapsed_building_c0195,collapsed_building_image0022,collapsed_building_image0022_3.png,train
collapsed_building_c0195,collapsed_building_image0022,collapsed_building_image0022_4.png,train
collapsed_building_c0459,collapsed_building_image0023,collapsed_building_image0023_0.png,val
collapsed_building_c0459,collapsed_building_image0023,collapsed_building_image0023_1.png,val
collapsed_building_c0459,collapsed_building_image0023,collapsed_building_image0023_2.png,val
collapsed_building_c0459,collapsed_building_image0023,collapsed_building_image0023_3.png,val
collapsed_building_c0459,collapsed_building_image0023,collapsed_building_image0023_4.png,val
collapsed_building_c0177,collapsed_building_image0024,collapsed_building_image0024_0.png,train
collapsed_building_c0177,collapsed_building_image0024,collapsed_building_image0024_1.png,train
collapsed_building_c0177,collapsed_building_image0024,collapsed_building_image0024_2.png,train
collapsed_building_c0177,collapsed_building_image0024,collapsed_building_image0024_3.png,train
collapsed_building_c0177,collapsed_building_image0024,collapsed_building_image0024_4.png,train
collapsed_building_c0251,collapsed_building_image0025,collapsed_building_image0025_0.png,train
collapsed_building_c0251,collapsed_building_image0025,collapsed_building_image0025_1.png,train
collapsed_building_c0251,collapsed_building_image0025,collapsed_building_image0025_2.png,train
collapsed_building_c0251,collapsed_building_image0025,collapsed_building_image0025_3.png,train
collapsed_building_c0251,collapsed_building_image0025,collapsed_building_image0025_4.png,train
collapsed_building_c0200,collapsed_building_image0026,collapsed_building_image0026_0.png,train
collapsed_building_c0200,collapsed_building_image0026,collapsed_building_image0026_1.png,train
collapsed_building_c0200,collapsed_building_image0026,collapsed_building_image0026_2.png,train
collapsed_building_c0200,collapsed_building_image0026,collapsed_building_image0026_3.png,train
collapsed_building_c0200,collapsed_building_image0026,collapsed_building_image0026_4.png,train
collapsed_building_c0346,collapsed_building_image0027,collapsed_building_image0027_0.png,test
collapsed_building_c0346,collapsed_building_image0027,collapsed_building_image0027_1.png,test
collapsed_building_c0346,collapsed_building_image0027,collapsed_building_image0027_2.png,test
collapsed_building_c0346,collapsed_building_image0027,collapsed_building_image0027_3.png,test
collapsed_building_c0346,collapsed_building_image0027,collapsed_building_image0027_4.png,test
collapsed_building_c0076,collapsed_building_image0028,collapsed_building_image0028_0.png,train
collapsed_building_c0076,collapsed_building_image0028,collapsed_building_image0028_1.png,train
collapsed_building_c0076,collapsed_building_image0028,collapsed_building_image0028_2.png,train
collapsed_building_c0076,collapsed_building_image0028,collapsed_building_image0028_3.png,train
collapsed_building_c0076,collapsed_building_image0028,collapsed_building_image0028_4.png,train
collapsed_building_c0246,collapsed_building_image0029,collapsed_building_image0029_0.png,val
collapsed_building_c0246,collapsed_building_image0029,collapsed_building_image0029_1.png,val
collapsed_building_c0246,collapsed_building_image0029,collapsed_building_image0029_2.png,val
collapsed_building_c0246,collapsed_building_image0029,collapsed_building_image0029_3.png,val
collapsed_building_c0246,collapsed_building_image0029,collapsed_building_image0029_4.png,val
collapsed_building_c0187,collapsed_building_image0030,collapsed_building_image0030_0.png,train
collapsed_building_c0187,collapsed_building_image0030,collapsed_building_image0030_1.png,train
collapsed_building_c0187,collapsed_building_image0030,collapsed_building_image0030_2.png,train
collapsed_building_c0187,collapsed_building_image0030,collapsed_building_image0030_3.png,train
collapsed_building_c0187,collapsed_building_image0030,collapsed_building_image0030_4.png,train
collapsed_building_c0379,collapsed_building_image0031,collapsed_building_image0031_0.png,test
collapsed_building_c0379,collapsed_building_image0031,collapsed_building_image0031_1.png,test
collapsed_building_c0379,collapsed_building_image0031,collapsed_building_image0031_2.png,test
collapsed_building_c0379,collapsed_building_image0031,collapsed_building_image0031_3.png,test
collapsed_building_c0379,collapsed_building_image0031,collapsed_building_image0031_4.png,test
collapsed_building_c0133,collapsed_building_image0032,collapsed_building_image0032_0.png,train
collapsed_building_c0133,collapsed_building_image0032,collapsed_building_image0032_1.png,train
collapsed_building_c0133,collapsed_building_image0032,collapsed_building_image0032_2.png,train
collapsed_building_c0133,collapsed_building_image0032,collapsed_building_image0032_3.png,train
collapsed_building_c0133,collapsed_building_image0032,collapsed_building_image0032_4.png,train
collapsed_building_c0091,collapsed_building_image0033,collapsed_building_image0033_0.png,train
collapsed_building_c0091,collapsed_building_image0033,collapsed_building_image0033_1.png,train
collapsed_building_c0091,collapsed_building_image0033,collapsed_building_image0033_2.png,train
collapsed_building_c0091,collapsed_building_image0033,collapsed_building_image0033_3.png,train
collapsed_building_c0091,collapsed_building_image0033,collapsed_building_image0033_4.png,train
collapsed_building_c0310,collapsed_building_image0034,collapsed_building_image0034_0.png,test
collapsed_building_c0310,collapsed_building_image0034,collapsed_building_image0034_1.png,test
collapsed_building_c0310,collapsed_building_image0034,collapsed_building_image0034_2.png,test
collapsed_building_c0310,collapsed_building_image0034,collapsed_building_image0034_3.png,test
collapsed_building_c0310,collapsed_building_image0034,collapsed_building_image0034_4.png,test
collapsed_building_c0432,collapsed_building_image0035,collapsed_building_image0035_0.png,val
collapsed_building_c0432,collapsed_building_image0035,collapsed_building_image0035_1.png,val
collapsed_building_c0432,collapsed_building_image0035,collapsed_building_image0035_2.png,val
collapsed_building_c0432,collapsed_building_image0035,collapsed_building_image0035_3.png,val
collapsed_building_c0432,collapsed_building_image0035,collapsed_building_image0035_4.png,val
collapsed_building_c0469,collapsed_building_image0036,collapsed_building_image0036_0.png,test
collapsed_building_c0469,collapsed_building_image0036,collapsed_building_image0036_1.png,test
collapsed_building_c0469,collapsed_building_image0036,collapsed_building_image0036_2.png,test
collapsed_building_c0469,collapsed_building_image0036,collapsed_building_image0036_3.png,test
collapsed_building_c0469,collapsed_building_image0036,collapsed_building_image0036_4.png,test
collapsed_building_c0108,collapsed_building_image0037,collapsed_building_image0037_0.png,train
collapsed_building_c0108,collapsed_building_image0037,collapsed_building_image0037_1.png,train
collapsed_building_c0108,collapsed_building_image0037,collapsed_building_image0037_2.png,train
collapsed_building_c0108,collapsed_building_image0037,collapsed_building_image0037_3.png,train
collapsed_building_c0108,collapsed_building_image0037,collapsed_building_image0037_4.png,train
collapsed_building_c0276,collapsed_building_image0038,collapsed_building_image0038_0.png,val
collapsed_building_c0276,collapsed_building_image0038,collapsed_building_image0038_1.png,val
collapsed_building_c0276,collapsed_building_image0038,collapsed_building_image0038_2.png,val
collapsed_building_c0276,collapsed_building_image0038,collapsed_building_image0038_3.png,val
collapsed_building_c0276,collapsed_building_image0038,collapsed_building_image0038_4.png,val
collapsed_building_c0501,collapsed_building_image0039,collapsed_building_image0039_0.png,val
collapsed_building_c0501,collapsed_building_image0039,collapsed_building_image0039_1.png,val
collapsed_building_c0501,collapsed_building_image0039,collapsed_building_image0039_2.png,val
collapsed_building_c0501,collapsed_building_image0039,collapsed_building_image0039_3.png,val
collapsed_building_c0501,collapsed_building_image0039,collapsed_building_image0039_4.png,val
collapsed_building_c0205,collapsed_building_image0040,collapsed_building_image0040_0.png,test
collapsed_building_c0205,collapsed_building_image0040,collapsed_building_image0040_1.png,test
collapsed_building_c0205,collapsed_building_image0040,collapsed_building_image0040_2.png,test
collapsed_building_c0205,collapsed_building_image0040,collapsed_building_image0040_3.png,test
collapsed_building_c0205,collapsed_building_image0040,collapsed_building_image0040_4.png,test
collapsed_building_c0371,collapsed_building_image0041,collapsed_building_image0041_0.png,train
collapsed_building_c0371,collapsed_building_image0041,collapsed_building_image0041_1.png,train
collapsed_building_c0371,collapsed_building_image0041,collapsed_building_image0041_2.png,train
collapsed_building_c0371,collapsed_building_image0041,collapsed_building_image0041_3.png,train
collapsed_building_c0371,collapsed_building_image0041,collapsed_building_image0041_4.png,train
collapsed_building_c0010,collapsed_building_image0042,collapsed_building_image0042_0.png,train
collapsed_building_c0010,collapsed_building_image0042,collapsed_building_image0042_1.png,train
collapsed_building_c0010,collapsed_building_image0042,collapsed_building_image0042_2.png,train
collapsed_building_c0010,collapsed_building_image0042,collapsed_building_image0042_3.png,train
collapsed_building_c0010,collapsed_building_image0042,collapsed_building_image0042_4.png,train
collapsed_building_c0361,collapsed_building_image0043,collapsed_building_image0043_0.png,test
collapsed_building_c0361,collapsed_building_image0043,collapsed_building_image0043_1.png,test
collapsed_building_c0361,collapsed_building_image0043,collapsed_building_image0043_2.png,test
collapsed_building_c0361,collapsed_building_image0043,collapsed_building_image0043_3.png,test
collapsed_building_c0361,collapsed_building_image0043,collapsed_building_image0043_4.png,test
collapsed_building_c0398,collapsed_building_image0044,collapsed_building_image0044_0.png,train
collapsed_building_c0398,collapsed_building_image0044,collapsed_building_image0044_1.png,train
collapsed_building_c0398,collapsed_building_image0044,collapsed_building_image0044_2.png,train
collapsed_building_c0398,collapsed_building_image0044,collapsed_building_image0044_3.png,train
collapsed_building_c0398,collapsed_building_image0044,collapsed_building_image0044_4.png,train
collapsed_building_c0417,collapsed_building_image0045,collapsed_building_image0045_0.png,val
collapsed_building_c0417,collapsed_building_image0045,collapsed_building_image0045_1.png,val
