layer_idx,name,type,params,trainable
3,model.0.conv,Conv2d,1792,False
4,model.0.act,SiLU,0,False
6,model.1.conv,Conv2d,73856,False
9,model.2.cv1.conv,Conv2d,16512,False
11,model.2.cv2.conv,Conv2d,49408,False
15,model.2.m.0.cv1.conv,Conv2d,2080,False
17,model.2.m.0.cv2.conv,Conv2d,2080,False
19,model.2.m.0.cv3.conv,Conv2d,4160,False
23,model.2.m.0.m.0.cv1.conv,Conv2d,9248,False
25,model.2.m.0.m.0.cv2.conv,Conv2d,9248,False
28,model.2.m.0.m.1.cv1.conv,Conv2d,9248,False
30,model.2.m.0.m.1.cv2.conv,Conv2d,9248,False
32,model.3.conv,Conv2d,590080,False
35,model.4.cv1.conv,Conv2d,65792,False
37,model.4.cv2.conv,Conv2d,197120,False
41,model.4.m.0.cv1.conv,Conv2d,8256,False
43,model.4.m.0.cv2.conv,Conv2d,8256,False
45,model.4.m.0.cv3.conv,Conv2d,16512,False
49,model.4.m.0.m.0.cv1.conv,Conv2d,36928,False
51,model.4.m.0.m.0.cv2.conv,Conv2d,36928,False
54,model.4.m.0.m.1.cv1.conv,Conv2d,36928,False
56,model.4.m.0.m.1.cv2.conv,Conv2d,36928,False
58,model.5.conv,Conv2d,2359808,False
61,model.6.cv1.conv,Conv2d,262656,False
63,model.6.cv2.conv,Conv2d,393728,False
67,model.6.m.0.cv1.conv,Conv2d,32896,False
69,model.6.m.0.cv2.conv,Conv2d,32896,False
71,model.6.m.0.cv3.conv,Conv2d,65792,False
75,model.6.m.0.m.0.cv1.conv,Conv2d,147584,False
77,model.6.m.0.m.0.cv2.conv,Conv2d,147584,False
80,model.6.m.0.m.1.cv1.conv,Conv2d,147584,False
82,model.6.m.0.m.1.cv2.conv,Conv2d,147584,False
84,model.7.conv,Conv2d,2359808,False
87,model.8.cv1.conv,Conv2d,262656,False
89,model.8.cv2.conv,Conv2d,393728,False
93,model.8.m.0.cv1.conv,Conv2d,32896,False
95,model.8.m.0.cv2.conv,Conv2d,32896,False
97,model.8.m.0.cv3.conv,Conv2d,65792,False
101,model.8.m.0.m.0.cv1.conv,Conv2d,147584,False
103,model.8.m.0.m.0.cv2.conv,Conv2d,147584,False
106,model.8.m.0.m.1.cv1.conv,Conv2d,147584,False
108,model.8.m.0.m.1.cv2.conv,Conv2d,147584,False
111,model.9.cv1.conv,Conv2d,131328,False
112,model.9.cv1.act,Identity,0,False
114,model.9.cv2.conv,Conv2d,524800,False
115,model.9.m,MaxPool2d,0,False
118,model.10.channel_attention.avg_pool,AdaptiveAvgPool2d,0,False
119,model.10.channel_attention.max_pool,AdaptiveMaxPool2d,0,False
120,model.10.channel_attention.fc1,Conv2d,16384,False
121,model.10.channel_attention.relu,ReLU,0,False
122,model.10.channel_attention.fc2,Conv2d,16384,False
123,model.10.channel_attention.sigmoid,Sigmoid,0,False
125,model.10.spatial_attention.conv,Conv2d,98,False
126,model.10.spatial_attention.sigmoid,Sigmoid,0,False
127,model.11,Upsample,0,False
128,model.12,Concat,0,False
131,model.13.cv1.conv,Conv2d,524800,False
133,model.13.cv2.conv,Conv2d,393728,False
137,model.13.m.0.cv1.conv,Conv2d,32896,False
139,model.13.m.0.cv2.conv,Conv2d,32896,False
141,model.13.m.0.cv3.conv,Conv2d,65792,False
145,model.13.m.0.m.0.cv1.conv,Conv2d,147584,False
147,model.13.m.0.m.0.cv2.conv,Conv2d,147584,False
150,model.13.m.0.m.1.cv1.conv,Conv2d,147584,False
152,model.13.m.0.m.1.cv2.conv,Conv2d,147584,False
153,model.14,Upsample,0,False
154,model.15,Concat,0,False
157,model.16.cv1.conv,Conv2d,262400,False
159,model.16.cv2.conv,Conv2d,98560,False
163,model.16.m.0.cv1.conv,Conv2d,8256,False
165,model.16.m.0.cv2.conv,Conv2d,8256,False
167,model.16.m.0.cv3.conv,Conv2d,16512,False
171,model.16.m.0.m.0.cv1.conv,Conv2d,36928,False
173,model.16.m.0.m.0.cv2.conv,Conv2d,36928,False
176,model.16.m.0.m.1.cv1.conv,Conv2d,36928,False
178,model.16.m.0.m.1.cv2.conv,Conv2d,36928,False
179,model.17,Upsample,0,False
180,model.18,Concat,0,False
183,model.19.cv1.conv,Conv2d,65664,False
185,model.19.cv2.conv,Conv2d,24704,False
189,model.19.m.0.cv1.conv,Conv2d,2080,False
191,model.19.m.0.cv2.conv,Conv2d,2080,False
193,model.19.m.0.cv3.conv,Conv2d,4160,False
197,model.19.m.0.m.0.cv1.conv,Conv2d,9248,False
199,model.19.m.0.m.0.cv2.conv,Conv2d,9248,False
202,model.19.m.0.m.1.cv1.conv,Conv2d,9248,False
204,model.19.m.0.m.1.cv2.conv,Conv2d,9248,False
206,model.20.conv,Conv2d,147584,False
207,model.21,Concat,0,False
210,model.22.cv1.conv,Conv2d,98560,False
212,model.22.cv2.conv,Conv2d,98560,False
216,model.22.m.0.cv1.conv,Conv2d,8256,False
218,model.22.m.0.cv2.conv,Conv2d,8256,False
220,model.22.m.0.cv3.conv,Conv2d,16512,False
224,model.22.m.0.m.0.cv1.conv,Conv2d,36928,False
226,model.22.m.0.m.0.cv2.conv,Conv2d,36928,False
229,model.22.m.0.m.1.cv1.conv,Conv2d,36928,False
231,model.22.m.0.m.1.cv2.conv,Conv2d,36928,False
233,model.23.conv,Conv2d,590080,False
234,model.24,Concat,0,False
237,model.25.cv1.conv,Conv2d,393728,False
239,model.25.cv2.conv,Conv2d,393728,False
243,model.25.m.0.cv1.conv,Conv2d,32896,False
245,model.25.m.0.cv2.conv,Conv2d,32896,False
247,model.25.m.0.cv3.conv,Conv2d,65792,False
251,model.25.m.0.m.0.cv1.conv,Conv2d,147584,False
253,model.25.m.0.m.0.cv2.conv,Conv2d,147584,False
256,model.25.m.0.m.1.cv1.conv,Conv2d,147584,False
258,model.25.m.0.m.1.cv2.conv,Conv2d,147584,False
260,model.26.conv,Conv2d,2359808,False
261,model.27,Concat,0,False
264,model.28.cv1.conv,Conv2d,524800,False
266,model.28.cv2.conv,Conv2d,393728,False
270,model.28.m.0.cv1.conv,Conv2d,32896,False
272,model.28.m.0.cv2.conv,Conv2d,32896,False
274,model.28.m.0.cv3.conv,Conv2d,65792,False
278,model.28.m.0.m.0.cv1.conv,Conv2d,147584,False
280,model.28.m.0.m.0.cv2.conv,Conv2d,147584,False
283,model.28.m.0.m.1.cv1.conv,Conv2d,147584,False
285,model.28.m.0.m.1.cv2.conv,Conv2d,147584,False
290,model.29.cv2.0.0.conv,Conv2d,73792,False
292,model.29.cv2.0.1.conv,Conv2d,36928,False
293,model.29.cv2.0.2,Conv2d,4160,False
296,model.29.cv2.1.0.conv,Conv2d,147520,False
