ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1783455692.0994015,53,16,1204.16015625,123.117,59
1783455694.114877,0,0,1204.16015625,71.453,54
1783455696.1246948,0,0,1204.16015625,41.158,52
1783455698.131508,0,0,1054.16015625,14.093,50
1783455700.13585,0,0,1054.16015625,12.362,50
1783455702.1664164,0,0,1054.16015625,10.774,50
1783455704.1759982,0,0,1054.16015625,10.651,49
1783455706.18511,0,0,1054.16015625,10.492,49
1783455708.1889055,0,0,1054.16015625,10.485,49
1783455710.1961627,0,0,1054.16015625,10.58,48
1783455712.1985822,0,0,1054.16015625,10.809,48
1783455714.2601774,0,0,1054.16015625,10.379,48
1783455716.2740505,0,0,1054.16015625,10.272,48
1783455718.2870777,0,0,1054.16015625,10.407,47
1783455720.301167,0,0,1054.16015625,10.758,47
1783455722.3058083,0,1,1054.16015625,10.547,47
1783455724.3067765,0,0,1054.16015625,10.077,47
1783455726.3148649,0,0,1054.16015625,10.222,46
1783455728.3167813,0,0,1054.16015625,10.705,46
1783455730.3261962,0,0,1054.16015625,10.16,46
1783455732.3402233,0,0,1054.16015625,10.137,46
1783455734.3467693,0,0,1054.16015625,10.118,46
1783455736.358288,0,0,1054.16015625,10.569,46
1783455738.363204,0,0,1054.16015625,9.896,45
1783455740.3783994,0,0,1054.16015625,9.843,45
1783455742.3813882,0,0,1054.16015625,9.934,45
1783455744.3931165,0,0,1054.16015625,9.915,45
1783455746.399678,0,0,1054.16015625,10.177,45
1783455748.4064217,0,0,1054.16015625,9.997,45
1783455750.4154456,0,0,1054.16015625,10.541,45
1783455752.417035,0,0,1054.16015625,10.042,44
1783455754.431203,0,0,1054.16015625,9.999,44
1783455756.4401624,0,0,1054.16015625,10.158,44
1783455758.4409628,0,0,1054.16015625,9.613,44
1783455760.4416711,0,0,1054.16015625,9.74,44
1783455762.4557786,0,0,1054.16015625,10.598,44
1783455764.4673514,0,0,1054.16015625,10.056,44
1783455766.4798992,0,0,1054.16015625,9.731,44
1783455768.4881234,0,0,1054.16015625,10.357,44
1783455770.4999814,0,0,1054.16015625,9.792,44
1783455772.5046732,0,0,1054.16015625,9.856,43
1783455774.5132775,0,0,1054.16015625,10.02,43
1783455776.5147853,0,0,1054.16015625,10.002,43
1783455778.5202935,0,0,1054.16015625,10.441,43
1783455780.5286129,0,0,1054.16015625,9.601,43
1783455782.5306394,0,0,1054.16015625,9.479,43
1783455784.5381353,0,0,1054.16015625,9.667,43
1783455786.5528233,0,0,1054.16015625,9.582,43
1783455788.5531242,0,0,1054.16015625,9.704,43
1783455790.5640616,76,57,7922.16015625,76.393,49
1783455792.574899,82,61,9214.16015625,191.914,54
1783455794.590589,81,61,9214.16015625,193.238,54
1783455796.602172,83,65,9214.16015625,194.487,55
1783455798.6114316,82,65,9214.16015625,194.96,57
1783455800.6129057,79,64,9962.16015625,196.199,58
1783455802.6318388,92,75,9962.16015625,198.457,55
1783455804.6499038,91,74,10760.16015625,193.77,55
1783455806.664018,90,71,10760.16015625,194.412,57
1783455808.6709187,90,73,10760.16015625,193.505,59
1783455810.679087,92,76,10760.16015625,194.369,59
1783455812.6812742,18,13,10760.16015625,178.153,57
1783455814.6904552,91,74,10760.16015625,197.685,59
1783455816.7118227,90,73,10760.16015625,199.349,60
1783455818.719058,91,74,10760.16015625,197.918,61
1783455820.725822,92,76,12730.16015625,199.144,60
1783455822.7337546,84,67,12730.16015625,196.229,61
1783455824.7393827,80,66,12730.16015625,195.896,61
1783455826.747115,69,55,12730.16015625,196.214,61
1783455828.7588587,89,72,12730.16015625,191.671,61
1783455830.769945,91,74,12730.16015625,198.245,61
1783455832.782469,90,72,12730.16015625,199.812,61
1783455834.786331,89,72,12730.16015625,200.909,63
1783455836.7959926,88,72,12730.16015625,199.955,64
1783455838.8003366,92,75,12730.16015625,200.741,64
1783455840.8064055,92,74,12730.16015625,198.687,63
1783455842.8206067,91,74,12730.16015625,203.636,64
1783455844.8217442,79,64,12730.16015625,203.076,64
1783455846.8367867,92,75,12730.16015625,202.353,63
1783455848.8482735,89,72,12730.16015625,200.659,65
1783455850.8504977,92,74,12730.16015625,201.154,63
1783455852.8565948,82,63,12730.16015625,201.333,65
1783455854.8578565,83,63,12730.16015625,201.107,66
1783455856.8615155,83,66,12730.16015625,200.585,66
1783455858.8681486,83,64,12730.16015625,201.766,67
1783455860.8792996,80,63,12730.16015625,201.189,63
1783455862.8903236,82,62,12730.16015625,201.057,68
1783455864.8945384,82,65,12730.16015625,201.067,67
1783455866.8998773,81,62,12730.16015625,203.523,64
1783455868.9107413,79,64,12730.16015625,202.08,64
1783455870.92315,81,67,12730.16015625,201.903,66
1783455872.9264643,88,72,12730.16015625,201.881,68
1783455874.9393861,88,74,12730.16015625,202.053,67
1783455876.9449847,85,69,12730.16015625,200.784,68
1783455878.9587111,92,77,12730.16015625,203.879,67
1783455880.973728,91,75,12730.16015625,205.211,67
1783455882.9823773,92,78,12730.16015625,205.277,67
1783455884.9921262,92,77,12730.16015625,203.969,67
1783455887.0041735,80,64,12730.16015625,202.4,65
1783455889.004433,80,63,12730.16015625,202.847,65
1783455891.018554,82,65,12730.16015625,203.18,68
1783455893.0277853,82,63,12730.16015625,200.193,69
