bin_left,bin_right,count
0.0,0.02,366482
0.02,0.04,37118
0.04,0.06,13370
0.06,0.08,6871
0.08,0.1,4148
0.1,0.12,2848
0.12,0.14,2090
0.14,0.16,1627
0.16,0.18,1336
0.18,0.2,1172
0.2,0.22,954
0.22,0.24,891
0.24,0.26,851
0.26,0.28,740
0.28,0.3,729
0.3,0.32,662
0.32,0.34,665
0.34,0.36,662
0.36,0.38,650
0.38,0.4,717
0.4,0.42,723
0.42,0.44,759
0.44,0.46,799
0.46,0.48,869
0.48,0.5,913
0.5,0.52,989
0.52,0.54,1139
0.54,0.56,1203
0.56,0.58,1346
0.58,0.6,1537
0.6,0.62,1739
0.62,0.64,1955
0.64,0.66,2259
0.66,0.68,2571
0.68,0.7,2769
0.7,0.72,2989
0.72,0.74,3317
0.74,0.76,3461
0.76,0.78,3456
0.78,0.8,3501
0.8,0.82,3422
0.82,0.84,3389
0.84,0.86,3306
0.86,0.88,3339
0.88,0.9,3680
0.9,0.92,3869
0.92,0.94,2402
0.94,0.96,703
0.96,0.98,0
0.98,1.0,0
