epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
0,150.838,40.673,7773.7,0.74116,0.66675,0.68574,0.38888,0.0
1,138.82,44.194,7719.5,0.79764,0.74173,0.76027,0.45792,65070.63642900192
2,134.136,45.737,8037.9,0.81523,0.74615,0.7801,0.48076,0.0
3,133.869,45.829,8101.6,0.79407,0.74433,0.76999,0.4714,49239.91040847039
4,133.486,45.96,8025.2,0.8401,0.75483,0.79891,0.51077,0.0
5,133.564,45.933,7910.5,0.81584,0.76337,0.79259,0.50645,110454.42296880703
6,133.708,45.884,7930.8,0.84651,0.76203,0.80991,0.53006,0.0
7,133.4,45.989,7462.8,0.84002,0.76967,0.80963,0.53058,27372.021259822908
8,133.666,45.898,7653.9,0.84011,0.78072,0.82101,0.54385,0.0
9,133.225,46.05,7776.7,0.83771,0.78234,0.81887,0.54083,39874.433941192045
10,134.086,45.754,7639.5,0.84562,0.78582,0.82705,0.55111,0.0
11,133.568,45.932,7729.4,0.85263,0.78582,0.82944,0.55531,36076.15797116357
12,133.547,45.939,7792.0,0.85605,0.78945,0.83561,0.56685,0.0
13,133.398,45.99,7855.2,0.85295,0.78975,0.83306,0.56341,67525.23566163436
14,133.81,45.849,8233.1,0.85816,0.79296,0.83661,0.56973,0.0
15,133.242,46.044,7928.8,0.85924,0.79281,0.83884,0.57483,54146.39065079626
16,133.786,45.857,7914.0,0.85916,0.79767,0.8417,0.57833,0.0
17,133.209,46.055,7827.8,0.85914,0.7965,0.84308,0.57813,43543.88771487781
18,133.474,45.964,7843.3,0.8643,0.79771,0.84548,0.58446,0.0
19,133.546,45.939,7919.0,0.86013,0.79992,0.84563,0.58371,29170.663298370684
20,133.696,45.888,8121.3,0.86596,0.79943,0.84707,0.58676,0.0
21,133.495,45.957,9254.0,0.86772,0.79901,0.84739,0.58967,49159.1655821533
22,133.523,45.947,7734.1,0.86671,0.80231,0.85017,0.59321,0.0
23,133.297,46.025,7744.6,0.86791,0.80401,0.85062,0.59359,27988.931105910895
24,133.824,45.844,7935.4,0.86979,0.80321,0.85135,0.59496,0.0
25,133.345,46.008,8036.1,0.86907,0.80381,0.85174,0.59608,35398.26207142292
26,133.282,46.03,7920.9,0.86888,0.80344,0.85206,0.59677,0.0
27,133.371,46.0,7884.9,0.87218,0.80307,0.85279,0.59856,44925.80148142446
28,133.334,46.012,7917.9,0.87043,0.80441,0.85315,0.59947,0.0
29,133.573,45.93,7934.9,0.86935,0.80631,0.85438,0.60016,85719.1800843677
30,144.355,42.499,7802.3,0.87071,0.80781,0.85516,0.60159,0.0
31,182.736,33.573,7396.4,0.87361,0.80714,0.85618,0.60246,38387.733939265156
32,179.646,34.15,7896.1,0.8732,0.80816,0.85689,0.60458,0.0
33,184.447,33.262,7942.2,0.87276,0.80873,0.8582,0.60534,30758.951461529887
34,185.637,33.048,7944.1,0.87135,0.80938,0.8582,0.60545,0.0
35,189.648,32.349,7887.3,0.87125,0.81015,0.85837,0.60627,35734.24104528806
36,187.185,32.775,8033.7,0.87051,0.81104,0.85852,0.60685,0.0
37,179.496,34.179,7912.7,0.87267,0.81006,0.85778,0.60759,53600.498940599166
38,178.106,34.446,7871.4,0.8723,0.81121,0.85795,0.6086,0.0
39,189.244,32.419,7851.9,0.87087,0.81245,0.85809,0.60894,51505.273931293814
40,179.81,34.119,7826.9,0.87176,0.8121,0.85955,0.6097,0.0
41,186.695,32.861,7932.6,0.87273,0.81253,0.85979,0.61028,129578.81679110066
42,179.987,34.086,7978.9,0.87244,0.81345,0.86025,0.61098,0.0
43,176.093,34.84,7892.7,0.87196,0.8137,0.86033,0.61149,37486.97410941246
44,183.089,33.508,7856.1,0.87248,0.81358,0.86034,0.61181,0.0
45,182.544,33.608,8035.6,0.8732,0.81322,0.8605,0.61223,101465.42142456619
46,186.487,32.898,7625.9,0.87418,0.81312,0.86067,0.61272,0.0
47,182.212,33.67,7960.2,0.874,0.81351,0.8608,0.61298,40998.474854650136
48,187.057,32.797,7738.2,0.87437,0.81345,0.86099,0.61345,0.0
49,177.725,34.52,8106.5,0.87446,0.81363,0.86121,0.6138,34445.878921418036
50,186.715,32.858,7983.3,0.87449,0.81394,0.86149,0.61412,0.0
51,184.577,33.238,7678.2,0.87478,0.8139,0.86152,0.61445,38942.21353016947
52,194.592,31.528,7844.1,0.87541,0.814,0.86173,0.61486,0.0
53,191.629,32.015,7969.8,0.87607,0.81352,0.86197,0.61519,176307.0083982299
54,195.154,31.437,8053.9,0.87675,0.81355,0.86201,0.61562,0.0
55,176.095,34.839,7857.2,0.87696,0.81384,0.86216,0.61597,58650.89403886586
56,176.338,34.791,7912.7,0.87717,0.81403,0.86231,0.6163,0.0
57,177.151,34.631,7817.9,0.87762,0.81405,0.86245,0.61652,198902.44266627624
58,178.011,34.464,8017.9,0.87767,0.81425,0.8624,0.6169,0.0
59,183.91,33.359,7785.9,0.87807,0.81406,0.86251,0.61722,132666.636844979
60,192.596,31.854,8078.4,0.87824,0.81412,0.86129,0.61755,0.0
61,180.687,33.954,8040.7,0.87888,0.81377,0.86264,0.61799,48467.16351943825
62,178.918,34.29,8422.9,0.88001,0.81302,0.86143,0.61793,0.0
63,198.315,30.936,8060.0,0.88037,0.81269,0.86142,0.61828,40937.86850164835
64,176.155,34.827,7927.1,0.88122,0.81197,0.8614,0.61862,0.0
65,193.7,31.673,7775.0,0.88167,0.81228,0.86153,0.61917,45607.50543363844
66,179.462,34.186,7854.3,0.88245,0.812,0.86159,0.61947,0.0
67,180.36,34.015,7750.3,0.88267,0.81223,0.8616,0.6196,30121.915381007602
68,187.395,32.738,8029.1,0.88236,0.81265,0.86146,0.6198,0.0
69,178.307,34.407,7902.3,0.88261,0.81277,0.86162,0.62001,35438.47111573692
70,201.156,30.499,7901.7,0.88248,0.81272,0.86168,0.62025,0.0
71,175.066,35.044,8240.2,0.88229,0.81278,0.86182,0.62047,69404.3283452527
72,184.885,33.183,7959.0,0.88253,0.813,0.86183,0.62062,0.0
73,185.806,33.018,7766.7,0.8825,0.81322,0.86173,0.62089,31332.72074277854
74,180.388,34.01,8012.1,0.8825,0.81334,0.86171,0.62134,0.0
75,182.599,33.598,7826.6,0.88254,0.81409,0.86178,0.62157,38149.90362560197
76,188.463,32.553,7696.0,0.88281,0.81369,0.86174,0.62181,0.0
77,183.546,33.425,7777.8,0.883,0.81368,0.86174,0.62194,53271.6404614237
78,185.271,33.114,7776.0,0.88323,0.81376,0.86186,0.62203,0.0
79,186.741,32.853,7948.8,0.88347,0.81369,0.86192,0.62225,188757.88307467176
80,174.393,35.179,7679.2,0.88376,0.81366,0.86212,0.62251,0.0
81,176.089,34.84,7870.1,0.884,0.81372,0.86228,0.62259,40867.70393018486
82,194.5,31.542,8110.8,0.88495,0.81361,0.86237,0.62279,0.0
83,175.91,34.876,8225.4,0.88519,0.81381,0.86249,0.62302,34389.725172120176
84,194.603,31.526,7757.8,0.88539,0.81375,0.86257,0.62315,0.0
85,174.75,35.107,7761.6,0.88574,0.81348,0.86274,0.62337,15294.799098854788
86,177.473,34.569,7752.9,0.8856,0.81362,0.86283,0.62357,0.0
87,177.619,34.54,8042.9,0.88559,0.81352,0.86283,0.62371,15238.910803934166
88,184.217,33.303,7942.9,0.88547,0.81387,0.86286,0.62394,0.0
89,174.634,35.131,8148.6,0.88513,0.81426,0.86299,0.62411,60005.35611894527
90,188.461,32.553,8173.3,0.88485,0.81462,0.86303,0.62432,0.0
91,195.249,31.421,7851.4,0.88445,0.81485,0.863,0.62446,44811.65935559375
