conf,precision,recall,F1,F2,TP,FP,FN
0.0,0.13257341904230285,0.9226598212692355,0.23183531838422722,0.420936276812275,67213,439774,5634
0.01,0.3262247093846758,0.9010666190783423,0.47902268862795466,0.6662620102761069,65640,135571,7207
0.02,0.45905127931390344,0.885403654234217,0.6046252202932244,0.7467011505164473,64499,76006,8348
0.03,0.5485857821209827,0.8754238335140775,0.6744969459795341,0.7822174685258417,63772,52476,9075
0.04,0.6115082167003588,0.8678737628179609,0.7174778987028609,0.8007345956557532,63222,40165,9625
0.05,0.6585025886101155,0.8625338037256167,0.7468338632514189,0.812203016499227,62833,32585,10014
0.06,0.6937023006765389,0.8572075720345381,0.7668361332154435,0.818618004483423,62445,27572,10402
0.07,0.7214490499460262,0.8532266256674949,0.7818238993710691,0.8231556307791735,62155,23998,10692
0.08,0.7447381714093282,0.8500281411725946,0.7939074189226438,0.8266539219403312,61922,21224,10925
0.09,0.7625044802313653,0.8469120210852883,0.8024948295373249,0.8285678983827515,61695,19216,11152
0.1,0.778070330894453,0.8437684461954508,0.809588725344924,0.8297559842974627,61466,17532,11381
0.11,0.7916316802521606,0.8412288769613024,0.8156770354989419,0.8308184132820317,61281,16130,11566
0.12,0.8024425476034143,0.8388265817398108,0.8202312798244259,0.8312881933296693,61106,15044,11741
0.13,0.8123500879484036,0.8368498359575549,0.8244179835148859,0.8318323727185399,60962,14082,11885
0.14,0.8207669457196868,0.8344338133347976,0.8275439563805673,0.8316641492086425,60786,13274,12061
0.15,0.8280966231070692,0.832484522355073,0.8302847754654983,0.8316032263638135,60644,12589,12203
0.16,0.8349371142987312,0.8301920463437067,0.8325578193832599,0.8311367403201025,60477,11956,12370
0.17,0.8410982973323479,0.8279819347399344,0.8344885789786798,0.8305723783320804,60316,11395,12531
0.18,0.8462241726092522,0.8258953697475531,0.835936197410104,0.8298826158323792,60164,10933,12683
0.19,0.8514688568307871,0.8240009883728912,0.8375097667150352,0.8293518659242578,60026,10471,12821
0.2,0.856503396496246,0.8221477892020261,0.8389740285209984,0.8287966389252531,59891,10034,12956
0.21,0.8604754978903562,0.8202671352286298,0.8398903647480497,0.828005354307141,59754,9689,13093
0.22,0.8643922808136754,0.8184002086564992,0.8407677445740315,0.8272028726908445,59618,9353,13229
0.23,0.8681248083633868,0.8161900970527269,0.8413567668534555,0.8260739085854333,59457,9032,13390
0.24,0.8714012925969448,0.8143780800856589,0.8419252520808646,0.8251777626937585,59325,8755,13522
0.25,0.8746637500369505,0.812360152099606,0.8423614817978007,0.8241005330793268,59178,8480,13669
0.26,0.8781329485787384,0.8104108611198814,0.8429138467688968,0.8231065454231115,59036,8193,13811
0.27,0.8809983102298387,0.8087498455667358,0.8433295161752076,0.8222357443316465,58915,7958,13932
0.28,0.8836649671374213,0.8065397339629635,0.8433427111442843,0.8208686224596721,58754,7735,14093
0.29,0.8863361364873859,0.8044394415693165,0.843404359433806,0.8195852354099533,58601,7515,14246
0.3,0.8885796836982969,0.8021332381566846,0.8431464500349911,0.818050220076831,58433,7327,14414
0.31,0.8908418414134621,0.8001153101706316,0.8430446573856446,0.8167514909645307,58286,7142,14561
0.32,0.8928231282067037,0.7978502889617967,0.8426691797455507,0.815193303523841,58121,6977,14726
0.33,0.8946986538224033,0.795571540351696,0.8422284065890148,0.813599914646062,57955,6821,14892
0.34,0.8967764965157605,0.7931966999327358,0.8418123543123542,0.811953201188238,57782,6651,15065
0.35,0.8984417650637176,0.7906983129023845,0.8411337782385842,0.8101288611219722,57600,6511,15247
0.36,0.9004406391620016,0.7882548354770958,0.8406212944121566,0.8083984919430452,57422,6349,15425
0.37,0.9022129752222432,0.7857564484467445,0.83996742264713,0.8065788880371555,57240,6204,15607
0.38,0.9038830183298744,0.7832031518113306,0.8392268769122146,0.8046904309904686,57054,6067,15793
0.39,0.9056570709404024,0.780389034551869,0.8383695379669366,0.8025914913922843,56849,5922,15998
0.4,0.9078744952246651,0.7777259187063297,0.8377756911224317,0.8006823218162085,56655,5749,16192
0.41,0.9098265523244567,0.7748019822367428,0.8369030937923979,0.7985026483770201,56442,5594,16405
0.42,0.9112368476516269,0.7715623155380454,0.8356029971455756,0.7959633952570179,56206,5475,16641
0.43,0.91278681039122,0.7683638310431452,0.8343718323296166,0.7934728061943414,55973,5348,16874
0.44,0.9143166672138144,0.7646437053001496,0.8328087972549693,0.7905253895716841,55702,5220,17145
0.45,0.9156945041144784,0.760717668538169,0.8310426273759983,0.7873693543162094,55416,5102,17431
0.46,0.9171199041963974,0.7569289057888451,0.8293600060163948,0.7843282287040805,55140,4983,17707
0.47,0.9185125655063874,0.7530852334344585,0.8276132575014709,0.7812255244008374,54860,4867,17987
0.48,0.9202754244439194,0.7485551910167886,0.8255804270974482,0.777573707656242,54530,4724,18317
0.49,0.9217549466240565,0.7443683336307604,0.8236187583064363,0.7741650866893575,54225,4603,18622
0.5,0.9231586705747244,0.7393303773662608,0.821081196450895,0.7699961970554343,53858,4483,18989
0.51,0.92441639287567,0.7338531442612599,0.8181852965709345,0.7654101449524366,53459,4371,19388
0.52,0.9257567303668573,0.7288426427992917,0.8155823009393314,0.7612261283477662,53094,4258,19753
0.53,0.9270538118960024,0.7229535876563208,0.8123804528907262,0.7562529257862647,52665,4144,20182
0.54,0.9283083984131785,0.7163369802462696,0.8086626375329304,0.7506163676168941,52183,4030,20664
0.55,0.9298040625561748,0.7100498304665944,0.8052024876047853,0.7452783429101659,51725,3905,21122
0.56,0.9313761134339211,0.7033234038464178,0.8014422362483087,0.739539489258021,51235,3775,21612
0.57,0.9331738730450782,0.6962263373920683,0.7974716384820397,0.7334744806761189,50718,3632,22129
0.58,0.9349657125819917,0.6887586311035457,0.7931958485823366,0.7270498359667529,50174,3490,22673
0.59,0.9362502362502363,0.6800142764973163,0.7878209562887155,0.7193913412218486,49537,3373,23310
0.6,0.9380359506589675,0.6712287396872898,0.7825147630707187,0.7117156456049956,48897,3230,23950
0.61,0.9400619846792585,0.662045108240559,0.7769311316955296,0.7036659848084718,48228,3075,24619
