epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.059,1.85023,1.24593,1.52766,0.74116,0.66675,0.68574,0.38888,1.38957,1.13748,1.23203,0.000332899,0.000332899,0.067043
2,289.17,1.4207,0.96971,1.21793,0.79764,0.74173,0.76027,0.45792,1.22319,0.84828,1.16581,0.000666214,0.000666214,0.034043
3,423.543,1.33774,0.90791,1.19068,0.81523,0.74615,0.7801,0.48076,1.18196,0.84141,1.15049,0.000999457,0.000999457,0.00104292
4,557.683,1.30645,0.88516,1.17696,0.79407,0.74433,0.76999,0.4714,1.17634,0.82394,1.15683,0.000999756,0.000999756,0.000999756
5,691.356,1.26426,0.85826,1.15741,0.8401,0.75483,0.79891,0.51077,1.11774,0.76171,1.12263,0.000999566,0.000999566,0.000999566
6,825.193,1.24544,0.84715,1.14662,0.81584,0.76337,0.79259,0.50645,1.10206,0.77037,1.11736,0.000999322,0.000999322,0.000999322
7,958.93,1.2231,0.82616,1.1298,0.84651,0.76203,0.80991,0.53006,1.05149,0.73025,1.10021,0.000999023,0.000999023,0.000999023
8,1092.55,1.20515,0.8164,1.12786,0.84002,0.76967,0.80963,0.53058,1.04177,0.72807,1.09287,0.000998671,0.000998671,0.000998671
9,1226.46,1.19526,0.80592,1.11971,0.84011,0.78072,0.82101,0.54385,1.02399,0.70187,1.08683,0.000998264,0.000998264,0.000998264
10,1360.05,1.17932,0.79588,1.11341,0.83771,0.78234,0.81887,0.54083,1.01791,0.69477,1.08659,0.000997803,0.000997803,0.000997803
11,1494.22,1.17107,0.78912,1.11063,0.84562,0.78582,0.82705,0.55111,1.00224,0.68039,1.08006,0.000997288,0.000997288,0.000997288
12,1628.03,1.16337,0.78098,1.10692,0.85263,0.78582,0.82944,0.55531,0.99155,0.68013,1.07751,0.00099672,0.00099672,0.00099672
13,1761.81,1.15928,0.77711,1.10212,0.85605,0.78945,0.83561,0.56685,0.97015,0.66044,1.06272,0.000996097,0.000996097,0.000996097
14,1895.57,1.1434,0.7645,1.09807,0.85295,0.78975,0.83306,0.56341,0.96789,0.66318,1.06587,0.00099542,0.00099542,0.00099542
15,2029.49,1.14242,0.76535,1.09551,0.85816,0.79296,0.83661,0.56973,0.95726,0.65191,1.06296,0.00099469,0.00099469,0.00099469
16,2163,1.14107,0.7636,1.09576,0.85924,0.79281,0.83884,0.57483,0.94412,0.64427,1.05628,0.000993906,0.000993906,0.000993906
17,2296.96,1.12955,0.75808,1.093,0.85916,0.79767,0.8417,0.57833,0.93516,0.63883,1.05053,0.000993068,0.000993068,0.000993068
18,2430.52,1.12275,0.75249,1.08813,0.85914,0.7965,0.84308,0.57813,0.93972,0.63748,1.05094,0.000992177,0.000992177,0.000992177
19,2564.05,1.1173,0.74771,1.08553,0.8643,0.79771,0.84548,0.58446,0.92597,0.62811,1.04792,0.000991232,0.000991232,0.000991232
20,2697.98,1.11442,0.7435,1.0831,0.86013,0.79992,0.84563,0.58371,0.9235,0.63131,1.05027,0.000990234,0.000990234,0.000990234
21,2831.74,1.10339,0.73415,1.07943,0.86596,0.79943,0.84707,0.58676,0.91996,0.62261,1.04771,0.000989183,0.000989183,0.000989183
22,2965.63,1.09948,0.73309,1.08061,0.86772,0.79901,0.84739,0.58967,0.91188,0.62092,1.04221,0.000988079,0.000988079,0.000988079
23,3099.36,1.10193,0.73207,1.07679,0.86671,0.80231,0.85017,0.59321,0.9067,0.61371,1.04012,0.000986922,0.000986922,0.000986922
24,3232.85,1.09691,0.72701,1.07503,0.86791,0.80401,0.85062,0.59359,0.90231,0.61022,1.03936,0.000985711,0.000985711,0.000985711
25,3366.94,1.09336,0.72595,1.07344,0.86979,0.80321,0.85135,0.59496,0.90042,0.60715,1.03852,0.000984449,0.000984449,0.000984449
26,3500.44,1.08983,0.72358,1.07109,0.86907,0.80381,0.85174,0.59608,0.89987,0.60588,1.037,0.000983133,0.000983133,0.000983133
27,3634,1.083,0.71843,1.06781,0.86888,0.80344,0.85206,0.59677,0.89559,0.60502,1.0348,0.000981765,0.000981765,0.000981765
28,3767.63,1.08114,0.71881,1.06736,0.87218,0.80307,0.85279,0.59856,0.89117,0.60336,1.03365,0.000980345,0.000980345,0.000980345
29,3901.22,1.0805,0.71746,1.06976,0.87043,0.80441,0.85315,0.59947,0.88881,0.60151,1.03376,0.000978873,0.000978873,0.000978873
30,4034.97,1.07119,0.71146,1.06505,0.86935,0.80631,0.85438,0.60016,0.88762,0.59739,1.03438,0.000977349,0.000977349,0.000977349
31,4178.6,1.0697,0.70775,1.06566,0.87071,0.80781,0.85516,0.60159,0.88601,0.5955,1.03413,0.000975773,0.000975773,0.000975773
32,4362.05,1.0726,0.7049,1.06397,0.87361,0.80714,0.85618,0.60246,0.88344,0.59415,1.03311,0.000974145,0.000974145,0.000974145
33,4542.01,1.06977,0.70428,1.06105,0.8732,0.80816,0.85689,0.60458,0.88001,0.59118,1.03094,0.000972466,0.000972466,0.000972466
34,4726.98,1.06148,0.70065,1.06036,0.87276,0.80873,0.8582,0.60534,0.8786,0.58931,1.03098,0.000970736,0.000970736,0.000970736
35,4913.2,1.06146,0.6991,1.05863,0.87135,0.80938,0.8582,0.60545,0.87684,0.58895,1.03022,0.000968955,0.000968955,0.000968955
36,5102.91,1.05864,0.69595,1.05853,0.87125,0.81015,0.85837,0.60627,0.87472,0.58743,1.02926,0.000967122,0.000967122,0.000967122
37,5290.94,1.05664,0.69306,1.05889,0.87051,0.81104,0.85852,0.60685,0.8729,0.58694,1.029,0.000965239,0.000965239,0.000965239
38,5470.97,1.05267,0.69254,1.05661,0.87267,0.81006,0.85778,0.60759,0.87125,0.58559,1.0282,0.000963306,0.000963306,0.000963306
39,5649.39,1.05529,0.68928,1.05576,0.8723,0.81121,0.85795,0.6086,0.86947,0.58438,1.02699,0.000961322,0.000961322,0.000961322
40,5838.3,1.04952,0.692,1.05191,0.87087,0.81245,0.85809,0.60894,0.86811,0.58315,1.02598,0.000959289,0.000959289,0.000959289
41,6020.29,1.04627,0.68775,1.05306,0.87176,0.8121,0.85955,0.6097,0.86692,0.58222,1.02521,0.000957205,0.000957205,0.000957205
42,6207.33,1.04382,0.68606,1.04956,0.87273,0.81253,0.85979,0.61028,0.8656,0.58092,1.02456,0.000955072,0.000955072,0.000955072
43,6387.43,1.0436,0.685,1.04911,0.87244,0.81345,0.86025,0.61098,0.86482,0.57969,1.02412,0.000952889,0.000952889,0.000952889
44,6564.37,1.04398,0.68203,1.04828,0.87196,0.8137,0.86033,0.61149,0.86324,0.57929,1.0235,0.000950658,0.000950658,0.000950658
45,6748.67,1.04031,0.6827,1.05059,0.87248,0.81358,0.86034,0.61181,0.86216,0.57856,1.02316,0.000948377,0.000948377,0.000948377
46,6931.51,1.03796,0.67776,1.04493,0.8732,0.81322,0.8605,0.61223,0.8612,0.5775,1.02276,0.000946048,0.000946048,0.000946048
47,7118.44,1.03549,0.67561,1.04165,0.87418,0.81312,0.86067,0.61272,0.86018,0.57707,1.02195,0.000943671,0.000943671,0.000943671
48,7301.1,1.0284,0.67311,1.04337,0.874,0.81351,0.8608,0.61298,0.85925,0.57651,1.02145,0.000941245,0.000941245,0.000941245
49,7488.4,1.0338,0.67595,1.0462,0.87437,0.81345,0.86099,0.61345,0.85872,0.57592,1.02138,0.000938772,0.000938772,0.000938772
50,7666.56,1.02626,0.66833,1.04441,0.87446,0.81363,0.86121,0.6138,0.85811,0.57529,1.02117,0.000936251,0.000936251,0.000936251
51,7853.54,1.02902,0.66977,1.04123,0.87449,0.81394,0.86149,0.61412,0.85749,0.57503,1.02099,0.000933683,0.000933683,0.000933683
52,8038.76,1.02124,0.66735,1.04187,0.87478,0.8139,0.86152,0.61445,0.85668,0.57467,1.02049,0.000931067,0.000931067,0.000931067
53,8233.8,1.01973,0.66296,1.03875,0.87541,0.814,0.86173,0.61486,0.85601,0.5742,1.02017,0.000928405,0.000928405,0.000928405
54,8425.77,1.02514,0.66914,1.03908,0.87607,0.81352,0.86197,0.61519,0.85517,0.57386,1.0196,0.000925697,0.000925697,0.000925697
55,8621.38,1.02755,0.66745,1.0397,0.87675,0.81355,0.86201,0.61562,0.8541,0.57351,1.01917,0.000922942,0.000922942,0.000922942
56,8797.99,1.0164,0.66338,1.03941,0.87696,0.81384,0.86216,0.61597,0.85326,0.57313,1.01872,0.000920142,0.000920142,0.000920142
57,8974.78,1.01425,0.66197,1.03574,0.87717,0.81403,0.86231,0.6163,0.85263,0.57299,1.01828,0.000917296,0.000917296,0.000917296
58,9151.43,1.01206,0.65731,1.03446,0.87762,0.81405,0.86245,0.61652,0.85182,0.57303,1.01788,0.000914405,0.000914405,0.000914405
59,9330.73,1.01265,0.6585,1.03321,0.87767,0.81425,0.8624,0.6169,0.85087,0.57285,1.01728,0.000911469,0.000911469,0.000911469
60,9514.52,1.00961,0.65691,1.03574,0.87807,0.81406,0.86251,0.61722,0.85006,0.57252,1.01677,0.000908488,0.000908488,0.000908488
61,9708.42,1.00405,0.65465,1.03501,0.87824,0.81412,0.86129,0.61755,0.84925,0.57242,1.01627,0.000905463,0.000905463,0.000905463
62,9889.89,1.00817,0.65515,1.03428,0.87888,0.81377,0.86264,0.61799,0.84868,0.57224,1.01601,0.000902395,0.000902395,0.000902395
63,10069.2,1.00923,0.65323,1.03232,0.88001,0.81302,0.86143,0.61793,0.84795,0.57212,1.01564,0.000899282,0.000899282,0.000899282
64,10267.6,1.004,0.65004,1.03212,0.88037,0.81269,0.86142,0.61828,0.84731,0.57213,1.01544,0.000896127,0.000896127,0.000896127
65,10444.3,1.00554,0.65001,1.02955,0.88122,0.81197,0.8614,0.61862,0.84653,0.57201,1.01506,0.000892928,0.000892928,0.000892928
66,10638.7,1.0056,0.65224,1.03143,0.88167,0.81228,0.86153,0.61917,0.84578,0.57192,1.01465,0.000889687,0.000889687,0.000889687
67,10818.7,1.004,0.64763,1.02705,0.88245,0.812,0.86159,0.61947,0.84495,0.57189,1.0141,0.000886404,0.000886404,0.000886404
68,10999.2,0.99545,0.64235,1.02615,0.88267,0.81223,0.8616,0.6196,0.8445,0.57195,1.01379,0.000883079,0.000883079,0.000883079
69,11187.6,0.99902,0.64365,1.03132,0.88236,0.81265,0.86146,0.6198,0.84387,0.57168,1.01356,0.000879713,0.000879713,0.000879713
70,11366.3,0.9997,0.64467,1.02664,0.88261,0.81277,0.86162,0.62001,0.84316,0.57169,1.01319,0.000876305,0.000876305,0.000876305
71,11567.2,0.99262,0.64073,1.02632,0.88248,0.81272,0.86168,0.62025,0.84271,0.57176,1.01301,0.000872857,0.000872857,0.000872857
72,11743.2,0.99802,0.64335,1.02494,0.88229,0.81278,0.86182,0.62047,0.84195,0.57161,1.01265,0.000869368,0.000869368,0.000869368
73,11927.4,0.99724,0.64017,1.02732,0.88253,0.813,0.86183,0.62062,0.84185,0.57166,1.01253,0.000865839,0.000865839,0.000865839
