epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.522,1.6389,1.07562,0.00243,0.82719,0.74261,0.7835,0.48628,1.38767,0.81295,0.00222,0.000332682,0.000332682,0.0670645
2,223.217,1.52194,0.91896,0.00217,0.80164,0.75762,0.7859,0.49476,1.31459,0.82847,0.00207,0.000663818,0.000663818,0.0340623
3,320.945,1.48401,0.88319,0.00208,0.84198,0.76235,0.80958,0.52525,1.28747,0.78109,0.00199,0.000992753,0.000992753,0.00105786
4,417.719,1.46584,0.86786,0.00207,0.81259,0.75002,0.78593,0.49037,1.35483,0.82743,0.0021,0.0009901,0.0009901,0.0009901
5,513.884,1.44611,0.85323,0.00202,0.84713,0.77247,0.82005,0.53881,1.25252,0.74863,0.00194,0.0009868,0.0009868,0.0009868
6,610.409,1.43528,0.83868,0.002,0.84282,0.77317,0.82005,0.53724,1.25888,0.73452,0.00196,0.0009835,0.0009835,0.0009835
7,707.129,1.42101,0.84006,0.00198,0.84098,0.76677,0.81362,0.53386,1.23848,0.75944,0.0019,0.0009802,0.0009802,0.0009802
8,804.334,1.4078,0.8227,0.00194,0.83802,0.77393,0.82212,0.54359,1.21843,0.74316,0.00188,0.0009769,0.0009769,0.0009769
9,900.806,1.39204,0.81904,0.00193,0.84275,0.7792,0.82168,0.54242,1.22955,0.75609,0.0019,0.0009736,0.0009736,0.0009736
10,997.447,1.38965,0.81301,0.00191,0.85428,0.78797,0.83398,0.55993,1.19226,0.69805,0.00182,0.0009703,0.0009703,0.0009703
11,1094.23,1.38032,0.80337,0.00189,0.85117,0.78849,0.8307,0.56147,1.19989,0.70498,0.00183,0.000967,0.000967,0.000967
