epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.798,1.42584,0.69339,0.9889,0.77158,0.64573,0.73124,0.40746,1.58977,0.61144,0.96182,0.000166486,0.000166486,0.0668692
2,446.56,1.34008,0.6249,0.96654,0.8365,0.74512,0.82791,0.48134,1.41344,0.52968,0.92699,0.000333026,0.000333026,0.0337024
3,656.911,1.30519,0.5996,0.95683,0.84943,0.75372,0.83803,0.49636,1.373,0.50785,0.90952,0.000499057,0.000499057,0.000535093
4,866.867,1.28823,0.58392,0.95092,0.87736,0.77184,0.85749,0.51439,1.33758,0.50426,0.91441,0.000498284,0.000498284,0.000498284
5,1076.87,1.27818,0.57615,0.94724,0.89902,0.75033,0.86279,0.5195,1.33796,0.50435,0.89975,0.000496953,0.000496953,0.000496953
6,1286.72,1.26905,0.57373,0.9471,0.85089,0.78623,0.85426,0.51908,1.32387,0.49257,0.90055,0.000495244,0.000495244,0.000495244
7,1497.06,1.2623,0.56391,0.94376,0.88028,0.77833,0.86322,0.52056,1.32114,0.48801,0.90411,0.000493162,0.000493162,0.000493162
8,1706.8,1.25096,0.56107,0.94377,0.87161,0.79342,0.86703,0.5258,1.31302,0.48721,0.9035,0.000490708,0.000490708,0.000490708
9,1917.15,1.24077,0.55428,0.9415,0.86722,0.79651,0.87353,0.5239,1.29951,0.48075,0.90001,0.000487886,0.000487886,0.000487886
10,2127.14,1.24155,0.55266,0.93955,0.8838,0.81297,0.87295,0.53194,1.29728,0.47736,0.89484,0.000484702,0.000484702,0.000484702
11,2339.45,1.22378,0.54445,0.93549,0.87363,0.81501,0.87969,0.53341,1.29986,0.47108,0.89897,0.00048116,0.00048116,0.00048116
12,2549.7,1.22236,0.54331,0.93604,0.87961,0.81603,0.88234,0.53769,1.27784,0.47127,0.89635,0.000477265,0.000477265,0.000477265
