epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.628,1.26148,0.60841,0.9855,0.81378,0.66084,0.76553,0.42734,1.55709,0.61214,0.94898,0.000166422,0.000166422,0.0668821
2,331.984,1.18515,0.55465,0.96424,0.83847,0.71429,0.81065,0.46277,1.44747,0.53837,0.93451,0.000332961,0.000332961,0.0337153
3,487.474,1.16467,0.5377,0.95759,0.84845,0.76362,0.84091,0.48891,1.39229,0.52259,0.92407,0.000498992,0.000498992,0.000548012
4,642.509,1.14965,0.52821,0.95307,0.85217,0.7702,0.8437,0.49803,1.38228,0.51629,0.91181,0.000498284,0.000498284,0.000498284
5,797.06,1.14179,0.52482,0.95155,0.87183,0.78296,0.86113,0.50939,1.38115,0.49853,0.91556,0.000496953,0.000496953,0.000496953
6,952.538,1.14005,0.52274,0.95036,0.86163,0.78717,0.8555,0.50634,1.37201,0.50108,0.91162,0.000495244,0.000495244,0.000495244
7,1107.12,1.12837,0.51989,0.95016,0.89754,0.78828,0.85742,0.51681,1.34975,0.497,0.90535,0.000493162,0.000493162,0.000493162
8,1261.86,1.12737,0.51774,0.94839,0.86483,0.80267,0.86578,0.51245,1.35269,0.49801,0.90556,0.000490708,0.000490708,0.000490708
9,1416.72,1.1217,0.51582,0.94777,0.89965,0.80473,0.87856,0.5239,1.31301,0.48136,0.89761,0.000487886,0.000487886,0.000487886
10,1572.08,1.11657,0.51035,0.94689,0.87411,0.82631,0.87938,0.52387,1.3276,0.49788,0.89857,0.000484702,0.000484702,0.000484702
11,1726.85,1.12006,0.51251,0.94582,0.87052,0.82837,0.8805,0.52936,1.32724,0.4899,0.89608,0.00048116,0.00048116,0.00048116
12,1880.96,1.10311,0.50751,0.94617,0.87827,0.8231,0.88057,0.52676,1.31246,0.47344,0.89394,0.000477265,0.000477265,0.000477265
13,2036.21,1.1036,0.50646,0.9424,0.87499,0.83556,0.89033,0.53309,1.30477,0.47655,0.89129,0.000473024,0.000473024,0.000473024
14,2190.81,1.10258,0.50455,0.94096,0.8947,0.83832,0.89445,0.53076,1.32501,0.47004,0.894,0.000468443,0.000468443,0.000468443
15,2345.59,1.0994,0.50505,0.94155,0.89207,0.84789,0.89758,0.53584,1.29946,0.476,0.89256,0.000463528,0.000463528,0.000463528
16,2500.78,1.09682,0.50295,0.94166,0.88626,0.8489,0.89574,0.53451,1.29942,0.47314,0.89689,0.000458289,0.000458289,0.000458289
