epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.983,2.64718,2.02955,1.77673,0.65087,0.53947,0.54243,0.24503,1.90353,1.36501,1.28346,0.000332682,0.000332682,0.0670645
2,290.948,1.86153,1.3341,1.25887,0.73081,0.63255,0.63561,0.31466,1.64704,1.15728,1.17412,0.000652829,0.000652829,0.0340513
3,417.81,1.67822,1.17183,1.18132,0.7434,0.66963,0.67547,0.35923,1.51677,1.07473,1.14783,0.000959775,0.000959775,0.00102488
4,544.655,1.57963,1.09498,1.14712,0.78875,0.6903,0.7186,0.41068,1.3977,0.95668,1.09437,0.0009406,0.0009406,0.0009406
5,671.424,1.49976,1.02893,1.12223,0.80082,0.70469,0.73411,0.42638,1.34665,0.91317,1.08059,0.0009208,0.0009208,0.0009208
6,797.576,1.44581,0.98975,1.10684,0.8023,0.71034,0.74492,0.43846,1.30784,0.87511,1.07084,0.000901,0.000901,0.000901
7,924.241,1.40808,0.95328,1.08907,0.79623,0.71828,0.74478,0.44816,1.25986,0.86047,1.06377,0.0008812,0.0008812,0.0008812
8,1052.75,1.36645,0.92236,1.0809,0.81067,0.72754,0.76269,0.46781,1.21392,0.83198,1.04631,0.0008614,0.0008614,0.0008614
9,1179.21,1.34469,0.90856,1.07127,0.81284,0.74243,0.77536,0.47799,1.2131,0.81194,1.03795,0.0008416,0.0008416,0.0008416
10,1306,1.31439,0.88498,1.06338,0.80696,0.74324,0.77293,0.47666,1.1845,0.80959,1.04312,0.0008218,0.0008218,0.0008218
11,1432.79,1.29901,0.87621,1.05942,0.82978,0.74365,0.78695,0.49821,1.14206,0.77304,1.02398,0.000802,0.000802,0.000802
12,1559.53,1.27721,0.85606,1.04999,0.821,0.74729,0.78111,0.48594,1.16658,0.79198,1.03029,0.0007822,0.0007822,0.0007822
13,1686.15,1.26898,0.85085,1.0471,0.83398,0.75557,0.7987,0.5115,1.11018,0.75258,1.01271,0.0007624,0.0007624,0.0007624
14,1812.76,1.24555,0.83204,1.04203,0.83615,0.75812,0.79978,0.51561,1.09623,0.74313,1.00823,0.0007426,0.0007426,0.0007426
15,1939.52,1.23792,0.83162,1.03892,0.82674,0.75359,0.79502,0.50998,1.10622,0.75467,1.01039,0.0007228,0.0007228,0.0007228
16,2065.63,1.22618,0.82391,1.03605,0.82794,0.76212,0.79996,0.51869,1.07858,0.73724,1.00972,0.000703,0.000703,0.000703
17,2192.62,1.21362,0.81361,1.03327,0.83686,0.7648,0.80826,0.52722,1.06773,0.72495,1.00613,0.0006832,0.0006832,0.0006832
18,2319.43,1.20678,0.80636,1.0306,0.82745,0.76261,0.80333,0.51796,1.07225,0.73373,1.01309,0.0006634,0.0006634,0.0006634
19,2445.83,1.19569,0.80182,1.02661,0.83403,0.76706,0.80994,0.52947,1.05678,0.71919,1.00464,0.0006436,0.0006436,0.0006436
20,2572.16,1.18966,0.79317,1.02226,0.83471,0.76993,0.81138,0.52929,1.05886,0.71579,1.00392,0.0006238,0.0006238,0.0006238
21,2698.7,1.17489,0.78723,1.02097,0.83962,0.76914,0.81148,0.53682,1.03576,0.70569,0.99494,0.000604,0.000604,0.000604
22,2825.69,1.17135,0.77899,1.01993,0.8434,0.77137,0.81633,0.53975,1.02574,0.69789,0.99825,0.0005842,0.0005842,0.0005842
23,2952.29,1.16563,0.77474,1.01673,0.83975,0.77377,0.81769,0.53928,1.02862,0.70043,0.99651,0.0005644,0.0005644,0.0005644
24,3078.75,1.15803,0.77121,1.01518,0.84487,0.77597,0.81691,0.54464,1.01619,0.68929,0.99154,0.0005446,0.0005446,0.0005446
25,3205,1.1536,0.76744,1.01417,0.84111,0.77974,0.82163,0.54631,1.0173,0.6936,0.99313,0.0005248,0.0005248,0.0005248
26,3331.58,1.15015,0.7646,1.01314,0.83704,0.7781,0.82045,0.53994,1.02845,0.70127,0.99674,0.000505,0.000505,0.000505
27,3458.49,1.14074,0.7576,1.00864,0.84714,0.78198,0.82533,0.5507,1.00324,0.67946,0.99034,0.0004852,0.0004852,0.0004852
28,3584.86,1.13081,0.75455,1.00683,0.85203,0.78087,0.82954,0.55682,0.99018,0.67579,0.98377,0.0004654,0.0004654,0.0004654
29,3711.53,1.13181,0.75087,1.00664,0.84504,0.78567,0.82738,0.55636,0.9891,0.67312,0.98333,0.0004456,0.0004456,0.0004456
30,3837.82,1.12011,0.74608,1.00217,0.849,0.78743,0.83279,0.55982,0.98769,0.67009,0.98402,0.0004258,0.0004258,0.0004258
31,3964.72,1.11921,0.74243,1.00159,0.85018,0.78559,0.83231,0.56238,0.98265,0.66233,0.98135,0.000406,0.000406,0.000406
32,4090.84,1.11682,0.7402,0.99996,0.84918,0.78832,0.83203,0.56165,0.97842,0.66536,0.97736,0.0003862,0.0003862,0.0003862
33,4217.3,1.11175,0.73557,0.998,0.85021,0.79028,0.8343,0.5674,0.97191,0.65671,0.97742,0.0003664,0.0003664,0.0003664
34,4343.86,1.10422,0.7294,0.99627,0.85439,0.78726,0.83473,0.56904,0.96227,0.65521,0.97598,0.0003466,0.0003466,0.0003466
35,4470.11,1.10003,0.72729,0.99579,0.84785,0.78843,0.83273,0.56576,0.96806,0.65764,0.97849,0.0003268,0.0003268,0.0003268
36,4596.89,1.09925,0.72415,0.99484,0.84502,0.78509,0.83137,0.55841,0.97758,0.67179,0.98156,0.000307,0.000307,0.000307
37,4723.84,1.09166,0.71976,0.9937,0.8448,0.79019,0.83397,0.56452,0.97075,0.66046,0.97968,0.0002872,0.0002872,0.0002872
38,4850.09,1.0874,0.71456,0.99115,0.85074,0.79118,0.83659,0.56668,0.96057,0.65367,0.97648,0.0002674,0.0002674,0.0002674
39,4976.44,1.0922,0.71742,0.99238,0.85558,0.78998,0.83892,0.57418,0.94756,0.64633,0.97125,0.0002476,0.0002476,0.0002476
40,5104.44,1.08304,0.71362,0.98854,0.85622,0.79462,0.84064,0.57585,0.94473,0.64214,0.97072,0.0002278,0.0002278,0.0002278
41,5248.49,1.03666,0.69401,0.98961,0.85427,0.7944,0.83887,0.57661,0.94446,0.64296,0.97111,0.000208,0.000208,0.000208
42,5370.17,1.02638,0.68963,0.98849,0.85753,0.79384,0.84114,0.58043,0.93398,0.63819,0.96725,0.0001882,0.0001882,0.0001882
43,5493.71,1.02486,0.68381,0.98389,0.85709,0.79325,0.84172,0.58066,0.93448,0.63831,0.96819,0.0001684,0.0001684,0.0001684
44,5615.35,1.02236,0.68031,0.98469,0.85837,0.79559,0.84304,0.58106,0.93567,0.63395,0.96925,0.0001486,0.0001486,0.0001486
45,5736.72,1.01431,0.67681,0.98318,0.85969,0.79412,0.84292,0.58393,0.92613,0.63064,0.96513,0.0001288,0.0001288,0.0001288
46,5858.21,1.00739,0.67144,0.98192,0.85836,0.79287,0.84181,0.58309,0.92623,0.63366,0.96497,0.000109,0.000109,0.000109
47,5978.92,1.00691,0.66818,0.97902,0.86144,0.79118,0.84208,0.5824,0.92733,0.63075,0.96569,8.92e-05,8.92e-05,8.92e-05
48,6099.37,1.00295,0.66577,0.97816,0.85835,0.79593,0.84227,0.58252,0.92569,0.63081,0.96508,6.94e-05,6.94e-05,6.94e-05
49,6220.55,0.99763,0.6603,0.97705,0.86107,0.79455,0.84342,0.58548,0.92155,0.62753,0.96325,4.96e-05,4.96e-05,4.96e-05
50,6341.5,0.99349,0.65688,0.9757,0.86132,0.79395,0.84308,0.586,0.91972,0.62757,0.9627,2.98e-05,2.98e-05,2.98e-05
