epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,623.608,2.64238,1.9737,1.78012,0.63185,0.53881,0.52887,0.24136,1.90069,1.39774,1.29486,0.000332682,0.000332682,0.0670645
2,1186.73,1.87274,1.33953,1.26452,0.71955,0.63184,0.62297,0.30583,1.66682,1.18283,1.18007,0.000652829,0.000652829,0.0340513
3,1735.84,1.67349,1.1701,1.18022,0.74551,0.66753,0.68049,0.37243,1.47815,1.05566,1.12759,0.000959775,0.000959775,0.00102488
4,2311.66,1.57785,1.09138,1.14281,0.77569,0.69523,0.7132,0.4108,1.3919,0.95207,1.08937,0.0009406,0.0009406,0.0009406
5,2862.56,1.50385,1.02945,1.12143,0.77204,0.7044,0.72189,0.41705,1.34196,0.94075,1.08498,0.0009208,0.0009208,0.0009208
6,3400.66,1.45273,0.99151,1.10601,0.80855,0.71965,0.75333,0.44635,1.30648,0.86997,1.06411,0.000901,0.000901,0.000901
7,3940.88,1.41346,0.95265,1.08747,0.81663,0.72264,0.76112,0.4594,1.2496,0.84811,1.05342,0.0008812,0.0008812,0.0008812
8,4502.69,1.37402,0.92534,1.08095,0.82119,0.73509,0.7703,0.47476,1.2081,0.82006,1.03698,0.0008614,0.0008614,0.0008614
9,5053.26,1.35461,0.91164,1.07108,0.81218,0.7379,0.77339,0.47566,1.21573,0.81246,1.03708,0.0008416,0.0008416,0.0008416
10,5594.43,1.32558,0.88949,1.06276,0.79586,0.73936,0.76144,0.46485,1.20402,0.82219,1.04618,0.0008218,0.0008218,0.0008218
11,6165.32,1.30415,0.87388,1.05791,0.82818,0.74929,0.78849,0.49915,1.14492,0.77067,1.02022,0.000802,0.000802,0.000802
12,6723.12,1.28346,0.85743,1.04879,0.81014,0.74453,0.77914,0.48685,1.16529,0.79585,1.03088,0.0007822,0.0007822,0.0007822
13,442.985,1.27426,0.84901,1.04657,0.83321,0.75811,0.79735,0.51096,1.11213,0.75134,1.01674,0.0007624,0.0007624,0.0007624
14,822.198,1.25752,0.83748,1.04179,0.83144,0.75441,0.79355,0.50744,1.10887,0.75108,1.01706,0.0007426,0.0007426,0.0007426
15,1210.24,1.23817,0.82444,1.03793,0.82634,0.75948,0.79857,0.51363,1.09727,0.74909,1.01079,0.0007228,0.0007228,0.0007228
16,1644.97,1.22984,0.82071,1.03442,0.83138,0.76502,0.80339,0.51979,1.08322,0.73325,1.00892,0.000703,0.000703,0.000703
17,2094.1,1.21541,0.80961,1.03168,0.8367,0.76097,0.80419,0.52189,1.07813,0.73322,1.00694,0.0006832,0.0006832,0.0006832
18,2475.29,1.20524,0.80335,1.02898,0.83304,0.76671,0.80788,0.52452,1.07328,0.72249,1.00654,0.0006634,0.0006634,0.0006634
19,2848.2,1.20143,0.79512,1.02459,0.8407,0.76838,0.81123,0.53201,1.045,0.70559,1.00222,0.0006436,0.0006436,0.0006436
20,3220.77,1.18243,0.78514,1.02273,0.83865,0.76876,0.80967,0.53309,1.04514,0.70926,0.99866,0.0006238,0.0006238,0.0006238
21,3638.92,1.18145,0.78165,1.01962,0.83115,0.76652,0.80834,0.52987,1.05565,0.70928,1.00628,0.000604,0.000604,0.000604
22,4033.91,1.16812,0.77539,1.01642,0.84065,0.77211,0.81465,0.53876,1.02881,0.6987,0.99681,0.0005842,0.0005842,0.0005842
23,4441.17,1.16565,0.77213,1.01651,0.83612,0.77913,0.81584,0.54055,1.02503,0.6927,0.99518,0.0005644,0.0005644,0.0005644
24,4856.04,1.15682,0.76415,1.01092,0.83547,0.77534,0.81622,0.53801,1.02712,0.70033,0.99636,0.0005446,0.0005446,0.0005446
25,5284.05,1.16121,0.76819,1.01224,0.84529,0.77649,0.82145,0.54672,1.01428,0.68636,0.99281,0.0005248,0.0005248,0.0005248
