epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.785,2.95817,1.98191,1.74132,0.64081,0.49839,0.50673,0.21828,2.20289,1.44503,1.27023,0.000332682,0.000332682,0.0670645
2,291.074,2.10665,1.27802,1.24315,0.73846,0.6429,0.64191,0.30912,1.83136,1.07782,1.14562,0.000652829,0.000652829,0.0340513
3,155.99,1.88659,1.11818,1.17155,0.76997,0.6533,0.67599,0.34574,1.67086,1.04175,1.11411,0.000959775,0.000959775,0.00102488
4,283.472,1.75849,1.03256,1.1352,0.78631,0.6926,0.71216,0.38945,1.54747,0.93593,1.08182,0.0009406,0.0009406,0.0009406
5,410.359,1.66781,0.97741,1.11229,0.80257,0.70617,0.7389,0.41402,1.47582,0.89232,1.06343,0.0009208,0.0009208,0.0009208
6,537.728,1.61197,0.9425,1.09856,0.81309,0.71637,0.75131,0.43737,1.41294,0.84978,1.05,0.000901,0.000901,0.000901
7,664.548,1.55799,0.91111,1.08596,0.81036,0.72565,0.75954,0.44826,1.37993,0.83461,1.04469,0.0008812,0.0008812,0.0008812
8,791.565,1.51931,0.88905,1.0765,0.80887,0.73155,0.76501,0.45443,1.34283,0.81348,1.04003,0.0008614,0.0008614,0.0008614
9,918.949,1.49504,0.86403,1.06663,0.81835,0.73189,0.77059,0.46311,1.32891,0.80169,1.03779,0.0008416,0.0008416,0.0008416
10,1045.57,1.45478,0.84605,1.06074,0.83059,0.7465,0.78229,0.47326,1.27117,0.77016,1.02057,0.0008218,0.0008218,0.0008218
11,1172.38,1.43915,0.83583,1.05367,0.8275,0.74589,0.78583,0.47404,1.31441,0.77205,1.02102,0.000802,0.000802,0.000802
12,1299,1.41162,0.82265,1.04836,0.82914,0.75206,0.79325,0.4911,1.2392,0.75213,1.01847,0.0007822,0.0007822,0.0007822
13,1427.52,1.39638,0.81255,1.04532,0.83252,0.75241,0.79161,0.48793,1.23951,0.74887,1.01444,0.0007624,0.0007624,0.0007624
14,1554.3,1.38396,0.79904,1.03948,0.83253,0.75689,0.7984,0.49022,1.2244,0.73847,1.01186,0.0007426,0.0007426,0.0007426
15,1681.26,1.37574,0.79477,1.03839,0.84052,0.76286,0.80708,0.50885,1.1829,0.71989,1.00127,0.0007228,0.0007228,0.0007228
16,1808.09,1.35189,0.78221,1.03227,0.84113,0.76645,0.80849,0.51219,1.17602,0.71255,0.99888,0.000703,0.000703,0.000703
