epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,183.691,3.25042,1.86839,1.80774,0.63652,0.53772,0.48267,0.18651,2.4211,1.34178,1.33688,0.000332682,0.000332682,0.0670645
2,313.574,2.34691,1.18339,1.29773,0.69173,0.61999,0.55924,0.24049,2.04895,1.0238,1.19661,0.000652829,0.000652829,0.0340513
3,441.816,2.09804,1.03768,1.22078,0.72626,0.66196,0.63479,0.29153,1.84614,0.94086,1.15512,0.000959775,0.000959775,0.00102488
4,569.736,1.96767,0.96762,1.18518,0.77393,0.68773,0.68383,0.34359,1.70689,0.87685,1.12019,0.0009406,0.0009406,0.0009406
5,697.742,1.86024,0.90968,1.1573,0.78601,0.70556,0.69842,0.35921,1.60777,0.83173,1.09282,0.0009208,0.0009208,0.0009208
6,825.714,1.7955,0.88242,1.14193,0.79021,0.7128,0.70999,0.36301,1.58986,0.80727,1.09028,0.000901,0.000901,0.000901
7,953.729,1.74787,0.84575,1.124,0.80205,0.72308,0.72578,0.38611,1.52234,0.77402,1.07614,0.0008812,0.0008812,0.0008812
8,1081.38,1.68443,0.82283,1.11311,0.81366,0.72836,0.73984,0.40284,1.47606,0.7656,1.069,0.0008614,0.0008614,0.0008614
9,1208.97,1.66472,0.80813,1.10451,0.81924,0.73571,0.74695,0.40381,1.47513,0.74697,1.05213,0.0008416,0.0008416,0.0008416
10,1336.41,1.62285,0.78873,1.09549,0.82332,0.74006,0.7645,0.42742,1.40728,0.73064,1.05414,0.0008218,0.0008218,0.0008218
11,1464.04,1.6014,0.77918,1.09057,0.82066,0.73959,0.75977,0.42549,1.40507,0.72625,1.05232,0.000802,0.000802,0.000802
12,1591.79,1.58154,0.76055,1.08294,0.80554,0.74241,0.74916,0.41127,1.39757,0.73094,1.04821,0.0007822,0.0007822,0.0007822
