epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.115,2.1415,1.2516,1.61991,0.77037,0.70114,0.71272,0.4055,1.46957,1.15543,1.20852,0.000332682,0.000332682,0.0670645
2,292.451,1.54851,0.90892,1.20142,0.83241,0.74853,0.77827,0.46687,1.31257,0.83233,1.14108,0.000663818,0.000663818,0.0340623
3,420.092,1.46668,0.85091,1.16681,0.82983,0.75361,0.78703,0.47703,1.27475,0.78705,1.12451,0.000992753,0.000992753,0.00105786
4,551.493,1.44567,0.83652,1.14985,0.84464,0.74003,0.79019,0.48417,1.28101,0.77175,1.1106,0.0009901,0.0009901,0.0009901
5,689.704,1.40773,0.80921,1.13367,0.83249,0.75825,0.79536,0.49256,1.22572,0.76109,1.09405,0.0009868,0.0009868,0.0009868
6,828.212,1.3787,0.79387,1.12194,0.82008,0.75634,0.79411,0.49149,1.23304,0.74361,1.09764,0.0009835,0.0009835,0.0009835
7,966.448,1.36045,0.77601,1.10872,0.84067,0.76882,0.80857,0.49916,1.21686,0.72001,1.08067,0.0009802,0.0009802,0.0009802
8,1106.23,1.32575,0.75758,1.1033,0.85422,0.76898,0.81623,0.52656,1.15663,0.69537,1.06878,0.0009769,0.0009769,0.0009769
9,1244.26,1.31658,0.75109,1.09524,0.85293,0.77776,0.82104,0.5245,1.15033,0.68992,1.05898,0.0009736,0.0009736,0.0009736
10,1382.02,1.29865,0.74587,1.09192,0.84265,0.78013,0.81939,0.53065,1.13393,0.6903,1.06313,0.0009703,0.0009703,0.0009703
11,1519.98,1.28622,0.73713,1.08895,0.84184,0.77027,0.81158,0.50869,1.17805,0.70688,1.07216,0.000967,0.000967,0.000967
12,1653.97,1.28241,0.72655,1.08394,0.84965,0.78066,0.82582,0.53537,1.12622,0.68359,1.05974,0.0009637,0.0009637,0.0009637
13,1781.56,1.28427,0.72815,1.08178,0.85145,0.77797,0.82619,0.54089,1.11077,0.68045,1.05342,0.0009604,0.0009604,0.0009604
14,1909.24,1.25591,0.71567,1.07641,0.8542,0.78464,0.82757,0.53853,1.09734,0.66398,1.04941,0.0009571,0.0009571,0.0009571
15,2036.86,1.25475,0.71387,1.0741,0.86111,0.78547,0.83276,0.54559,1.09298,0.66156,1.04703,0.0009538,0.0009538,0.0009538
16,2164.27,1.24799,0.71358,1.07354,0.85433,0.785,0.83135,0.54566,1.08455,0.66383,1.0496,0.0009505,0.0009505,0.0009505
17,2292.16,1.24685,0.71459,1.07419,0.85928,0.78775,0.83619,0.55028,1.07266,0.65732,1.0491,0.0009472,0.0009472,0.0009472
