epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.618,2.11049,1.25876,1.62012,0.80699,0.72444,0.74778,0.42411,1.46927,0.97425,1.20687,0.000332682,0.000332682,0.0670645
2,291.939,1.55516,0.90681,1.2078,0.82991,0.75036,0.78111,0.45763,1.33635,0.81808,1.13984,0.000663818,0.000663818,0.0340623
3,419.519,1.47062,0.85122,1.17068,0.83105,0.75627,0.78965,0.47597,1.28804,0.79673,1.11755,0.000992753,0.000992753,0.00105786
4,547.001,1.43285,0.8337,1.15048,0.83719,0.74837,0.79069,0.49045,1.24259,0.74923,1.09605,0.0009901,0.0009901,0.0009901
5,673.605,1.41261,0.80969,1.13457,0.83269,0.7613,0.79759,0.49588,1.21967,0.73951,1.09346,0.0009868,0.0009868,0.0009868
6,799.979,1.37823,0.7888,1.12246,0.83735,0.76448,0.80684,0.50571,1.20727,0.72867,1.08333,0.0009835,0.0009835,0.0009835
7,926.229,1.36114,0.77341,1.10859,0.84325,0.76973,0.8135,0.5167,1.17593,0.70986,1.07378,0.0009802,0.0009802,0.0009802
8,1052.38,1.33452,0.75995,1.10378,0.85286,0.77323,0.81796,0.52647,1.14837,0.69684,1.06461,0.0009769,0.0009769,0.0009769
9,1178.61,1.32091,0.75327,1.09532,0.85931,0.77751,0.82159,0.52253,1.16969,0.69456,1.06522,0.0009736,0.0009736,0.0009736
10,1304.97,1.30335,0.74732,1.09177,0.84092,0.77155,0.81299,0.51921,1.16689,0.70206,1.07357,0.0009703,0.0009703,0.0009703
11,1431.57,1.29131,0.7399,1.08763,0.84563,0.77441,0.81399,0.52098,1.1499,0.69452,1.07294,0.000967,0.000967,0.000967
12,1558.61,1.27601,0.72394,1.08064,0.84592,0.7845,0.82426,0.52777,1.12391,0.68201,1.06027,0.0009637,0.0009637,0.0009637
13,1686.05,1.28365,0.73125,1.07977,0.85425,0.78164,0.82777,0.53493,1.12621,0.69024,1.05119,0.0009604,0.0009604,0.0009604
14,1813.39,1.25497,0.71756,1.07457,0.85278,0.7821,0.82679,0.53819,1.10427,0.67058,1.04681,0.0009571,0.0009571,0.0009571
15,1940.64,1.25585,0.71617,1.07231,0.84686,0.78132,0.82557,0.53635,1.0983,0.68226,1.04994,0.0009538,0.0009538,0.0009538
16,2067.52,1.25224,0.71853,1.07242,0.85559,0.78619,0.83154,0.54083,1.09763,0.66567,1.0529,0.0009505,0.0009505,0.0009505
17,2194.74,1.23763,0.71184,1.06872,0.86691,0.79056,0.8393,0.56296,1.06526,0.64025,1.03803,0.0009472,0.0009472,0.0009472
18,2321.6,1.23115,0.7055,1.06397,0.85513,0.7904,0.83609,0.54442,1.09425,0.66173,1.04485,0.0009439,0.0009439,0.0009439
19,2448.89,1.22894,0.70722,1.06449,0.86112,0.78751,0.83758,0.55987,1.06349,0.65297,1.03654,0.0009406,0.0009406,0.0009406
20,2576.02,1.2262,0.69807,1.05971,0.86055,0.79237,0.8375,0.55504,1.05682,0.65191,1.03552,0.0009373,0.0009373,0.0009373
21,2702.67,1.21245,0.69606,1.05856,0.86681,0.79104,0.84003,0.55774,1.04886,0.64,1.03082,0.000934,0.000934,0.000934
