epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.447,1.94861,1.30219,1.69116,0.79162,0.71407,0.73768,0.42084,1.37786,0.95329,1.28494,0.000332682,0.000332682,0.0670645
2,289.581,1.42565,0.95466,1.24724,0.73852,0.72153,0.71036,0.40655,1.32106,0.98696,1.21541,0.000663818,0.000663818,0.0340623
3,416.924,1.34885,0.89253,1.20194,0.81681,0.74618,0.78141,0.47758,1.19196,0.86188,1.1531,0.000992753,0.000992753,0.00105786
4,543.51,1.30915,0.86916,1.18655,0.82109,0.75327,0.78805,0.48215,1.18534,0.82775,1.15399,0.0009901,0.0009901,0.0009901
5,670.068,1.26093,0.83632,1.16322,0.82409,0.75722,0.79283,0.49721,1.13057,0.78374,1.13399,0.0009868,0.0009868,0.0009868
6,796.589,1.23702,0.81213,1.1516,0.83317,0.76892,0.79937,0.50653,1.11078,0.75717,1.12697,0.0009835,0.0009835,0.0009835
7,923.402,1.21804,0.80596,1.1427,0.83089,0.77056,0.80669,0.51556,1.07421,0.7425,1.11895,0.0009802,0.0009802,0.0009802
8,1050.33,1.20167,0.79546,1.13438,0.83964,0.77449,0.81469,0.52486,1.07303,0.72645,1.11513,0.0009769,0.0009769,0.0009769
9,1177.15,1.18452,0.78514,1.12892,0.81665,0.76792,0.79889,0.50996,1.09017,0.77316,1.11677,0.0009736,0.0009736,0.0009736
10,1304.05,1.18624,0.78216,1.11976,0.84851,0.77239,0.81837,0.53527,1.04836,0.7164,1.09625,0.0009703,0.0009703,0.0009703
11,1430.82,1.17554,0.77319,1.11235,0.85041,0.78616,0.82666,0.54843,1.02811,0.70252,1.08208,0.000967,0.000967,0.000967
12,1557.73,1.17535,0.77705,1.11227,0.86096,0.78412,0.8278,0.55118,1.01765,0.69118,1.07622,0.0009637,0.0009637,0.0009637
13,1684.61,1.1589,0.76197,1.1042,0.85242,0.78737,0.82804,0.55459,1.00837,0.68568,1.07707,0.0009604,0.0009604,0.0009604
14,1811.34,1.15825,0.75761,1.10212,0.84971,0.78082,0.82528,0.5455,1.02619,0.69077,1.0913,0.0009571,0.0009571,0.0009571
15,1938.27,1.14649,0.75307,1.10092,0.85019,0.78478,0.82808,0.55019,1.01401,0.68083,1.07921,0.0009538,0.0009538,0.0009538
16,2065.9,1.13313,0.74192,1.09316,0.85355,0.78524,0.83281,0.55922,1.00408,0.67196,1.07336,0.0009505,0.0009505,0.0009505
17,2192.74,1.1371,0.74397,1.09279,0.85405,0.78026,0.82851,0.55256,1.00662,0.67979,1.07966,0.0009472,0.0009472,0.0009472
18,2319.5,1.12887,0.73764,1.08948,0.85774,0.78805,0.83437,0.56003,0.98672,0.66524,1.07427,0.0009439,0.0009439,0.0009439
19,2446.43,1.13516,0.73663,1.08832,0.85287,0.7885,0.83121,0.56061,0.98627,0.67022,1.0731,0.0009406,0.0009406,0.0009406
20,2573.2,1.12171,0.73234,1.08676,0.86166,0.79106,0.83686,0.56889,0.96708,0.65727,1.06163,0.0009373,0.0009373,0.0009373
21,2699.13,1.11124,0.72632,1.08459,0.85934,0.79449,0.83917,0.56916,0.96334,0.65556,1.06336,0.000934,0.000934,0.000934
22,2825.4,1.10754,0.72252,1.07998,0.85958,0.79396,0.83917,0.56966,0.97053,0.65297,1.06773,0.0009307,0.0009307,0.0009307
23,2952.12,1.11002,0.72421,1.08201,0.85717,0.79501,0.83849,0.56745,0.96682,0.65574,1.06525,0.0009274,0.0009274,0.0009274
24,3078.81,1.09627,0.71874,1.08119,0.86009,0.79587,0.84205,0.57635,0.95198,0.64385,1.0588,0.0009241,0.0009241,0.0009241
25,3205.88,1.09837,0.71726,1.07432,0.85678,0.79614,0.8403,0.57228,0.95409,0.64882,1.06114,0.0009208,0.0009208,0.0009208
26,3332.17,1.10238,0.71842,1.08111,0.86573,0.79962,0.84472,0.57876,0.95229,0.63694,1.05727,0.0009175,0.0009175,0.0009175
27,3458.92,1.08746,0.70992,1.07402,0.86165,0.79795,0.84591,0.58085,0.94298,0.63759,1.05418,0.0009142,0.0009142,0.0009142
28,3585.63,1.08518,0.70685,1.07369,0.85541,0.79739,0.84118,0.57421,0.95261,0.64125,1.06309,0.0009109,0.0009109,0.0009109
29,3712.37,1.08796,0.70867,1.07179,0.8658,0.80354,0.84753,0.58763,0.9213,0.62878,1.04466,0.0009076,0.0009076,0.0009076
30,3839,1.07916,0.70014,1.06777,0.86582,0.79805,0.84614,0.58397,0.93026,0.63274,1.05189,0.0009043,0.0009043,0.0009043
31,3965.58,1.08016,0.69952,1.06952,0.86832,0.79842,0.84649,0.58553,0.92897,0.62705,1.04745,0.000901,0.000901,0.000901
32,4092.67,1.07875,0.69619,1.06581,0.86442,0.79794,0.84638,0.584,0.93273,0.63064,1.04933,0.0008977,0.0008977,0.0008977
33,4219.37,1.07104,0.69765,1.06489,0.86272,0.79946,0.84459,0.58304,0.93156,0.62764,1.05207,0.0008944,0.0008944,0.0008944
34,4345.93,1.06775,0.69173,1.06253,0.86472,0.79809,0.84735,0.58645,0.92522,0.63455,1.04314,0.0008911,0.0008911,0.0008911
35,4472.66,1.06303,0.68985,1.06162,0.86243,0.80374,0.84878,0.58551,0.92212,0.62153,1.05387,0.0008878,0.0008878,0.0008878
36,4599.44,1.06885,0.69274,1.06265,0.86719,0.80597,0.85132,0.59053,0.92063,0.61232,1.04821,0.0008845,0.0008845,0.0008845
37,4726.06,1.06908,0.6934,1.06676,0.86672,0.80474,0.85056,0.59337,0.91296,0.61231,1.04368,0.0008812,0.0008812,0.0008812
38,4852.64,1.05427,0.68245,1.05991,0.86794,0.80395,0.85025,0.59035,0.91518,0.61563,1.0476,0.0008779,0.0008779,0.0008779
39,4979.51,1.05909,0.68661,1.06159,0.86594,0.79836,0.84638,0.58304,0.92777,0.62851,1.05269,0.0008746,0.0008746,0.0008746
40,5105.64,1.0602,0.68393,1.05976,0.86587,0.80158,0.84853,0.58832,0.91514,0.61962,1.04723,0.0008713,0.0008713,0.0008713
41,5232.2,1.05608,0.68354,1.05717,0.8723,0.80346,0.85301,0.59638,0.90359,0.60615,1.04192,0.000868,0.000868,0.000868
42,5358.73,1.0541,0.68524,1.05584,0.87273,0.80634,0.85418,0.59677,0.90144,0.60533,1.0406,0.0008647,0.0008647,0.0008647
43,5485.2,1.043,0.67519,1.05451,0.86798,0.80442,0.85197,0.5932,0.90425,0.60916,1.04638,0.0008614,0.0008614,0.0008614
44,5611.93,1.04894,0.67876,1.05599,0.87203,0.80441,0.85308,0.59788,0.89514,0.60562,1.03779,0.0008581,0.0008581,0.0008581
45,5738.56,1.05098,0.67713,1.05387,0.87082,0.8074,0.85266,0.59443,0.90685,0.60934,1.04347,0.0008548,0.0008548,0.0008548
46,5865.29,1.0531,0.67731,1.05307,0.87008,0.80778,0.85536,0.59587,0.90135,0.6024,1.04408,0.0008515,0.0008515,0.0008515
