epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.486,1.91121,1.28034,1.6566,0.75436,0.71379,0.71887,0.41879,1.33337,1.09729,1.24729,0.000332682,0.000332682,0.0670645
2,290.727,1.40426,0.93381,1.22682,0.82348,0.75128,0.78194,0.47833,1.21409,0.83775,1.16956,0.000663818,0.000663818,0.0340623
3,417.324,1.3304,0.87599,1.19126,0.83283,0.75309,0.78858,0.48694,1.18412,0.80402,1.15657,0.000992753,0.000992753,0.00105786
4,543.931,1.295,0.85152,1.17295,0.82461,0.76001,0.79419,0.50231,1.12161,0.77717,1.13552,0.0009901,0.0009901,0.0009901
5,670.224,1.25531,0.82628,1.16023,0.81742,0.75793,0.78849,0.49122,1.12666,0.78585,1.14027,0.0009868,0.0009868,0.0009868
6,796.578,1.23205,0.8119,1.15092,0.82454,0.76129,0.8,0.50317,1.11699,0.76442,1.1363,0.0009835,0.0009835,0.0009835
7,922.914,1.21527,0.7981,1.13831,0.84181,0.76774,0.80913,0.5226,1.07029,0.72689,1.11664,0.0009802,0.0009802,0.0009802
8,1049.16,1.19145,0.7859,1.13676,0.82945,0.77068,0.80597,0.51638,1.06568,0.74092,1.11502,0.0009769,0.0009769,0.0009769
9,1175.51,1.1836,0.77897,1.12719,0.85364,0.77134,0.8192,0.53403,1.04305,0.71576,1.09909,0.0009736,0.0009736,0.0009736
10,1301.65,1.17707,0.77792,1.12061,0.82174,0.76861,0.80723,0.51948,1.06611,0.75953,1.11031,0.0009703,0.0009703,0.0009703
11,1427.94,1.1685,0.7725,1.11436,0.83049,0.77258,0.80797,0.5197,1.07282,0.73922,1.10722,0.000967,0.000967,0.000967
12,1554.15,1.16746,0.7651,1.10969,0.85013,0.77945,0.82415,0.5429,1.03849,0.70083,1.09098,0.0009637,0.0009637,0.0009637
13,1680.46,1.15681,0.75814,1.1028,0.83144,0.77589,0.81742,0.53003,1.06519,0.72766,1.10148,0.0009604,0.0009604,0.0009604
14,1806.66,1.14485,0.75233,1.10227,0.86008,0.78936,0.83238,0.55547,1.00434,0.68089,1.07557,0.0009571,0.0009571,0.0009571
15,1933.19,1.14151,0.75022,1.09663,0.84073,0.78382,0.82204,0.54219,1.02716,0.70513,1.08476,0.0009538,0.0009538,0.0009538
16,2059.53,1.13333,0.74495,1.09602,0.85343,0.7844,0.83055,0.55259,1.00809,0.68669,1.07953,0.0009505,0.0009505,0.0009505
17,2185.95,1.12919,0.74065,1.09224,0.85806,0.79316,0.84075,0.57067,0.97638,0.65158,1.06736,0.0009472,0.0009472,0.0009472
18,2312.43,1.12716,0.73867,1.09004,0.86096,0.78794,0.83882,0.56565,0.98657,0.66685,1.06869,0.0009439,0.0009439,0.0009439
19,2438.85,1.11789,0.73567,1.08778,0.86049,0.78808,0.83585,0.56413,0.98563,0.66462,1.06303,0.0009406,0.0009406,0.0009406
20,2565.2,1.11473,0.72887,1.08265,0.86212,0.79183,0.83703,0.5679,0.97466,0.65367,1.06774,0.0009373,0.0009373,0.0009373
21,2691.49,1.10813,0.7258,1.08356,0.8605,0.79169,0.83865,0.57263,0.95995,0.6491,1.06522,0.000934,0.000934,0.000934
22,2820.77,1.10062,0.72024,1.08116,0.86066,0.7931,0.84159,0.5715,0.96117,0.6503,1.06162,0.0009307,0.0009307,0.0009307
23,2947.19,1.10355,0.72013,1.07839,0.86616,0.79534,0.8406,0.57702,0.94482,0.64644,1.05421,0.0009274,0.0009274,0.0009274
24,3073.72,1.09726,0.71699,1.07749,0.85699,0.79127,0.83486,0.56726,0.96399,0.65428,1.06503,0.0009241,0.0009241,0.0009241
25,3200.05,1.09594,0.71516,1.07676,0.85509,0.7914,0.83809,0.56927,0.95281,0.65653,1.06166,0.0009208,0.0009208,0.0009208
26,3326.67,1.09173,0.71472,1.07408,0.86519,0.79859,0.84569,0.58236,0.94316,0.63849,1.05042,0.0009175,0.0009175,0.0009175
27,3453.46,1.08604,0.70859,1.07108,0.85245,0.79187,0.83692,0.56439,0.97212,0.6586,1.0686,0.0009142,0.0009142,0.0009142
28,3579.71,1.08482,0.70829,1.07492,0.86146,0.79898,0.84555,0.58071,0.94137,0.63658,1.05542,0.0009109,0.0009109,0.0009109
29,3706.27,1.08148,0.70235,1.07083,0.86936,0.79193,0.84428,0.5823,0.93122,0.6351,1.05185,0.0009076,0.0009076,0.0009076
30,3832.29,1.07484,0.70066,1.06902,0.8706,0.8011,0.84993,0.58899,0.92435,0.62382,1.04672,0.0009043,0.0009043,0.0009043
31,3958.64,1.07199,0.69745,1.06832,0.86776,0.80434,0.84978,0.59107,0.91719,0.61888,1.04914,0.000901,0.000901,0.000901
32,4085.03,1.07152,0.69526,1.0662,0.86329,0.79958,0.84734,0.58193,0.93352,0.63248,1.05367,0.0008977,0.0008977,0.0008977
33,4211.36,1.06997,0.69267,1.06345,0.86916,0.80081,0.84871,0.58707,0.92685,0.62386,1.04474,0.0008944,0.0008944,0.0008944
34,4337.78,1.06259,0.68775,1.06391,0.86451,0.79681,0.84708,0.58472,0.93003,0.62713,1.05242,0.0008911,0.0008911,0.0008911
35,4464.04,1.06115,0.6839,1.06295,0.86185,0.8059,0.84933,0.58971,0.92196,0.62203,1.04884,0.0008878,0.0008878,0.0008878
