epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,317.26,0.42164,0.64474,1.0329,0.88285,0.82127,0.86938,0.63688,0.35379,0.55179,0.99027,9.99348e-05,9.99348e-05,0.0667883
2,623.799,0.40357,0.60514,1.01378,0.88767,0.82514,0.87345,0.64097,0.35447,0.53567,0.9914,0.000199154,0.000199154,0.0335542
3,926.067,0.3953,0.58317,1.00839,0.8833,0.82589,0.87177,0.63784,0.35461,0.53856,0.99962,0.00029527,0.00029527,0.000317014
4,1229.93,0.39222,0.57506,1.00341,0.88522,0.82662,0.87403,0.64205,0.35113,0.53101,0.99241,0.000289572,0.000289572,0.000289572
5,1533.12,0.3923,0.57249,1.00409,0.88922,0.8269,0.87596,0.64271,0.35173,0.52792,0.98908,0.000281632,0.000281632,0.000281632
6,1836.62,0.39294,0.5734,1.0025,0.88945,0.82903,0.87556,0.64732,0.34637,0.52231,0.98662,0.000271639,0.000271639,0.000271639
7,2140.49,0.39092,0.57349,1.00059,0.88713,0.82906,0.87539,0.64392,0.35091,0.52754,0.99145,0.000259752,0.000259752,0.000259752
8,2444.47,0.38948,0.56929,1.00036,0.88681,0.83111,0.87508,0.64543,0.34908,0.52446,0.98866,0.000246157,0.000246157,0.000246157
9,2748.66,0.38969,0.56745,0.99882,0.8863,0.8296,0.87609,0.64314,0.3494,0.52937,0.988,0.00023107,0.00023107,0.00023107
10,3051.75,0.39164,0.56988,1.00097,0.88751,0.8294,0.87585,0.64583,0.34931,0.5232,0.99046,0.000214728,0.000214728,0.000214728
11,3355.4,0.38909,0.56632,0.99875,0.88577,0.82861,0.87535,0.64631,0.3465,0.52434,0.98706,0.000197389,0.000197389,0.000197389
12,3658.49,0.38923,0.56692,0.99771,0.88663,0.82993,0.87514,0.64479,0.34973,0.52624,0.98906,0.000179326,0.000179326,0.000179326
13,3961.57,0.38959,0.5646,0.99956,0.88748,0.82982,0.87559,0.6465,0.34763,0.52089,0.98653,0.000160824,0.000160824,0.000160824
14,4264.75,0.38708,0.56394,0.99531,0.88923,0.83202,0.87636,0.64769,0.34586,0.52013,0.98517,0.000142176,0.000142176,0.000142176
15,4567.71,0.38619,0.56161,0.99615,0.88552,0.83023,0.87528,0.64548,0.34712,0.52425,0.98726,0.000123674,0.000123674,0.000123674
16,4874.93,0.38516,0.55994,1.00491,0.88732,0.82472,0.87333,0.6436,0.3484,0.52526,0.98941,0.000105611,0.000105611,0.000105611
17,5172.06,0.38334,0.55318,1.00292,0.88804,0.82823,0.87552,0.64693,0.34582,0.52106,0.98526,8.82718e-05,8.82718e-05,8.82718e-05
18,5468.79,0.38134,0.55122,1.00197,0.89103,0.8276,0.87638,0.64782,0.34572,0.52055,0.98445,7.19297e-05,7.19297e-05,7.19297e-05
19,5766.73,0.38016,0.54696,1.00046,0.88997,0.82807,0.87604,0.64667,0.3473,0.5207,0.98585,5.68425e-05,5.68425e-05,5.68425e-05
20,6064.09,0.3806,0.54782,1.00163,0.89003,0.8276,0.87574,0.64668,0.34729,0.52066,0.98769,4.32482e-05,4.32482e-05,4.32482e-05
21,6361.51,0.3787,0.54503,1.00008,0.88962,0.82993,0.8767,0.64805,0.34642,0.5184,0.98575,3.1361e-05,3.1361e-05,3.1361e-05
22,6658.28,0.37941,0.54478,0.99838,0.89024,0.8282,0.87618,0.64766,0.3466,0.51885,0.98688,2.13685e-05,2.13685e-05,2.13685e-05
23,6955.92,0.37915,0.54478,0.99937,0.88988,0.82857,0.87626,0.64854,0.34529,0.51888,0.98601,1.34282e-05,1.34282e-05,1.34282e-05
24,7253.55,0.37727,0.54276,0.9982,0.88962,0.82853,0.87621,0.64737,0.34672,0.51968,0.98674,7.6654e-06,7.6654e-06,7.6654e-06
25,7551.28,0.37934,0.54387,0.99994,0.88855,0.83063,0.87656,0.64809,0.34608,0.5186,0.98651,4.17097e-06,4.17097e-06,4.17097e-06
