conf,precision,recall,F1,F2
0.00,0.77887,0.95973,0.85989,0.91714
0.01,0.77887,0.95973,0.85989,0.91714
0.02,0.77887,0.95973,0.85989,0.91714
0.03,0.77887,0.95973,0.85989,0.91714
0.04,0.77887,0.95973,0.85989,0.91714
0.05,0.77887,0.95973,0.85989,0.91714
0.06,0.78313,0.95973,0.86248,0.91831
0.07,0.78313,0.95973,0.86248,0.91831
0.08,0.78313,0.95973,0.86248,0.91831
0.09,0.78485,0.95973,0.86353,0.91879
0.10,0.78485,0.95973,0.86353,0.91879
0.11,0.78571,0.95973,0.86405,0.91902
0.12,0.78571,0.95973,0.86405,0.91902
0.13,0.78658,0.95973,0.86457,0.91926
0.14,0.78744,0.95973,0.86509,0.91950
0.15,0.79093,0.95973,0.86719,0.92044
0.16,0.79356,0.95973,0.86877,0.92115
0.17,0.79533,0.95973,0.86983,0.92163
0.18,0.79888,0.95973,0.87195,0.92258
0.19,0.80157,0.95973,0.87355,0.92330
0.20,0.80427,0.95973,0.87515,0.92401
0.21,0.80609,0.95973,0.87623,0.92449
0.22,0.80882,0.95973,0.87784,0.92521
0.23,0.81158,0.95973,0.87946,0.92593
0.24,0.81342,0.95973,0.88054,0.92641
0.25,0.81995,0.95973,0.88435,0.92809
0.26,0.82090,0.95973,0.88490,0.92833
0.27,0.82278,0.95973,0.88600,0.92881
0.28,0.82564,0.95973,0.88765,0.92954
0.29,0.82947,0.95973,0.88986,0.93050
0.30,0.83140,0.95973,0.89097,0.93099
0.31,0.83392,0.95705,0.89125,0.92960
0.32,0.83451,0.95436,0.89042,0.92771
0.33,0.83647,0.95436,0.89154,0.92820
0.34,0.83844,0.95436,0.89266,0.92868
0.35,0.84043,0.95436,0.89378,0.92917
0.36,0.84405,0.95168,0.89464,0.92801
0.37,0.84976,0.94899,0.89664,0.92733
0.38,0.85283,0.94899,0.89835,0.92807
0.39,0.85905,0.94899,0.90179,0.92953
0.40,0.86308,0.94765,0.90339,0.92944
0.41,0.86593,0.94497,0.90372,0.92803
0.42,0.86897,0.94362,0.90476,0.92769
0.43,0.87531,0.94228,0.90756,0.92808
0.44,0.87845,0.94094,0.90862,0.92774
0.45,0.88020,0.93691,0.90767,0.92499
0.46,0.88354,0.93691,0.90945,0.92573
0.47,0.88648,0.93289,0.90909,0.92322
0.48,0.88832,0.92886,0.90814,0.92046
0.49,0.89276,0.92752,0.90981,0.92035
0.50,0.89263,0.92617,0.90909,0.91926
0.51,0.89700,0.92349,0.91005,0.91807
0.52,0.89855,0.91544,0.90691,0.91201
0.53,0.89960,0.91409,0.90679,0.91116
0.54,0.90400,0.91007,0.90702,0.90885
0.55,0.90688,0.90201,0.90444,0.90298
0.56,0.90587,0.89128,0.89851,0.89416
0.57,0.91034,0.88591,0.89796,0.89069
0.58,0.91226,0.87919,0.89542,0.88561
0.59,0.91525,0.86980,0.89195,0.87852
0.60,0.91679,0.85772,0.88627,0.86891
0.61,0.92185,0.85503,0.88719,0.86761
0.62,0.92398,0.84832,0.88453,0.86245
0.63,0.92697,0.83490,0.87853,0.85182
0.64,0.92868,0.82148,0.87179,0.84089
0.65,0.92912,0.80940,0.86514,0.83081
0.66,0.92947,0.79597,0.85756,0.81951
0.67,0.93323,0.78792,0.85444,0.81324
0.68,0.93548,0.77852,0.84982,0.80556
0.69,0.93729,0.76242,0.84086,0.79197
0.70,0.94088,0.74765,0.83321,0.77968
0.71,0.94221,0.72215,0.81763,0.75753
0.72,0.94364,0.69664,0.80154,0.73513
0.73,0.94953,0.68188,0.79375,0.72262
0.74,0.95728,0.66174,0.78254,0.70529
0.75,0.95528,0.63087,0.75990,0.67684
0.76,0.95513,0.60000,0.73702,0.64820
0.77,0.95711,0.56913,0.71380,0.61934
0.78,0.95465,0.53691,0.68729,0.58841
0.79,0.95455,0.50738,0.66258,0.55983
0.80,0.95337,0.49396,0.65075,0.54664
0.81,0.95135,0.47248,0.63139,0.52537
0.82,0.95918,0.44161,0.60478,0.49503
0.83,0.96226,0.41074,0.57573,0.46392
0.84,0.96043,0.35839,0.52199,0.40976
0.85,0.96525,0.33557,0.49801,0.38592
0.86,0.96624,0.30738,0.46640,0.35592
0.87,0.97115,0.27114,0.42392,0.31681
0.88,0.97268,0.23893,0.38362,0.28138
0.89,0.96894,0.20940,0.34437,0.24833
0.90,0.96454,0.18255,0.30700,0.21788
0.91,0.96774,0.16107,0.27618,0.19330
0.92,0.96190,0.13557,0.23765,0.16370
0.93,0.97619,0.11007,0.19783,0.13381
0.94,0.98507,0.08859,0.16256,0.10830
0.95,0.98077,0.06846,0.12798,0.08410
0.96,0.97368,0.04966,0.09451,0.06130
0.97,1.00000,0.02685,0.05229,0.03333
0.98,1.00000,0.01208,0.02387,0.01506
0.99,1.00000,0.00537,0.01068,0.00670
1.00,0.00000,0.00000,0.00000,0.00000
