conf,precision,recall,F1,F2
0.00,0.77996,0.96107,0.86109,0.91842
0.01,0.77996,0.96107,0.86109,0.91842
0.02,0.77996,0.96107,0.86109,0.91842
0.03,0.77996,0.96107,0.86109,0.91842
0.04,0.77996,0.96107,0.86109,0.91842
0.05,0.77996,0.96107,0.86109,0.91842
0.06,0.78423,0.96107,0.86369,0.91960
0.07,0.78423,0.96107,0.86369,0.91960
0.08,0.78423,0.96107,0.86369,0.91960
0.09,0.78595,0.96107,0.86473,0.92007
0.10,0.78595,0.96107,0.86473,0.92007
0.11,0.78681,0.96107,0.86526,0.92031
0.12,0.78681,0.96107,0.86526,0.92031
0.13,0.78768,0.96107,0.86578,0.92055
0.14,0.78855,0.96107,0.86630,0.92078
0.15,0.79204,0.96107,0.86841,0.92173
0.16,0.79467,0.96107,0.86999,0.92244
0.17,0.79644,0.96107,0.87105,0.92292
0.18,0.80000,0.96107,0.87317,0.92387
0.19,0.80269,0.96107,0.87477,0.92459
0.20,0.80540,0.96107,0.87638,0.92530
0.21,0.80722,0.96107,0.87745,0.92578
0.22,0.80995,0.96107,0.87907,0.92650
0.23,0.81271,0.96107,0.88069,0.92722
0.24,0.81456,0.96107,0.88177,0.92770
0.25,0.82110,0.96107,0.88559,0.92939
0.26,0.82204,0.96107,0.88614,0.92963
0.27,0.82394,0.96107,0.88724,0.93011
0.28,0.82679,0.96107,0.88889,0.93084
0.29,0.83063,0.96107,0.89110,0.93181
0.30,0.83256,0.96107,0.89221,0.93229
0.31,0.83509,0.95839,0.89250,0.93090
0.32,0.83568,0.95570,0.89167,0.92902
0.33,0.83765,0.95570,0.89279,0.92950
0.34,0.83962,0.95570,0.89391,0.92999
0.35,0.84161,0.95570,0.89503,0.93048
0.36,0.84524,0.95302,0.89590,0.92932
0.37,0.85096,0.95034,0.89791,0.92865
0.38,0.85404,0.95034,0.89962,0.92938
0.39,0.86027,0.95034,0.90306,0.93084
0.40,0.86430,0.94899,0.90467,0.93075
0.41,0.86716,0.94631,0.90501,0.92934
0.42,0.87021,0.94497,0.90605,0.92901
0.43,0.87656,0.94362,0.90886,0.92940
0.44,0.87970,0.94228,0.90992,0.92906
0.45,0.88146,0.93826,0.90897,0.92632
0.46,0.88481,0.93826,0.91075,0.92706
0.47,0.88776,0.93423,0.91040,0.92455
0.48,0.88960,0.93020,0.90945,0.92179
0.49,0.89406,0.92886,0.91113,0.92168
0.50,0.89392,0.92752,0.91041,0.92060
0.51,0.89831,0.92483,0.91138,0.91940
0.52,0.89987,0.91678,0.90824,0.91335
0.53,0.90092,0.91544,0.90812,0.91250
0.54,0.90533,0.91141,0.90836,0.91019
0.55,0.90823,0.90336,0.90579,0.90433
0.56,0.90723,0.89262,0.89986,0.89550
0.57,0.91172,0.88725,0.89932,0.89204
0.58,0.91365,0.88054,0.89679,0.88697
0.59,0.91667,0.87114,0.89332,0.87988
0.60,0.91822,0.85906,0.88766,0.87027
0.61,0.92330,0.85638,0.88858,0.86897
0.62,0.92544,0.84966,0.88593,0.86381
0.63,0.92846,0.83624,0.87994,0.85319
0.64,0.93020,0.82282,0.87322,0.84226
0.65,0.93066,0.81074,0.86657,0.83219
0.66,0.93103,0.79732,0.85900,0.82090
0.67,0.93482,0.78926,0.85590,0.81463
0.68,0.93710,0.77987,0.85128,0.80694
0.69,0.93894,0.76376,0.84234,0.79336
0.70,0.94257,0.74899,0.83470,0.78108
0.71,0.94396,0.72349,0.81915,0.75894
0.72,0.94545,0.69799,0.80309,0.73654
0.73,0.95140,0.68322,0.79531,0.72404
0.74,0.95922,0.66309,0.78413,0.70672
0.75,0.95732,0.63221,0.76152,0.67828
0.76,0.95726,0.60134,0.73866,0.64965
0.77,0.95937,0.57047,0.71549,0.62080
0.78,0.95704,0.53826,0.68900,0.58988
0.79,0.95707,0.50872,0.66433,0.56132
0.80,0.95596,0.49530,0.65252,0.54813
0.81,0.95405,0.47383,0.63318,0.52687
0.82,0.96210,0.44295,0.60662,0.49654
0.83,0.96541,0.41208,0.57761,0.46543
0.84,0.96403,0.35973,0.52395,0.41130
0.85,0.96911,0.33691,0.50000,0.38747
0.86,0.97046,0.30872,0.46843,0.35748
0.87,0.97596,0.27248,0.42602,0.31838
0.88,0.97814,0.24027,0.38578,0.28296
0.89,0.97516,0.21074,0.34658,0.24992
0.90,0.97163,0.18389,0.30926,0.21948
0.91,0.97581,0.16242,0.27848,0.19491
0.92,0.97143,0.13691,0.24000,0.16532
0.93,0.97619,0.11007,0.19783,0.13381
0.94,0.98507,0.08859,0.16256,0.10830
0.95,0.98077,0.06846,0.12798,0.08410
0.96,0.97368,0.04966,0.09451,0.06130
0.97,1.00000,0.02685,0.05229,0.03333
0.98,1.00000,0.01208,0.02387,0.01506
0.99,1.00000,0.00537,0.01068,0.00670
1.00,0.00000,0.00000,0.00000,0.00000
