epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,274.308,1.75699,1.69781,0.98644,0.81075,0.7064,0.75369,0.47367,1.41955,0.81815,0.91625,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062
2,511.92,1.58676,0.9356,0.92389,0.82011,0.73311,0.78051,0.49939,1.37546,0.77999,0.90396,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803
3,739.656,1.56567,0.88842,0.91402,0.83682,0.7297,0.78662,0.50317,1.39403,0.77683,0.89996,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392
4,960.685,1.55416,0.88104,0.91377,0.83174,0.743,0.79174,0.50949,1.36831,0.76952,0.89529,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,1180.27,1.5416,0.86175,0.90336,0.84004,0.7483,0.79928,0.5209,1.34045,0.75252,0.89258,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,1399.07,1.5089,0.84043,0.90097,0.84663,0.75019,0.80413,0.53346,1.316,0.73399,0.88588,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,1618.36,1.50495,0.83077,0.90032,0.83764,0.75726,0.80297,0.52714,1.33644,0.74028,0.89162,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,1838.56,1.48785,0.81306,0.89385,0.84149,0.7546,0.80748,0.53631,1.30271,0.72438,0.88777,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,2058.29,1.46653,0.80794,0.89311,0.84995,0.76221,0.81368,0.54275,1.29651,0.71341,0.88135,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,2277.53,1.46613,0.79921,0.8935,0.85392,0.76304,0.81691,0.5475,1.28806,0.69938,0.87967,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,2497.33,1.44986,0.78303,0.88707,0.85017,0.76122,0.81604,0.54617,1.2732,0.71701,0.87965,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,2716.6,1.43069,0.77127,0.88465,0.85192,0.77176,0.82468,0.55758,1.25869,0.68864,0.87624,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,2936.43,1.43006,0.76315,0.88332,0.84867,0.77008,0.82179,0.55588,1.25926,0.69801,0.88099,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,3156.19,1.42871,0.76448,0.88178,0.85344,0.77049,0.82426,0.55919,1.24798,0.69322,0.87643,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,3375.99,1.42051,0.74979,0.87811,0.84845,0.7748,0.82429,0.55874,1.24435,0.68642,0.87974,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,3592.45,1.32414,0.71823,0.88703,0.85811,0.77469,0.82767,0.56535,1.24112,0.68117,0.87213,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,3807.8,1.31528,0.71038,0.88638,0.85949,0.77387,0.82584,0.56539,1.23505,0.68205,0.87123,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,4024.31,1.30907,0.70193,0.88349,0.86475,0.77259,0.82723,0.57193,1.23184,0.67793,0.87125,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,4242.4,1.28809,0.68775,0.87941,0.85713,0.77537,0.82823,0.57523,1.21877,0.67574,0.86905,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,4459.6,1.29136,0.67905,0.8788,0.86663,0.78137,0.83207,0.57546,1.22147,0.66713,0.86928,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,4674.3,1.2779,0.67085,0.87732,0.86541,0.77973,0.83403,0.58027,1.20864,0.66578,0.86814,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,4888.14,1.27417,0.66196,0.87294,0.86762,0.78223,0.83541,0.58165,1.2012,0.66345,0.86693,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,5103.31,1.25684,0.65481,0.87297,0.87002,0.78178,0.83653,0.58398,1.19952,0.65475,0.86677,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,5317.93,1.25696,0.64326,0.87256,0.871,0.78265,0.83748,0.58611,1.19392,0.65385,0.86617,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,5532.21,1.25523,0.64669,0.87129,0.87153,0.7835,0.83788,0.58832,1.19021,0.65201,0.8657,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
