epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,197.07,1.85381,1.57443,1.01084,0.78847,0.66179,0.7116,0.42829,1.53421,0.90507,0.93404,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062
2,363.041,1.6867,1.0133,0.93947,0.80671,0.6935,0.74641,0.46016,1.4856,0.85181,0.91813,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803
3,521.539,1.66372,0.96392,0.92752,0.80309,0.69965,0.75186,0.45952,1.48915,0.85053,0.91594,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392
4,677.872,1.64024,0.94482,0.92666,0.81306,0.71318,0.76416,0.47811,1.44001,0.8218,0.91117,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,834.69,1.6211,0.9189,0.91441,0.82565,0.72719,0.77939,0.4955,1.41406,0.78567,0.90345,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,991.095,1.59157,0.89523,0.91379,0.81843,0.728,0.77764,0.49476,1.42366,0.79496,0.90225,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,1147.71,1.58264,0.88415,0.91085,0.83302,0.73531,0.78704,0.50854,1.38666,0.77013,0.89796,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,1305,1.56606,0.8644,0.90296,0.8349,0.74198,0.79191,0.50969,1.37487,0.77186,0.89584,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,1461.23,1.54237,0.8576,0.90304,0.83048,0.74072,0.79097,0.51077,1.3756,0.76654,0.89698,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,1617.66,1.5413,0.85633,0.90314,0.84115,0.74478,0.7991,0.52206,1.35144,0.75002,0.88767,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,1774.3,1.52244,0.83589,0.896,0.84335,0.74783,0.8001,0.52324,1.34034,0.74267,0.88998,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,1930.75,1.50593,0.82048,0.89474,0.84598,0.75242,0.8069,0.53014,1.33751,0.73214,0.88525,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,2087.58,1.50621,0.81542,0.89318,0.84455,0.75241,0.80554,0.53034,1.32953,0.7301,0.88746,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,2244.48,1.50211,0.81877,0.89164,0.84723,0.75677,0.80992,0.53926,1.30883,0.7213,0.88192,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,2400.88,1.49398,0.80379,0.88832,0.83669,0.76352,0.80946,0.53483,1.3173,0.72512,0.88559,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,2554.07,1.39231,0.7672,0.89568,0.84102,0.75802,0.80864,0.53365,1.31508,0.73859,0.88181,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,2705.72,1.38629,0.76298,0.89514,0.84074,0.75628,0.80679,0.53648,1.30832,0.73602,0.88052,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,2857.49,1.37959,0.75237,0.89201,0.85163,0.75738,0.81217,0.54245,1.3026,0.72114,0.88148,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,3008.8,1.36024,0.73919,0.88827,0.84644,0.76582,0.81627,0.54837,1.29508,0.70666,0.87843,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,3160.22,1.35909,0.73281,0.8862,0.84682,0.76518,0.81748,0.54798,1.28845,0.71213,0.87769,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,3311.7,1.35033,0.72582,0.88673,0.85447,0.76698,0.82034,0.55285,1.28182,0.70289,0.87497,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,3463.04,1.34572,0.7145,0.88247,0.85631,0.76693,0.81942,0.55564,1.27543,0.70239,0.87475,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,3614.94,1.33098,0.70871,0.88276,0.85895,0.76654,0.8212,0.55649,1.27058,0.69533,0.8753,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,3766.57,1.32948,0.70247,0.88184,0.85764,0.76939,0.82265,0.55737,1.27081,0.69565,0.87553,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,3918.15,1.32735,0.70235,0.88113,0.85639,0.76818,0.82289,0.5595,1.26372,0.69397,0.87453,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
