epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,138.48,2.08959,2.7046,1.06319,0.71217,0.57489,0.61228,0.34091,1.7386,1.13041,0.96501,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062,0.00199219,0.000664062
2,253.63,1.88153,1.20226,0.96889,0.76107,0.63139,0.67563,0.39109,1.65226,1.00875,0.93192,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803,0.0038341,0.00127803
3,362.278,1.8316,1.1192,0.94768,0.76104,0.65238,0.69343,0.40737,1.61926,0.99733,0.92104,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392,0.00551761,0.0018392
4,469.001,1.79272,1.0832,0.94014,0.78496,0.66829,0.71597,0.42296,1.58919,0.9565,0.91608,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,575.716,1.77537,1.04484,0.92959,0.79296,0.68319,0.73043,0.43677,1.56144,0.9051,0.91115,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,682.731,1.74003,1.01473,0.92574,0.80039,0.68267,0.73619,0.44504,1.54697,0.89548,0.90435,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,789.384,1.72595,1.00636,0.9213,0.8022,0.68763,0.73762,0.44849,1.53523,0.89174,0.90384,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,896.365,1.70846,0.98167,0.91526,0.79776,0.69665,0.74398,0.45281,1.5157,0.88593,0.89931,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,1002.79,1.68467,0.97297,0.9128,0.80599,0.69735,0.75062,0.46072,1.50636,0.85816,0.89825,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,1109.49,1.68269,0.96995,0.9142,0.80954,0.70405,0.75511,0.46601,1.49626,0.85892,0.8953,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,1216.21,1.66862,0.9529,0.90717,0.80856,0.70585,0.75859,0.46916,1.48659,0.85227,0.89453,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,1323.02,1.6496,0.93612,0.90597,0.80935,0.7141,0.76196,0.47694,1.46739,0.83809,0.88632,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,1429.75,1.64946,0.93225,0.90149,0.81108,0.71016,0.76081,0.47572,1.46628,0.84018,0.89155,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,1536.92,1.64527,0.93194,0.90172,0.81901,0.71682,0.76949,0.48229,1.44923,0.81857,0.88696,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,1643.85,1.63955,0.91927,0.90038,0.81828,0.72229,0.77188,0.48456,1.44361,0.81668,0.8862,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,1747.33,1.53729,0.88197,0.90371,0.82423,0.71591,0.77218,0.48831,1.44082,0.82611,0.88338,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,1849.02,1.52078,0.88094,0.9014,0.82098,0.71541,0.76871,0.48581,1.44581,0.82649,0.88553,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,1951.17,1.51931,0.8676,0.90032,0.82351,0.72391,0.77449,0.49273,1.43595,0.81093,0.88365,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,2052.44,1.49805,0.85542,0.8968,0.8265,0.72295,0.7761,0.49551,1.42734,0.80435,0.88279,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,2154.11,1.49823,0.85132,0.89506,0.82671,0.72576,0.77683,0.49708,1.41927,0.80334,0.87915,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,2256.06,1.49173,0.84096,0.89438,0.8287,0.72637,0.77855,0.49996,1.41349,0.80245,0.87776,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,2357.7,1.48981,0.83757,0.89168,0.82897,0.72823,0.77984,0.50126,1.41311,0.79763,0.87936,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,2460,1.47313,0.82656,0.89301,0.82752,0.72939,0.78099,0.50164,1.40638,0.79869,0.87972,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,2561.79,1.47271,0.82203,0.892,0.82994,0.73163,0.78271,0.50342,1.40417,0.79109,0.87894,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,2663.49,1.46977,0.82238,0.89121,0.8324,0.7311,0.78471,0.50678,1.39796,0.78644,0.87676,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
