epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,260.319,1.35333,1.04077,1.02727,0.80934,0.70502,0.75266,0.47358,1.07133,0.68444,0.93219,0.00199349,0.000664495,0.00199349,0.000664495,0.00199349,0.000664495,0.00199349,0.000664495
2,478.483,1.19894,0.74842,0.95459,0.82862,0.73317,0.78219,0.50532,1.03959,0.63993,0.92894,0.00383534,0.00127845,0.00383534,0.00127845,0.00383534,0.00127845,0.00383534,0.00127845
3,684.313,1.20285,0.73956,0.95371,0.84051,0.74355,0.79167,0.50511,1.04862,0.67009,0.91588,0.0055188,0.0018396,0.0055188,0.0018396,0.0055188,0.0018396,0.0055188,0.0018396
4,887.533,1.18516,0.72402,0.94777,0.83622,0.74989,0.79647,0.51616,1.0218,0.62936,0.92007,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,1090.29,1.15687,0.70085,0.94094,0.83861,0.75144,0.80065,0.52217,1.01995,0.63549,0.91413,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,1292.77,1.14085,0.68509,0.93464,0.85098,0.75549,0.8082,0.53375,0.99196,0.61745,0.91072,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,1496.25,1.12471,0.67974,0.93278,0.84319,0.75377,0.80292,0.52581,1.00541,0.62478,0.91497,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,1699.9,1.11121,0.66686,0.93045,0.85105,0.75224,0.80899,0.53507,0.98084,0.60553,0.91187,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,1903.87,1.09809,0.65889,0.92626,0.85346,0.75793,0.81328,0.54081,0.97466,0.60241,0.90855,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,2106.85,1.09024,0.65451,0.92253,0.85544,0.76923,0.82059,0.55217,0.9481,0.58591,0.90139,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,2309.64,1.06837,0.63862,0.9157,0.86426,0.77009,0.82449,0.55821,0.93562,0.57674,0.89706,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,2511.8,1.05767,0.63076,0.91683,0.86092,0.76771,0.82292,0.55404,0.94733,0.58412,0.90258,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,2714.29,1.05314,0.62405,0.91134,0.86459,0.77075,0.82522,0.56186,0.93091,0.56678,0.90089,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,2917.39,1.03768,0.61486,0.91037,0.85881,0.77459,0.8269,0.56104,0.92945,0.56655,0.90161,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,3120.58,1.03712,0.61058,0.91036,0.86591,0.7792,0.83062,0.56768,0.92218,0.55215,0.89775,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,3322.22,0.98452,0.59894,0.91486,0.86031,0.77323,0.82637,0.56132,0.92911,0.57132,0.89523,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,3522.59,0.97323,0.58761,0.91086,0.86395,0.77265,0.82848,0.56268,0.92987,0.56614,0.89489,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,3722.91,0.96657,0.58153,0.90428,0.86744,0.77863,0.83148,0.56746,0.91559,0.55702,0.89088,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,3923.22,0.95069,0.5732,0.90282,0.86601,0.78163,0.83187,0.57003,0.91694,0.55504,0.89241,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,4123.66,0.95142,0.56621,0.90365,0.8668,0.7815,0.83328,0.571,0.91572,0.54893,0.89366,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,4325.12,0.94432,0.55751,0.90097,0.86891,0.78446,0.83675,0.57991,0.89335,0.54262,0.88697,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,4525.77,0.93703,0.54957,0.89713,0.87287,0.78405,0.83629,0.57995,0.88826,0.53492,0.88768,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,4726.11,0.92664,0.54446,0.89691,0.87429,0.78059,0.83641,0.57981,0.88729,0.53395,0.88817,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,4926.02,0.91918,0.53443,0.89332,0.8758,0.78559,0.83839,0.5843,0.87873,0.52649,0.88409,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,5125.86,0.91675,0.53366,0.895,0.87562,0.78979,0.84077,0.58633,0.87652,0.52243,0.88456,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
