epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,187.975,1.43638,1.26876,1.02719,0.80203,0.6925,0.7402,0.45862,1.10984,0.72602,0.92733,0.00199349,0.000664495,0.00199349,0.000664495,0.00199349,0.000664495,0.00199349,0.000664495
2,351.873,1.23745,0.7769,0.95166,0.82229,0.71672,0.76887,0.48452,1.07459,0.67879,0.91842,0.00383534,0.00127845,0.00383534,0.00127845,0.00383534,0.00127845,0.00383534,0.00127845
3,507.831,1.22849,0.7568,0.94562,0.83599,0.73017,0.783,0.50253,1.05447,0.67986,0.9158,0.0055188,0.0018396,0.0055188,0.0018396,0.0055188,0.0018396,0.0055188,0.0018396
4,661.941,1.20255,0.73853,0.93843,0.84094,0.741,0.79118,0.50707,1.05299,0.65717,0.9112,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,815.858,1.17575,0.71331,0.9329,0.83548,0.74772,0.79636,0.51397,1.04571,0.65209,0.90927,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,969.844,1.15894,0.69979,0.92578,0.83455,0.74974,0.79756,0.51875,1.0262,0.64871,0.90519,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,1123.62,1.14431,0.69452,0.92487,0.83415,0.74852,0.79868,0.5193,1.026,0.64602,0.90677,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,1277.66,1.12864,0.67985,0.92081,0.85166,0.75488,0.80902,0.53337,1.00415,0.61719,0.90217,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,1432.25,1.11583,0.67213,0.91763,0.84625,0.75873,0.81116,0.53606,0.99264,0.61923,0.9035,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,1586.44,1.10975,0.66958,0.91521,0.83957,0.75921,0.80777,0.53516,0.98983,0.62004,0.9022,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,1740.54,1.09111,0.65429,0.90961,0.84754,0.76523,0.81625,0.54337,0.97001,0.60761,0.8948,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,1894.51,1.07764,0.64386,0.90905,0.85317,0.76429,0.81765,0.54457,0.96824,0.59975,0.89674,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,2048.51,1.07095,0.6371,0.90414,0.85058,0.76823,0.81821,0.55176,0.95576,0.58733,0.89383,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,2202.56,1.05852,0.62882,0.90455,0.86046,0.76829,0.82177,0.55317,0.95086,0.58152,0.89515,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,2356.82,1.05572,0.6257,0.9027,0.85125,0.77306,0.82149,0.55326,0.95441,0.58343,0.89432,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,2509.25,1.00491,0.6143,0.90609,0.85921,0.77287,0.82453,0.55962,0.93909,0.58298,0.88366,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,2660.71,0.99121,0.60262,0.90282,0.85214,0.76979,0.82057,0.54901,0.9572,0.59488,0.89557,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,2811.79,0.98856,0.59983,0.89862,0.86251,0.77709,0.82632,0.55959,0.94229,0.5711,0.88903,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,2963.2,0.96959,0.59014,0.89816,0.86299,0.77554,0.82848,0.56536,0.92588,0.56984,0.88526,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,3114.42,0.96994,0.58285,0.89624,0.86402,0.77479,0.82875,0.56376,0.92996,0.56672,0.88751,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,3265.75,0.9663,0.57446,0.8962,0.86692,0.78198,0.83252,0.57085,0.91454,0.55962,0.88327,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,3416.92,0.95944,0.57166,0.89131,0.86723,0.77902,0.83232,0.57045,0.91429,0.55812,0.88226,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,3568.16,0.95124,0.56489,0.89177,0.87044,0.78062,0.83335,0.57301,0.90308,0.5512,0.88104,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,3719.17,0.94366,0.55484,0.8895,0.8683,0.78359,0.83434,0.57415,0.90362,0.55002,0.88007,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,3870.13,0.94175,0.555,0.89052,0.86443,0.78441,0.83329,0.57492,0.90142,0.54868,0.88079,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
