epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,117.31,1.58679,1.35179,1.08901,0.74163,0.61054,0.65106,0.37767,1.29667,0.85135,0.96033,0.00199349,0.000664495,0.00199349,0.000664495,0.00199349,0.000664495,0.00199349,0.000664495
2,210.983,1.40399,0.89493,0.98462,0.78191,0.6531,0.70185,0.41799,1.23612,0.80305,0.93653,0.00383534,0.00127845,0.00383534,0.00127845,0.00383534,0.00127845,0.00383534,0.00127845
3,298.425,1.37694,0.85706,0.9721,0.79894,0.68555,0.73226,0.44279,1.19837,0.75187,0.92826,0.0055188,0.0018396,0.0055188,0.0018396,0.0055188,0.0018396,0.0055188,0.0018396
4,385.195,1.34133,0.82135,0.96181,0.81611,0.69245,0.74337,0.4523,1.17548,0.73056,0.92752,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,471.305,1.31193,0.79714,0.95224,0.81244,0.70543,0.75248,0.45753,1.18029,0.72016,0.92823,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,557.736,1.28943,0.78003,0.94611,0.82235,0.70452,0.75754,0.46962,1.14546,0.70717,0.91787,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,643.755,1.27841,0.77502,0.94426,0.81208,0.7084,0.75714,0.46588,1.15213,0.7126,0.92261,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,730.779,1.26468,0.75863,0.94097,0.82658,0.71321,0.76555,0.47933,1.12321,0.68951,0.91659,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,819.26,1.24991,0.75001,0.93778,0.82809,0.71934,0.77294,0.48621,1.11443,0.67891,0.91291,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,905.665,1.2451,0.74868,0.9352,0.83148,0.72328,0.77502,0.48753,1.10488,0.6745,0.91278,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,992.035,1.22722,0.73489,0.93025,0.83023,0.72415,0.7781,0.4921,1.09245,0.67352,0.90668,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,1077.63,1.21553,0.72748,0.93009,0.82801,0.72553,0.77674,0.48907,1.10155,0.67736,0.91197,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,1162.73,1.21256,0.72233,0.92475,0.83798,0.72816,0.78055,0.49756,1.08829,0.66132,0.90791,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,1248.66,1.19678,0.71521,0.92426,0.83684,0.73118,0.78188,0.49982,1.07491,0.6565,0.90628,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,1334.28,1.19801,0.71397,0.92474,0.83946,0.73431,0.78596,0.50271,1.0765,0.64894,0.90634,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,1418.82,1.14025,0.69665,0.92675,0.8378,0.73595,0.78671,0.50297,1.07879,0.65881,0.90078,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,1501.94,1.1238,0.687,0.92217,0.83498,0.73331,0.78479,0.50296,1.06806,0.6569,0.90222,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,1585.13,1.12202,0.68213,0.9202,0.84386,0.73778,0.78932,0.5082,1.05942,0.64821,0.89959,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,1667.86,1.10793,0.67419,0.91946,0.83578,0.73952,0.78954,0.50987,1.05768,0.64541,0.90013,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,1750.69,1.11203,0.66778,0.91826,0.84201,0.7398,0.79248,0.51091,1.05483,0.6438,0.8973,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,1833.95,1.10259,0.66137,0.91558,0.84363,0.74397,0.79346,0.51615,1.04148,0.63466,0.89587,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,1917.09,1.10307,0.65935,0.91394,0.8462,0.74208,0.7939,0.51611,1.03994,0.63131,0.89524,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,2000.11,1.09288,0.6535,0.91426,0.84694,0.74526,0.7957,0.51577,1.0404,0.62949,0.8963,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,2082.76,1.08652,0.64697,0.91151,0.84764,0.74556,0.79662,0.51762,1.0383,0.62825,0.89437,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,2165.68,1.08564,0.64812,0.91354,0.84718,0.74602,0.79667,0.51987,1.03278,0.62337,0.89389,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
