epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,601.788,1.33439,1.24671,1.03892,0.8087,0.72544,0.76535,0.49098,1.02316,0.6458,0.94335,0.00199609,0.000665362,0.00199609,0.000665362,0.00199609,0.000665362,0.00199609,0.000665362
2,1086.88,1.14647,0.70156,0.96451,0.83502,0.73673,0.78709,0.51316,0.99389,0.60127,0.93232,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928,0.00383784,0.00127928
3,1544.8,1.1659,0.68851,0.96024,0.84548,0.75263,0.80156,0.5178,1.00327,0.59721,0.92312,0.0055212,0.0018404,0.0055212,0.0018404,0.0055212,0.0018404,0.0055212,0.0018404
4,1994.4,1.14325,0.67354,0.95645,0.82396,0.74304,0.79097,0.51383,1.01293,0.61417,0.92922,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
5,2442.18,1.13151,0.6582,0.95015,0.84051,0.75687,0.80325,0.51888,1.01698,0.60334,0.92668,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
6,2891.23,1.1009,0.64013,0.94254,0.84645,0.76079,0.80863,0.53008,0.98898,0.58312,0.92186,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
7,3339.6,1.08485,0.63434,0.93966,0.85648,0.76643,0.81718,0.54709,0.94672,0.56694,0.91292,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
8,3788.12,1.06931,0.61775,0.93183,0.85763,0.76898,0.8193,0.55048,0.93761,0.55948,0.9152,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
9,4236.28,1.06616,0.61181,0.93143,0.85907,0.76982,0.82145,0.55493,0.93375,0.55371,0.91181,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
10,4684.57,1.04776,0.60203,0.93239,0.85393,0.76887,0.82188,0.5577,0.92859,0.55251,0.91075,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
11,5133.46,1.04283,0.5949,0.92276,0.8695,0.77145,0.82765,0.56498,0.91857,0.5472,0.90697,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
12,5581.43,1.01579,0.58376,0.92254,0.86347,0.78014,0.82997,0.56897,0.90831,0.53464,0.90727,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
13,6029.62,1.00859,0.57495,0.91777,0.8648,0.78298,0.83109,0.56976,0.90898,0.53341,0.90817,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
14,6477.69,0.99986,0.56954,0.91407,0.8657,0.78634,0.83498,0.5763,0.88883,0.52786,0.89864,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
15,6926.05,0.99909,0.56249,0.90972,0.86594,0.78419,0.836,0.57818,0.89255,0.52342,0.90256,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
16,7373.35,0.94311,0.54423,0.91637,0.8714,0.78447,0.83668,0.5791,0.88744,0.5252,0.89608,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
17,7820.38,0.93469,0.53822,0.91477,0.86812,0.7847,0.83599,0.58187,0.87951,0.52711,0.89332,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
18,8266.67,0.92998,0.52842,0.91133,0.87628,0.78908,0.84041,0.58408,0.88141,0.51543,0.89682,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
19,8713.54,0.9114,0.51899,0.90698,0.8761,0.79205,0.84255,0.58903,0.8778,0.51219,0.89403,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
20,9159.55,0.91126,0.51152,0.90619,0.87635,0.79335,0.84281,0.58971,0.87121,0.5054,0.89171,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
21,9605.74,0.90345,0.50336,0.90337,0.88021,0.79353,0.84359,0.59175,0.86561,0.50285,0.89278,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
22,10052.9,0.895,0.49537,0.89927,0.87829,0.793,0.84497,0.59474,0.86261,0.49997,0.8905,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
23,10499.1,0.88065,0.48341,0.89637,0.87697,0.79439,0.84517,0.59638,0.85535,0.49704,0.88946,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
24,10946.3,0.87658,0.47766,0.89359,0.88052,0.79369,0.8475,0.59967,0.85012,0.49141,0.88771,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
25,11392,0.87049,0.47458,0.8928,0.87925,0.79899,0.8472,0.60097,0.84636,0.48727,0.88768,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
