file,gt_n,tp_baseline,fp_baseline,fn_baseline,tp_cbam_p2,fp_cbam_p2,fn_cbam_p2,tp_cbam_p2_sahi_tta,fp_cbam_p2_sahi_tta,fn_cbam_p2_sahi_tta,rescue
flood_image0155_2.png,51,4,5,47,7,3,44,45,10,6,41
flood_image0087_4.png,42,2,1,40,2,5,40,38,57,4,36
traffic_incident_image0412_1.png,33,8,5,25,8,7,25,28,18,5,20
flood_image0214_4.png,34,20,9,14,24,5,10,32,4,2,12
flood_image0097_4.png,42,29,2,13,31,1,11,40,4,2,11
flood_image0491_1.png,28,14,2,14,15,1,13,25,3,3,11
flood_image0068_4.png,44,27,7,17,31,3,13,37,8,7,10
flood_image0143_0.png,35,20,3,15,22,2,13,28,5,7,8
collapsed_building_image0198_0.png,30,16,7,14,18,3,12,23,8,7,7
flood_image0188_0.png,28,17,7,11,19,5,9,24,4,4,7
flood_image0247_0.png,32,15,3,17,14,6,18,22,10,10,7
flood_image0266_0.png,25,17,4,8,19,3,6,24,1,1,7
fire_image0023_3.png,40,28,11,12,30,7,10,34,7,6,6
flood_image0318_2.png,39,29,3,10,28,3,11,35,6,4,6
traffic_incident_image0046_1.png,39,30,9,9,32,7,7,36,3,3,6
collapsed_building_image0496_1.png,30,20,5,10,22,4,8,25,6,5,5
flood_image0091_1.png,29,19,5,10,20,3,9,24,4,5,5
fire_image0057_2.png,44,34,11,10,36,7,8,38,8,6,4
flood_image0127_4.png,26,21,1,5,20,4,6,25,1,1,4
flood_image0150_2.png,25,17,6,8,19,3,6,21,4,4,4
flood_image0193_3.png,43,37,4,6,40,4,3,41,2,2,4
flood_image0306_4.png,40,34,7,6,36,2,4,38,1,2,4
flood_image0341_3.png,56,42,11,14,44,13,12,46,7,10,4
flood_image0447_1.png,23,17,2,6,20,4,3,21,2,2,4
traffic_incident_image0146_3.png,29,17,0,12,18,1,11,21,7,8,4
traffic_incident_image0280_3.png,48,37,12,11,37,16,11,41,6,7,4
collapsed_building_image0051_4.png,41,30,16,11,30,13,11,33,10,8,3
collapsed_building_image0263_0.png,29,24,4,5,26,4,3,27,3,2,3
collapsed_building_image0264_3.png,43,35,5,8,37,6,6,38,5,5,3
collapsed_building_image0391_3.png,40,36,5,4,36,7,4,39,1,1,3
collapsed_building_image0490_3.png,37,34,4,3,33,4,4,37,2,0,3
fire_image0126_0.png,28,20,4,8,21,3,7,23,5,5,3
fire_image0305_0.png,28,21,2,7,22,1,6,24,4,4,3
flood_image0095_1.png,30,19,5,11,20,4,10,22,10,8,3
flood_image0233_4.png,40,31,5,9,29,4,11,34,7,6,3
flood_image0264_3.png,44,37,7,7,40,4,4,40,3,4,3
flood_image0499_0.png,22,17,4,5,17,5,5,20,4,2,3
traffic_incident_image0131_4.png,42,35,9,7,35,8,7,38,4,4,3
collapsed_building_image0073_1.png,36,30,1,6,32,0,4,32,1,4,2
collapsed_building_image0182_0.png,27,21,2,6,22,2,5,23,2,4,2
collapsed_building_image0212_2.png,42,36,2,6,38,3,4,38,3,4,2
collapsed_building_image0237_3.png,38,30,4,8,29,4,9,32,3,6,2
collapsed_building_image0393_0.png,27,22,2,5,24,2,3,24,3,3,2
collapsed_building_image0505_3.png,49,39,8,10,38,12,11,41,8,8,2
collapsed_building_image0509_0.png,24,15,8,9,20,3,4,17,7,7,2
fire_image0149_2.png,27,21,7,6,25,3,2,23,6,4,2
fire_image0188_2.png,29,22,5,7,21,5,8,24,2,5,2
fire_image0264_0.png,29,23,5,6,23,5,6,25,5,4,2
flood_image0044_1.png,32,26,4,6,27,3,5,28,1,4,2
flood_image0426_4.png,40,36,5,4,37,5,3,38,1,2,2
flood_image0451_1.png,20,16,4,4,16,2,4,18,1,2,2
traffic_incident_image0080_2.png,44,35,7,9,36,3,8,37,5,7,2
traffic_incident_image0122_4.png,37,30,11,7,31,7,6,32,7,5,2
traffic_incident_image0422_2.png,49,41,7,8,41,3,8,43,5,6,2
traffic_incident_image0426_0.png,29,20,3,9,20,3,9,22,7,7,2
traffic_incident_image0453_2.png,40,37,4,3,37,4,3,39,1,1,2
collapsed_building_image0037_2.png,33,25,8,8,26,8,7,26,8,7,1
collapsed_building_image0136_0.png,31,27,4,4,30,4,1,28,3,3,1
collapsed_building_image0152_3.png,44,42,3,2,44,5,0,43,1,1,1
collapsed_building_image0247_4.png,52,42,10,10,44,9,8,43,8,9,1
collapsed_building_image0294_0.png,24,19,6,5,18,8,6,20,5,4,1
collapsed_building_image0385_3.png,37,34,3,3,34,8,3,35,2,2,1
collapsed_building_image0433_2.png,39,35,3,4,34,3,5,36,3,3,1
collapsed_building_image0453_0.png,30,25,6,5,25,5,5,26,4,4,1
fire_image0078_3.png,34,28,6,6,28,9,6,29,6,5,1
fire_image0101_0.png,33,27,6,6,27,3,6,28,6,5,1
fire_image0235_4.png,44,37,8,7,39,8,5,38,8,6,1
fire_image0239_2.png,36,33,4,3,34,5,2,34,4,2,1
fire_image0326_4.png,40,37,5,3,37,5,3,38,1,2,1
fire_image0355_0.png,27,23,2,4,24,2,3,24,2,3,1
fire_image0424_4.png,32,30,0,2,31,0,1,31,0,1,1
fire_image0504_3.png,46,39,8,7,38,11,8,40,6,6,1
flood_image0018_3.png,44,41,3,3,42,3,2,42,2,2,1
flood_image0026_2.png,46,42,5,4,43,4,3,43,4,3,1
