epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.533,1.35336,0.94016,0.97923,0.79082,0.68245,0.71934,0.42828,1.23696,0.9013,0.95969,0.000332465,0.000332465,0.0670859
2,208.164,1.33379,0.85266,0.97729,0.7926,0.69207,0.71754,0.421,1.25693,0.84917,0.97308,0.000665781,0.000665781,0.0340859
3,314.712,1.32413,0.83833,0.98036,0.76719,0.66958,0.69414,0.39272,1.33681,0.9184,0.9894,0.000999023,0.000999023,0.00108583
4,423.422,1.28714,0.80772,0.96876,0.78993,0.70893,0.73323,0.43299,1.22292,0.79633,0.97149,0.000999756,0.000999756,0.000999756
5,529.928,1.2514,0.78362,0.9617,0.77705,0.71249,0.7262,0.43387,1.19967,0.79389,0.9631,0.000999566,0.000999566,0.000999566
6,636.28,1.21743,0.75982,0.95448,0.8108,0.72308,0.75774,0.45735,1.1407,0.73241,0.94701,0.000999322,0.000999322,0.000999322
7,742.344,1.20189,0.74387,0.94972,0.83231,0.73583,0.77799,0.48774,1.07547,0.66562,0.93983,0.000999023,0.000999023,0.000999023
8,848.376,1.18102,0.73188,0.94591,0.82763,0.74147,0.77875,0.4948,1.05465,0.68098,0.9343,0.000998671,0.000998671,0.000998671
9,954.691,1.17624,0.7245,0.94371,0.83703,0.74774,0.78616,0.50315,1.03295,0.65637,0.92356,0.000998264,0.000998264,0.000998264
10,1060.68,1.15909,0.71565,0.94238,0.82132,0.73255,0.77326,0.48745,1.06648,0.67551,0.93734,0.000997803,0.000997803,0.000997803
11,1166.98,1.14955,0.70756,0.94037,0.83821,0.74846,0.79299,0.51027,1.02285,0.64542,0.9291,0.000997288,0.000997288,0.000997288
12,1273.56,1.13885,0.69755,0.93741,0.84057,0.74803,0.78798,0.50717,1.03592,0.64525,0.93083,0.00099672,0.00099672,0.00099672
13,1380.1,1.13825,0.698,0.93498,0.84433,0.76124,0.80188,0.52516,0.98127,0.61744,0.92134,0.000996097,0.000996097,0.000996097
14,1486.61,1.12533,0.69029,0.93538,0.84745,0.75855,0.80179,0.52642,0.98279,0.62332,0.91752,0.00099542,0.00099542,0.00099542
15,1592.93,1.11941,0.68716,0.93386,0.85643,0.76166,0.80901,0.53634,0.9557,0.6024,0.91219,0.00099469,0.00099469,0.00099469
16,1699.35,1.1126,0.68253,0.93152,0.85922,0.76686,0.81159,0.54237,0.94453,0.58837,0.90965,0.000993906,0.000993906,0.000993906
17,1805.67,1.10595,0.67923,0.93254,0.8584,0.76831,0.81268,0.54162,0.94735,0.58836,0.91237,0.000993068,0.000993068,0.000993068
18,1911.93,1.10066,0.67237,0.9288,0.86379,0.76927,0.81716,0.54598,0.93505,0.5772,0.91121,0.000992177,0.000992177,0.000992177
19,2018.2,1.08777,0.66919,0.92692,0.85486,0.77006,0.81518,0.54528,0.93695,0.58623,0.91134,0.000991232,0.000991232,0.000991232
20,2124.26,1.08853,0.66289,0.92474,0.86265,0.77416,0.82027,0.551,0.923,0.56785,0.90879,0.000990234,0.000990234,0.000990234
21,2230.46,1.08321,0.66073,0.92437,0.86318,0.77866,0.82251,0.55429,0.91539,0.56111,0.90546,0.000989183,0.000989183,0.000989183
22,2336.67,1.07916,0.66219,0.92779,0.86576,0.77607,0.82317,0.55764,0.90616,0.56097,0.90356,0.000988079,0.000988079,0.000988079
23,2442.68,1.07512,0.65482,0.92153,0.8648,0.77844,0.82437,0.55969,0.9028,0.55693,0.90272,0.000986922,0.000986922,0.000986922
24,2549.01,1.07511,0.65637,0.92266,0.86525,0.78097,0.82538,0.56093,0.90239,0.55202,0.90404,0.000985711,0.000985711,0.000985711
25,2655.32,1.07436,0.65309,0.92301,0.865,0.77974,0.82484,0.55688,0.90962,0.55655,0.90771,0.000984449,0.000984449,0.000984449
26,2761.35,1.06212,0.64933,0.92221,0.86792,0.78318,0.82765,0.5656,0.88749,0.54393,0.89917,0.000983133,0.000983133,0.000983133
27,2867.55,1.05986,0.64617,0.91967,0.86782,0.78058,0.82691,0.56274,0.8929,0.54937,0.90324,0.000981765,0.000981765,0.000981765
28,2973.49,1.05769,0.64346,0.91968,0.87095,0.78211,0.82904,0.56721,0.88456,0.54182,0.89893,0.000980345,0.000980345,0.000980345
29,3079.71,1.05444,0.64194,0.91686,0.86926,0.78455,0.82972,0.56904,0.87956,0.54018,0.89736,0.000978873,0.000978873,0.000978873
30,3185.79,1.04635,0.64014,0.91611,0.86972,0.78559,0.83246,0.57059,0.87543,0.53549,0.8969,0.000977349,0.000977349,0.000977349
31,3292.07,1.04985,0.6374,0.91459,0.8702,0.78639,0.83269,0.57205,0.87432,0.53433,0.89649,0.000975773,0.000975773,0.000975773
32,3399.75,1.05105,0.63941,0.91737,0.87213,0.78743,0.83226,0.57331,0.86977,0.53133,0.89527,0.000974145,0.000974145,0.000974145
33,3495.25,1.04249,0.63275,0.91377,0.87248,0.78778,0.83422,0.57421,0.86888,0.53077,0.89579,0.000972466,0.000972466,0.000972466
34,3580.34,1.03215,0.62645,0.91312,0.87279,0.78889,0.83509,0.57452,0.86728,0.52969,0.896,0.000970736,0.000970736,0.000970736
35,3665.09,1.03506,0.63017,0.91278,0.87315,0.78885,0.8351,0.5757,0.86424,0.52762,0.89508,0.000968955,0.000968955,0.000968955
36,3749.87,1.03256,0.62704,0.91409,0.87339,0.79025,0.83612,0.57713,0.86111,0.52516,0.89441,0.000967122,0.000967122,0.000967122
