epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.902,1.86959,1.27386,1.56111,0.77209,0.68828,0.70592,0.39354,1.43758,1.00006,1.24106,0.000332899,0.000332899,0.067043
2,314.445,1.43099,0.98399,1.23211,0.79924,0.73848,0.75491,0.45446,1.23004,0.85626,1.16965,0.000666214,0.000666214,0.034043
3,449.135,1.3495,0.91884,1.20302,0.77655,0.72149,0.73541,0.43355,1.27791,0.90524,1.179,0.000999457,0.000999457,0.00104292
4,583.935,1.31442,0.891,1.18672,0.81528,0.74487,0.77597,0.4757,1.17124,0.80968,1.14949,0.000999756,0.000999756,0.000999756
5,718.918,1.26833,0.86549,1.16745,0.83045,0.74498,0.78929,0.50531,1.11355,0.7677,1.12115,0.000999566,0.000999566,0.000999566
6,854.215,1.25239,0.85449,1.15407,0.82,0.75306,0.78691,0.49469,1.15537,0.78036,1.13046,0.000999322,0.000999322,0.000999322
7,989.176,1.22546,0.82706,1.13851,0.84016,0.76284,0.80558,0.52125,1.07383,0.73947,1.10192,0.000999023,0.000999023,0.000999023
8,1124.22,1.20957,0.81612,1.13035,0.8439,0.76937,0.81279,0.53182,1.04147,0.71875,1.08658,0.000998671,0.000998671,0.000998671
9,1259.3,1.20183,0.80924,1.12596,0.84539,0.77518,0.81511,0.5377,1.03089,0.70931,1.08984,0.000998264,0.000998264,0.000998264
10,1394.06,1.18323,0.79928,1.12141,0.83891,0.7767,0.81786,0.53606,1.03987,0.70372,1.08665,0.000997803,0.000997803,0.000997803
11,1528.59,1.17813,0.79164,1.11945,0.84485,0.77908,0.82174,0.54468,1.011,0.69595,1.07823,0.000997288,0.000997288,0.000997288
12,1674.28,1.1652,0.78162,1.11121,0.84933,0.77745,0.82342,0.54233,1.01935,0.69949,1.07842,0.00099672,0.00099672,0.00099672
13,1833.1,1.16511,0.78258,1.10889,0.84584,0.78124,0.82477,0.551,0.99445,0.68161,1.07253,0.000996097,0.000996097,0.000996097
14,1991.1,1.15458,0.77605,1.10742,0.85342,0.792,0.83243,0.56461,0.96647,0.65542,1.05863,0.00099542,0.00099542,0.00099542
15,2144.67,1.14788,0.76974,1.10512,0.85228,0.78969,0.83336,0.5661,0.96081,0.65494,1.06166,0.00099469,0.00099469,0.00099469
16,2298.52,1.14256,0.76332,1.10167,0.85275,0.78865,0.8332,0.56385,0.9632,0.65199,1.06392,0.000993906,0.000993906,0.000993906
17,2456.56,1.12759,0.75588,1.09777,0.85143,0.79173,0.83602,0.5675,0.95597,0.64942,1.05714,0.000993068,0.000993068,0.000993068
