bin_left,bin_right,count
0.0,0.02,0
0.02,0.04,0
0.04,0.06,0
0.06,0.08,0
0.08,0.1,0
0.1,0.12,3273
0.12,0.14,2282
0.14,0.16,1859
0.16,0.18,1583
0.18,0.2,1442
0.2,0.22,1191
0.22,0.24,1119
0.24,0.26,1008
0.26,0.28,917
0.28,0.3,888
0.3,0.32,927
0.32,0.34,841
0.34,0.36,823
0.36,0.38,762
0.38,0.4,754
0.4,0.42,818
0.42,0.44,900
0.44,0.46,897
0.46,0.48,951
0.48,0.5,1009
0.5,0.52,1100
0.52,0.54,1240
0.54,0.56,1358
0.56,0.58,1492
0.58,0.6,1771
0.6,0.62,1944
0.62,0.64,2241
0.64,0.66,2443
0.66,0.68,2792
0.68,0.7,3126
0.7,0.72,3363
0.72,0.74,3574
0.74,0.76,3848
0.76,0.78,3803
0.78,0.8,3646
0.8,0.82,3488
0.82,0.84,3315
0.84,0.86,3212
0.86,0.88,3088
0.88,0.9,3893
0.9,0.92,3893
0.92,0.94,1051
0.94,0.96,7
0.96,0.98,0
0.98,1.0,0
