bin_left,bin_right,count
0.0,0.02,0
0.02,0.04,0
0.04,0.06,0
0.06,0.08,0
0.08,0.1,0
0.1,0.12,765
0.12,0.14,580
0.14,0.16,502
0.16,0.18,513
0.18,0.2,454
0.2,0.22,391
0.22,0.24,407
0.24,0.26,407
0.26,0.28,385
0.28,0.3,423
0.3,0.32,458
0.32,0.34,434
0.34,0.36,431
0.36,0.38,423
0.38,0.4,465
0.4,0.42,557
0.42,0.44,609
0.44,0.46,606
0.46,0.48,696
0.48,0.5,770
0.5,0.52,904
0.52,0.54,1058
0.54,0.56,1211
0.56,0.58,1360
0.58,0.6,1647
0.6,0.62,1936
0.62,0.64,2228
0.64,0.66,2498
0.66,0.68,2826
0.68,0.7,3268
0.7,0.72,3618
0.72,0.74,3978
0.74,0.76,4261
0.76,0.78,4245
0.78,0.8,3982
0.8,0.82,3740
0.82,0.84,3515
0.84,0.86,3252
0.86,0.88,3363
0.88,0.9,4659
0.9,0.92,5098
0.92,0.94,1141
0.94,0.96,7
0.96,0.98,0
0.98,1.0,0
