bin_left,bin_right,count
0.0,0.02,0
0.02,0.04,0
0.04,0.06,0
0.06,0.08,0
0.08,0.1,0
0.1,0.12,1058
0.12,0.14,807
0.14,0.16,678
0.16,0.18,610
0.18,0.2,526
0.2,0.22,449
0.22,0.24,407
0.24,0.26,368
0.26,0.28,371
0.28,0.3,379
0.3,0.32,382
0.32,0.34,332
0.34,0.36,340
0.36,0.38,362
0.38,0.4,335
0.4,0.42,376
0.42,0.44,425
0.44,0.46,408
0.46,0.48,421
0.48,0.5,492
0.5,0.52,537
0.52,0.54,577
0.54,0.56,705
0.56,0.58,801
0.58,0.6,867
0.6,0.62,1073
0.62,0.64,1284
0.64,0.66,1500
0.66,0.68,1809
0.68,0.7,2052
0.7,0.72,2576
0.72,0.74,3181
0.74,0.76,3784
0.76,0.78,4485
0.78,0.8,5154
0.8,0.82,5805
0.82,0.84,5963
0.84,0.86,5646
0.86,0.88,4593
0.88,0.9,4396
0.9,0.92,5710
0.92,0.94,4583
0.94,0.96,102
0.96,0.98,0
0.98,1.0,0
