bin_left,bin_right,count
0.0,0.02,0
0.02,0.04,0
0.04,0.06,0
0.06,0.08,0
0.08,0.1,0
0.1,0.12,4663
0.12,0.14,3445
0.14,0.16,2647
0.16,0.18,2205
0.18,0.2,1830
0.2,0.22,1619
0.22,0.24,1437
0.24,0.26,1335
0.26,0.28,1159
0.28,0.3,1161
0.3,0.32,1074
0.32,0.34,952
0.34,0.36,988
0.36,0.38,938
0.38,0.4,847
0.4,0.42,920
0.42,0.44,883
0.44,0.46,898
0.46,0.48,957
0.48,0.5,934
0.5,0.52,998
0.52,0.54,1064
0.54,0.56,1074
0.56,0.58,1213
0.58,0.6,1303
0.6,0.62,1434
0.62,0.64,1617
0.64,0.66,1805
0.66,0.68,2020
0.68,0.7,2394
0.7,0.72,2791
0.72,0.74,3184
0.74,0.76,3667
0.76,0.78,4298
0.78,0.8,4825
0.8,0.82,5615
0.82,0.84,5912
0.84,0.86,5750
0.86,0.88,5200
0.88,0.9,4927
0.9,0.92,5552
0.92,0.94,3035
0.94,0.96,27
0.96,0.98,0
0.98,1.0,0
