conf,precision,recall,F1,F2,TP,FP,FN
0.1,0.82667783421593,0.8437874881072212,0.8351450387930152,0.8403091322545563,61194,12830,11329
0.11,0.8308649691567705,0.8431807840271363,0.8369775733809651,0.8406884984464791,61150,12448,11373
0.12,0.834601253807176,0.8425878686761441,0.838575545491972,0.8409783407512613,61107,12110,11416
0.13,0.8380102915951972,0.8420776856997091,0.8400390651865913,0.841261051280144,61070,11805,11453
0.14,0.840756609310207,0.8414985590778098,0.8411274205774928,0.8413500643820017,61028,11559,11495
0.15,0.8433010218897354,0.8409056437268178,0.842101629384148,0.8413836300974866,60985,11332,11538
0.16,0.8459456082628796,0.8402299960012686,0.843078115055757,0.8413669313082499,60936,11097,11587
0.17,0.8482674060553705,0.8394716159011624,0.8438465909878443,0.8412161508637246,60881,10890,11642
0.18,0.8505636205980253,0.8385891372392207,0.8445339350807153,0.8409569849057229,60817,10685,11706
0.19,0.8527838987213856,0.8378031796809288,0.8452271652338426,0.8407570688075806,60760,10489,11763
0.2,0.854719026766731,0.837017222122637,0.8457755113414701,0.8404986804684407,60703,10318,11820
0.21,0.8568966248004408,0.8363139969389022,0.8464802099034222,0.8403510376226538,60652,10129,11871
0.22,0.8587380085304162,0.8356245604842601,0.8470236348134793,0.8401471734000993,60602,9969,11921
0.23,0.8606948906769782,0.8348110254677826,0.8475553844538551,0.8398624990983092,60543,9799,11980
0.24,0.8624889472032858,0.8338871806185624,0.8479469437258573,0.839454762499653,60476,9642,12047
0.25,0.8640017162471396,0.8329909132275278,0.8482129693982857,0.8390136995433486,60411,9509,12112
0.26,0.8657024793388429,0.8319567585455648,0.8484942236972557,0.8384937796702503,60336,9360,12187
0.27,0.8674239152342288,0.8308122940308592,0.8487234567031728,0.8378852689721155,60253,9209,12270
0.28,0.8693466610813387,0.8298608717234532,0.8491449856086686,0.8374684474327969,60184,9045,12339
0.29,0.8707555916096883,0.8288405057705831,0.8492811981208717,0.8368975618449338,60110,8922,12413
0.3,0.8724761973980667,0.8276270976104132,0.8494600829335258,0.8362242154215673,60022,8773,12501
0.31,0.8739098731223567,0.826275802159315,0.8494255561934326,0.8353826165024452,59924,8646,12599
0.32,0.8754536939468446,0.824814196875474,0.8493798411086894,0.8344679426371296,59818,8510,12705
0.33,0.8768300024962923,0.8233663803207258,0.8492575947206735,0.8335310851970864,59713,8388,12810
0.34,0.8786610261928276,0.8219599299532562,0.8493652308963708,0.8327070557503456,59611,8232,12912
0.35,0.8800301699276809,0.8204983246694152,0.8492222063650635,0.8317515075102945,59505,8112,13018
0.36,0.8816578587969836,0.8189401982819243,0.8491425221786156,0.8307595899914956,59392,7972,13131
0.37,0.882914692649206,0.8171614522289481,0.8487665150918401,0.829516760261356,59263,7859,13260
0.38,0.8844128646222887,0.8152310301559506,0.8484139682721904,0.8281877728034247,59123,7727,13400
0.39,0.885836587563833,0.8132454531665816,0.8479903380947931,0.826796047909564,58979,7601,13544
0.4,0.887328829100561,0.8112874536353984,0.8476060822150672,0.8254349046015712,58837,7471,13686
0.41,0.8888215600430232,0.80901231333508,0.8470411595709356,0.8238065952828256,58672,7339,13851
0.42,0.8904975033491658,0.8065717082856473,0.846459399034809,0.8220670077013885,58495,7193,14028
0.43,0.8921280568053133,0.8038415399252651,0.845686847659735,0.8200726990361188,58297,7049,14226
0.44,0.8939995689787876,0.8007942307957475,0.8448339818889333,0.817847426025337,58076,6886,14447
0.45,0.8957279239969673,0.7982295271844794,0.8441728884741018,0.8159934145426968,57890,6739,14633
0.46,0.8975568739197459,0.7948099223694552,0.8430644123325339,0.8134333202563836,57642,6579,14881
0.47,0.8991900740996036,0.7914454724708023,0.8418844788641496,0.8108780108780108,57398,6435,15125
0.48,0.9005817528259944,0.7876535719702715,0.8403407084853477,0.8079152299297638,57123,6306,15400
0.49,0.9024096003047716,0.7838892489279263,0.8389843640469005,0.8050355433458891,56850,6148,15673
0.5,0.9045120839397962,0.7797664189291673,0.8375196232339089,0.8018847858700615,56551,5970,15972
0.51,0.9065226154962509,0.7751747721412517,0.8357192763382835,0.7983084687325159,56218,5797,16305
0.52,0.9087404226245669,0.7702797733132937,0.8338010089853428,0.7944903502908425,55863,5610,16660
0.53,0.9110355923299186,0.7651779435489431,0.8317607824034174,0.7904895670704608,55493,5419,17030
0.54,0.9130009288747346,0.7589730154571653,0.8288921851352674,0.7854757691649067,55043,5245,17480
0.55,0.914719587006805,0.7525061015126235,0.825721526648258,0.7801769243525448,54574,5088,17949
0.56,0.9162329405781131,0.7451980750934186,0.821911974936886,0.7740985513224875,54044,4941,18479
0.57,0.9184788209832011,0.7373109220523144,0.8179836470579236,0.767592087508254,53472,4746,19051
0.58,0.9206274591733695,0.7291342057002607,0.8137672070852026,0.7607832417345266,52879,4559,19644
