conf,precision,recall,F1,F2,TP,FP,FN
0.1,0.6483095917373282,0.8992733339768073,0.7534426987060999,0.8346536503459273,65218,35379,7305
0.11,0.6641765912500383,0.8973980668201812,0.7633714929154546,0.8385105171343096,65082,32907,7441
0.12,0.6772037741750508,0.8956331094962977,0.7712511428537503,0.8413577992108952,64954,30961,7569
0.13,0.6891735317565773,0.893978462005157,0.778328671412622,0.8438257320384104,64834,29241,7689
0.14,0.6997372660532604,0.8923789694303876,0.7844035585290766,0.8458078158612163,64718,27771,7805
0.15,0.7094765283483074,0.8906829557519683,0.7898195868410274,0.8473964810646013,64595,26451,7928
0.16,0.717830268489247,0.8891937730099416,0.7943754272938365,0.8486739592764945,64487,25349,8036
0.17,0.7261304548889566,0.8876908015388222,0.7988236899901974,0.8498723435713702,64378,24281,8145
0.18,0.7335372046053608,0.8864084497331881,0.8027597402597402,0.8509407538208611,64285,23352,8238
0.19,0.7406441487704398,0.8849882106366256,0.8064078401809273,0.8517872641997724,64182,22475,8341
0.2,0.746733949444684,0.8835128166236917,0.8093854607465419,0.8522901098433355,64075,21732,8448
0.21,0.7527187985499741,0.8818443804034583,0.8121813229028427,0.8525926794931958,63954,21010,8569
0.22,0.7585088563384297,0.88039656384871,0.8149202297383535,0.8529827477028553,63849,20328,8674
0.23,0.7637862251560422,0.8790866345848903,0.817390412451761,0.8533232680966798,63754,19717,8769
0.24,0.7693664950571629,0.8778180715083491,0.8200220262898582,0.8537488131574572,63662,19084,8861
0.25,0.7742941362761577,0.8765219309736222,0.8222427742674022,0.8539724334345361,63568,18530,8955
0.26,0.7795002825344569,0.8749775933152242,0.8244840153577299,0.8540557418882471,63456,17950,9067
0.27,0.7842219911876825,0.8736814527804972,0.8265381329124244,0.854193179612174,63362,17434,9161
0.28,0.7884919695478276,0.8725783544530701,0.8284068595365885,0.8543562963582998,63282,16975,9241
0.29,0.793109509579891,0.8710064393364864,0.8302348047236955,0.8542265063369197,63168,16478,9355
0.3,0.7973854556488318,0.8696551438853881,0.8319537788799557,0.8541718582402462,63070,16026,9453
0.31,0.8014382994972316,0.86820732733064,0.8334877687175687,0.8539780880330498,62965,15600,9558
0.32,0.8057474652960253,0.8667870882340775,0.8351534475886808,0.8538503541070716,62862,15155,9661
0.33,0.8093849963884016,0.8652427505756795,0.8363822966857936,0.8534628148631738,62750,14778,9773
0.34,0.8129881925522252,0.8639603987700454,0.8376996249824523,0.8532609583780456,62657,14413,9866
0.35,0.8165709062418386,0.8622505963625333,0.8387892933073111,0.852710324213466,62533,14047,9990
0.36,0.8203517257695644,0.8606097376004853,0.8399986541502641,0.8522451075171912,62414,13668,10109
0.37,0.8240537466606713,0.85917570977483,0.8412483039348712,0.8519138324227659,62310,13304,10213
0.38,0.8277927124644008,0.8576865270328033,0.8424745200284427,0.8515362753741438,62202,12940,10321
0.39,0.8311311029894105,0.8560456682707555,0.8434044287460942,0.850943970349983,62083,12614,10440
0.4,0.8340175242607373,0.8544185982378004,0.8440948099713934,0.8502589265866971,61965,12332,10558
0.41,0.8371724558196222,0.8524330212484316,0.8447338216003498,0.8493365609981949,61821,12024,10702
0.42,0.8406705738040071,0.8504888104463412,0.8455511916267401,0.8485068590389091,61680,11690,10843
0.43,0.8436068990101182,0.848434289811508,0.8460137081417013,0.8474643968818003,61531,11407,10992
0.44,0.8469582011311905,0.8465728113839748,0.8467654624068187,0.8466498612727605,61396,11094,11127
0.45,0.8497315892413755,0.8446699667691628,0.8471932178074045,0.8456774613938258,61258,10833,11265
0.46,0.8531063187887592,0.8422017842615446,0.8476189815360917,0.8443603326624051,61079,10517,11444
0.47,0.8563292741232388,0.8396922355666478,0.8479291547442511,0.8429677247886248,60897,10217,11626
0.48,0.8595982048051194,0.8371964756008439,0.848249462125234,0.8415829232795067,60716,9917,11807
0.49,0.8624512010942353,0.8346593494477614,0.8483277158413275,0.8400734987981503,60532,9654,11991
0.5,0.8655189728140019,0.8318878149001007,0.8483702224597126,0.8384033218731674,60331,9374,12192
0.51,0.8687920723427613,0.8292955338306468,0.848584469731709,0.836904914309887,60143,9083,12380
0.52,0.8719505094614265,0.8259862388483653,0.8483462325541874,0.8347872862271176,59903,8797,12620
0.53,0.875219967151572,0.8229527184479406,0.8482819884163023,0.8329007156334082,59683,8509,12840
0.54,0.8785683662758896,0.8194503812583595,0.8479802519869298,0.8306288174207163,59429,8214,13094
0.55,0.8814854538141842,0.8159480440687782,0.8474515588525929,0.8282641375275389,59175,7956,13348
0.56,0.8849013805224654,0.8122526646718972,0.8470221148592298,0.8258121858010828,58907,7662,13616
0.57,0.8879373067361911,0.8077299615294459,0.845936676414311,0.8225908825379709,58579,7393,13944
0.58,0.8914952870608398,0.8033451456779228,0.8451278331822303,0.8195524470802713,58261,7091,14262
0.59,0.8948027261347304,0.7983674144754078,0.8438388107556658,0.8159549491402175,57900,6807,14623
0.6,0.8982873557834918,0.7933758945437999,0.8425784910965323,0.8123508732298916,57538,6515,14985
0.61,0.9014629065601969,0.7876535719702715,0.84072411509309,0.8080569457843767,57123,6244,15400
0.62,0.9044219805490347,0.7809108834438729,0.8381406224563792,0.8028385845635662,56634,5985,15889
0.63,0.9078110587892616,0.7735477021082967,0.8353186420488387,0.7971263665530893,56100,5697,16423
0.64,0.9108378422692245,0.7659914785654206,0.8321586661972991,0.7911542032915386,55552,5438,16971
0.65,0.9142733607170771,0.7580767480661308,0.8288807140272585,0.7848954243700477,54978,5155,17545
0.66,0.9175127117928273,0.7489210319484854,0.8246887336774978,0.7774937086481395,54314,4883,18209
0.67,0.9212294053979762,0.7393792314162404,0.8203472806547846,0.7697696519369852,53622,4585,18901
0.68,0.9239379470766217,0.7284309805165258,0.8146183500385505,0.7606207291753655,52828,4349,19695
0.69,0.9271143790266451,0.7163106876439198,0.8081925386601949,0.7504369808595159,51949,4084,20574
