ts,gpu_util_pct,mem_util_pct,vram_used_MB,power_W,temp_C
1780188439.8498824,0,0,315.0,9.405,38
1780188441.8544505,0,0,315.0,10.235,38
1780188443.8621302,0,0,315.0,9.477,38
1780188445.8716373,0,0,730.16015625,46.084,40
1780188447.8843627,0,0,730.16015625,45.215,40
1780188449.8943713,0,0,730.16015625,44.993,40
1780188451.8961227,0,0,730.16015625,36.607,39
1780188453.9016771,0,0,730.16015625,11.208,38
1780188455.9051433,0,0,730.16015625,10.116,38
1780188457.9059768,0,0,730.16015625,9.547,38
1780188459.9187863,0,0,730.16015625,9.571,38
1780188461.9193666,0,0,730.16015625,9.553,38
1780188463.9235964,0,0,730.16015625,10.159,38
1780188465.9243975,0,0,730.16015625,9.356,38
1780188467.9333088,0,0,730.16015625,9.399,38
1780188469.9451785,0,0,730.16015625,9.613,38
1780188471.9528537,0,0,730.16015625,9.504,38
1780188473.9592173,0,0,730.16015625,9.474,38
1780188475.971388,0,0,730.16015625,9.57,38
1780188477.9779582,0,0,730.16015625,10.041,38
1780188480.0748124,0,0,730.16015625,9.34,38
1780188482.0816734,0,0,730.16015625,10.415,38
1780188484.0818012,0,0,730.16015625,9.48,38
1780188486.0948713,0,0,730.16015625,9.583,38
1780188488.097143,0,0,730.16015625,9.397,38
1780188490.1028798,0,0,730.16015625,9.377,38
1780188492.1147878,0,0,730.16015625,10.162,38
1780188494.1188982,0,0,730.16015625,9.65,38
1780188496.125414,0,0,730.16015625,9.664,38
1780188498.1267068,0,0,730.16015625,10.099,38
1780188500.136096,0,0,730.16015625,9.417,38
1780188502.1437614,0,0,730.16015625,9.299,37
1780188504.1513877,0,0,730.16015625,9.447,37
1780188506.1635354,0,0,730.16015625,9.307,37
1780188508.2693145,0,0,730.16015625,10.174,37
1780188510.2770784,0,0,730.16015625,9.278,37
1780188512.2824204,0,0,730.16015625,9.14,37
1780188514.2891572,0,0,730.16015625,9.89,37
1780188516.2943687,0,0,730.16015625,9.323,37
1780188518.3020482,0,0,730.16015625,9.242,37
1780188520.3128698,0,0,730.16015625,9.199,37
1780188522.3265598,0,0,730.16015625,9.146,37
1780188524.3362591,0,0,730.16015625,9.404,37
1780188526.343673,0,0,7688.16015625,30.641,39
1780188528.3587453,0,0,8296.16015625,43.033,39
1780188530.3695188,100,89,8958.16015625,25.638,41
1780188532.3799298,94,75,9464.16015625,178.738,46
1780188534.3828678,86,72,9948.16015625,175.732,51
1780188536.4065325,90,70,9948.16015625,181.716,51
1780188538.4147742,77,62,9948.16015625,177.621,52
