bin_left,bin_right,count
0.0,0.02,211607
0.02,0.04,22936
0.04,0.06,9201
0.06,0.08,5138
0.08,0.1,3208
0.1,0.12,2263
0.12,0.14,1815
0.14,0.16,1419
0.16,0.18,1291
0.18,0.2,988
0.2,0.22,879
0.22,0.24,851
0.24,0.26,800
0.26,0.28,690
0.28,0.3,657
0.3,0.32,671
0.32,0.34,631
0.34,0.36,622
0.36,0.38,586
0.38,0.4,580
0.4,0.42,617
0.42,0.44,579
0.44,0.46,626
0.46,0.48,634
0.48,0.5,727
0.5,0.52,702
0.52,0.54,806
0.54,0.56,844
0.56,0.58,897
0.58,0.6,988
0.6,0.62,1019
0.62,0.64,1164
0.64,0.66,1352
0.66,0.68,1413
0.68,0.7,1724
0.7,0.72,1780
0.72,0.74,2038
0.74,0.76,2382
0.76,0.78,2570
0.78,0.8,2782
0.8,0.82,3213
0.82,0.84,3600
0.84,0.86,4167
0.86,0.88,4864
0.88,0.9,5803
0.9,0.92,6623
0.92,0.94,6497
0.94,0.96,4441
0.96,0.98,487
0.98,1.0,0
