epoch,epoch_time_s,samples_per_sec,vram_peak_MB,precision,recall,mAP50,mAP50-95,grad_norm_total
0,133.025,46.074,8488.7,0.77615,0.66027,0.69986,0.38546,0.0
1,113.244,54.122,8358.8,0.72558,0.61263,0.62965,0.33316,0.0
2,114.17,53.683,8522.2,0.74663,0.61372,0.63528,0.32898,0.0
3,112.532,54.464,8549.2,0.70409,0.61501,0.60059,0.30889,0.0
4,111.865,54.789,8614.0,0.79597,0.67776,0.7167,0.41383,0.0
5,112.868,54.302,8675.2,0.80515,0.70764,0.74302,0.44514,0.0
6,112.173,54.639,8630.3,0.82587,0.71816,0.76076,0.46386,0.0
7,112.33,54.562,8600.8,0.82786,0.71927,0.75563,0.46275,0.0
8,112.446,54.506,8478.3,0.80603,0.71877,0.75314,0.45565,0.0
9,112.654,54.406,8361.8,0.83955,0.7381,0.78569,0.49683,0.0
10,115.114,53.243,8410.0,0.84467,0.74452,0.78866,0.50719,0.0
11,112.519,54.471,8682.0,0.8524,0.75229,0.79742,0.51726,0.0
12,112.499,54.481,8584.8,0.84767,0.7553,0.79833,0.5167,0.0
13,114.225,53.657,8626.4,0.84499,0.75872,0.80068,0.52085,0.0
14,112.747,54.361,8521.7,0.85505,0.75544,0.80324,0.52461,0.0
15,114.5,53.528,8645.1,0.86109,0.76214,0.81027,0.53861,0.0
16,114.409,53.571,8721.5,0.8555,0.76348,0.80963,0.5367,0.0
17,114.846,53.367,8557.8,0.85832,0.77011,0.81398,0.54363,0.0
18,113.618,53.944,8499.4,0.86263,0.76996,0.8178,0.54621,0.0
19,113.229,54.129,8654.5,0.86496,0.77673,0.82274,0.55388,0.0
20,113.362,54.066,8735.9,0.8649,0.77332,0.82127,0.55362,0.0
21,112.575,54.443,8643.0,0.86816,0.77534,0.82295,0.55746,0.0
22,112.118,54.666,8542.1,0.86825,0.77619,0.82458,0.56048,0.0
23,114.523,53.517,8491.4,0.86838,0.78046,0.82542,0.56384,0.0
24,113.217,54.135,8658.0,0.86841,0.77996,0.82719,0.56382,0.0
25,112.688,54.389,8454.0,0.87112,0.78269,0.82881,0.56664,0.0
26,115.867,52.897,8487.4,0.87258,0.78353,0.8293,0.56857,0.0
27,112.49,54.485,8679.4,0.87377,0.78526,0.83128,0.571,0.0
28,112.929,54.273,8551.9,0.87327,0.78451,0.83149,0.5726,0.0
29,112.631,54.417,8710.8,0.8731,0.78711,0.83149,0.57357,0.0
30,114.928,53.329,8551.2,0.87413,0.78747,0.83276,0.5754,0.0
31,114.84,53.37,8614.1,0.87401,0.78873,0.83328,0.57628,0.0
32,112.656,54.404,8701.9,0.87534,0.78785,0.83341,0.5774,0.0
33,113.055,54.213,8446.4,0.87523,0.78987,0.83545,0.57827,0.0
34,112.646,54.409,8629.1,0.87662,0.78991,0.83646,0.57942,0.0
35,114.881,53.351,8464.0,0.87565,0.79133,0.83736,0.58041,0.0
36,113.555,53.974,8455.0,0.87587,0.79143,0.83758,0.58125,0.0
37,112.816,54.328,8533.6,0.87737,0.79109,0.83798,0.5823,0.0
38,112.967,54.255,8454.4,0.87662,0.79272,0.83827,0.58282,0.0
39,112.616,54.424,8543.4,0.87776,0.79223,0.83833,0.58344,0.0
40,113.368,54.063,9060.7,0.87669,0.79305,0.83851,0.58386,0.0
