conf,precision,recall,F1,F2,TP,FP,FN
0.0,0.20076345989427163,0.9195427657432814,0.32957165272612704,0.5358497358034532,66688,265484,5835
0.01,0.4294829251624689,0.9012313335079906,0.5817379153204632,0.7389067887626477,65360,86823,7163
0.02,0.5362750383610501,0.8915240682266315,0.6697050049718264,0.7872263226975311,64656,55909,7867
0.03,0.6051214336241453,0.8846572811383975,0.7186638887021978,0.8098364877043903,64158,41867,8365
0.04,0.6536172653617265,0.879886380872275,0.7500587709812403,0.8229113202534812,63812,33817,8711
0.05,0.6890406504065041,0.8764667760572508,0.7715341712537855,0.8312453248662193,63564,28686,8959
0.06,0.7161080200841362,0.8731574810749693,0.7868730234667694,0.8364683504174152,63324,25104,9199
0.07,0.7373401086385141,0.87034458034003,0.7983405848426591,0.8400386481659421,63120,22485,9403
0.08,0.7556729499339656,0.8678626091033189,0.807891510977903,0.842836558805727,62940,20350,9583
0.09,0.7699616275791048,0.8660011306757857,0.81516237053189,0.8449231961384165,62805,18764,9718
0.1,0.7826727604205689,0.864249962080995,0.8214409750663477,0.8466018683105783,62678,17404,9845
0.11,0.7930745920450367,0.8624712160280187,0.8263184316212218,0.8476370131260487,62549,16320,9974
0.12,0.8023233400583405,0.8609130896405278,0.8305862633196313,0.8485204302127416,62436,15383,10087
0.13,0.8104069396938524,0.8592170759621086,0.8340985449823979,0.8489902802037154,62313,14578,10210
0.14,0.8181806220725225,0.8574521186382251,0.8373561709318845,0.8492990909488222,62185,13819,10338
0.15,0.8248196516586733,0.8560732457289412,0.8401558926614071,0.849634473113041,62085,13186,10438
0.16,0.8311993028088758,0.8548322601105857,0.8428501509095357,0.84999876603131,61995,12590,10528
0.17,0.8375806953673753,0.8533568660976518,0.8453951861869244,0.8501542662941199,61888,12001,10635
0.18,0.8430703741097497,0.8520331481047392,0.8475280660005349,0.85022538017425,61792,11502,10731
0.19,0.84785864442643,0.8508748948609407,0.8493640918350495,0.8502699291487655,61708,11073,10815
0.2,0.852280585290294,0.849730430346235,0.8510035973458354,0.8502392397309037,61625,10681,10898
0.21,0.8562085136583126,0.8483929236242296,0.8522828014184398,0.8499446060676388,61528,10333,10995
0.22,0.8600249205482521,0.8470278394440385,0.85347690170198,0.8495957335575726,61429,9998,11094
0.23,0.8641044786633043,0.8457316989093115,0.8548193778570632,0.849343484558524,61335,9646,11188
0.24,0.8677737474495579,0.8444769245618632,0.8559668481261224,0.8490356782414853,61244,9332,11279
0.25,0.8716793980161898,0.843373826234436,0.8572930317959788,0.8488869150058291,61164,9004,11359
0.26,0.8752149736299014,0.8420638969706162,0.8583194541071968,0.8484916691675837,61069,8707,11454
0.27,0.8782247958169482,0.8406850240613323,0.8590449889394558,0.8479340222243856,60969,8454,11554
0.28,0.8812494571982746,0.8394854046302552,0.8598606020803763,0.8475185005763161,60882,8204,11641
0.29,0.8843278154365345,0.8382719964700853,0.8606842265465176,0.8470953466466763,60794,7952,11729
0.3,0.8867439243595552,0.8366862926244089,0.8609881378057779,0.8462405270542034,60679,7750,11844
0.31,0.8895937968102916,0.8352660535278463,0.8615743473406486,0.8455941884942462,60576,7518,11947
0.32,0.8920127512618437,0.833404575100313,0.8617132754970381,0.8445018862651948,60441,7317,12082
0.33,0.8944052419354839,0.8319153923582864,0.8620293043956594,0.8437049011601239,60333,7123,12190
0.34,0.8970756923443621,0.8303296885126098,0.8624131757966346,0.8428722996257199,60218,6909,12305
0.35,0.8994687616909839,0.8287991395833046,0.8626890949278065,0.842030500088256,60107,6718,12416
0.36,0.9018870761596872,0.827047970988514,0.8628477716718935,0.8410053926421142,59980,6525,12543
0.37,0.9038798309178744,0.8255725769755802,0.8629533809444881,0.8401294298575486,59873,6367,12650
0.38,0.905960345272228,0.8234629014243757,0.8627439649817252,0.8387381288780402,59720,6199,12803
0.39,0.9079232058509827,0.8216290004550281,0.8626233234167915,0.8375501093550582,59587,6043,12936
0.4,0.9098241479055388,0.8196985783820305,0.8624131377754566,0.8362663920704722,59447,5892,13076
0.41,0.9116082410824108,0.8175475366435475,0.8620195837543525,0.8347741121611119,59291,5749,13232
0.42,0.9134760977720096,0.8152172414268577,0.8615541549783235,0.8331407441645481,59122,5600,13401
0.43,0.9151376858837044,0.8129145236683535,0.8610025922815729,0.83149043479242,58955,5467,13568
0.44,0.9167017445395444,0.8107772706589633,0.8604920024000117,0.8299575140796364,58800,5343,13723
0.45,0.9183382435905473,0.8080333135694883,0.8596618623244214,0.8279222614042226,58601,5211,13922
0.46,0.9196593038084292,0.8054548212291273,0.8587768303440164,0.825968796043087,58414,5103,14109
0.47,0.921141736021012,0.8027522303269308,0.8578817461779332,0.8239313433004806,58218,4984,14305
0.48,0.9222206319673043,0.799635977551949,0.8565647017118887,0.8214746086833346,57992,4891,14531
0.49,0.9237275939813556,0.7965610909642459,0.8554441663828464,0.8191140313812457,57769,4770,14754
0.5,0.9252043246026128,0.7929484439419219,0.8539861448332703,0.8162856850855079,57507,4649,15016
0.51,0.9261661383192081,0.7895839940432691,0.8524387611554808,0.8135797908615593,57263,4565,15260
0.52,0.9272789403456244,0.7857507273554597,0.8506683983071721,0.8104913723950776,56985,4469,15538
0.53,0.9285363377329446,0.781848517022186,0.8489022299740248,0.807357371895272,56702,4364,15821
0.54,0.9298740271731961,0.7776153771906843,0.846956169135923,0.8039430917488738,56395,4253,16128
0.55,0.9309669278788684,0.7731891951518829,0.8447742081277542,0.8003162786449116,56074,4158,16449
0.56,0.9322453347602168,0.7687492243839885,0.8426398240721849,0.7966938747513546,55752,4052,16771
0.57,0.9331536388140161,0.7637852819105663,0.8400172880507722,0.7925552007142612,55392,3968,17131
0.58,0.9341164887025311,0.758738607062587,0.8373430723579091,0.7883403677374434,55026,3881,17497
0.59,0.9352695390095211,0.7530852281345228,0.8343479556061382,0.7836137829710063,54616,3780,17907
0.6,0.9363766639617397,0.7478179336210582,0.8315419880099969,0.7791995080615269,54234,3685,18289
0.61,0.9375032650147144,0.7423575969002937,0.8285956136975761,0.7746051295037105,53838,3589,18685
0.62,0.9386643233743409,0.7364560208485584,0.8253556168532642,0.7696142850555633,53410,3490,19113
0.63,0.9396645069672495,0.7299201632585525,0.8216175945614552,0.7640282079630052,52936,3399,19587
0.64,0.9407923065882016,0.7230257987121327,0.8176580200999539,0.7581225349017431,52436,3300,20087
0.65,0.9419516445218906,0.7155523075438137,0.8132899737491676,0.751686057291184,51894,3198,20629
0.66,0.9432002059429244,0.7072928588172028,0.8083872442024476,0.7445366295474867,51295,3089,21228
0.67,0.944398912193123,0.6991023537360561,0.8034450791940353,0.7374090255920972,50701,2985,21822
0.68,0.9457250193502105,0.6907601726348882,0.7983807990820279,0.7301282854752627,50096,2875,22427
0.69,0.9473037804644022,0.6806668229389298,0.7921497516709058,0.721269893220963,49364,2746,23159
0.7,0.9489921361250415,0.6705872619720641,0.7858608709703483,0.7123856342228695,48633,2614,23890
0.71,0.950410437403339,0.6609351516070764,0.7796709418739884,0.703808226097273,47933,2501,24590
0.72,0.9521499181272364,0.649449140272741,0.7721944421673907,0.69354662959898,47100,2367,25423
0.73,0.9532342206734438,0.6374391572328778,0.7639894232358287,0.6826713212774189,46229,2268,26294
0.74,0.9547534209028231,0.6243950195110517,0.7550186741363213,0.6708175195024902,45283,2146,27240
0.75,0.9565095155709342,0.6098616990471988,0.7448279346261041,0.6575199505250764,44229,2011,28294
0.76,0.9579994228250494,0.5950526040014892,0.7341158458790509,0.6438373331662385,43155,1892,29368
0.77,0.9599151304982662,0.5801607765812226,0.7232177388165528,0.6300086247170016,42075,1757,30448
0.78,0.9619323398545095,0.5634074707334225,0.7106086956521739,0.6143086096419089,40860,1617,31663
