epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,132.393,1.3506,0.98778,0.98342,0.77615,0.66027,0.69986,0.38546,1.3238,0.87691,0.96123,0.00997396,0.00332465,0.00997396,0.00332465,0.00997396,0.00332465,0.00997396,0.00332465
2,245.795,1.39023,0.87001,0.98013,0.72558,0.61263,0.62965,0.33316,1.48783,1.18442,1.03876,0.0199734,0.00665781,0.0199734,0.00665781,0.0199734,0.00665781,0.0199734,0.00665781
3,360.03,1.48552,0.93876,1.01733,0.74663,0.61372,0.63528,0.32898,1.55348,1.07693,1.0781,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
4,472.596,1.45506,0.91211,1.0166,0.70409,0.61501,0.60059,0.30889,1.55469,1.05875,1.08085,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,584.475,1.36379,0.84344,0.99679,0.79597,0.67776,0.7167,0.41383,1.28409,0.79323,0.99002,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,697.357,1.30768,0.80431,0.98557,0.80515,0.70764,0.74302,0.44514,1.18914,0.74665,0.97268,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,809.65,1.26885,0.77716,0.9736,0.82587,0.71816,0.76076,0.46386,1.13617,0.70836,0.95965,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,922.11,1.23691,0.75761,0.96764,0.82786,0.71927,0.75563,0.46275,1.13058,0.71004,0.96263,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,1034.58,1.21593,0.74156,0.96304,0.80603,0.71877,0.75314,0.45565,1.15339,0.72699,0.97935,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,1147.22,1.19822,0.73154,0.95956,0.83955,0.7381,0.78569,0.49683,1.06088,0.6545,0.94087,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
11,1262.33,1.183,0.7204,0.95695,0.84467,0.74452,0.78866,0.50719,1.02812,0.6368,0.93635,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288,0.0299187,0.00997288
12,1374.99,1.16976,0.70999,0.95199,0.8524,0.75229,0.79742,0.51726,1.00835,0.61492,0.93024,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672,0.0299016,0.0099672
13,1487.61,1.16343,0.70538,0.94834,0.84767,0.7553,0.79833,0.5167,1.0085,0.61815,0.93227,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
14,1601.79,1.14977,0.70025,0.94863,0.84499,0.75872,0.80068,0.52085,0.99923,0.61961,0.9313,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542,0.0298626,0.0099542
15,1714.59,1.14056,0.69294,0.94631,0.85505,0.75544,0.80324,0.52461,0.98153,0.60484,0.92779,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469,0.0298407,0.0099469
16,1829.11,1.13528,0.6901,0.94431,0.86109,0.76214,0.81027,0.53861,0.95508,0.58894,0.92007,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
17,1943.73,1.12355,0.68569,0.94468,0.8555,0.76348,0.80963,0.5367,0.95392,0.59041,0.92209,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068,0.029792,0.00993068
18,2058.53,1.12018,0.68006,0.94119,0.85832,0.77011,0.81398,0.54363,0.94377,0.57749,0.91815,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177,0.0297653,0.00992177
19,2172.22,1.10729,0.67657,0.93894,0.86263,0.76996,0.8178,0.54621,0.93674,0.57144,0.91764,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
20,2285.48,1.10996,0.66991,0.93759,0.86496,0.77673,0.82274,0.55388,0.91704,0.5578,0.91358,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234,0.029707,0.00990234
21,2398.94,1.10442,0.66909,0.93616,0.8649,0.77332,0.82127,0.55362,0.91789,0.55951,0.9143,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183,0.0296755,0.00989183
22,2511.56,1.09831,0.66905,0.93982,0.86816,0.77534,0.82295,0.55746,0.90841,0.55599,0.91196,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
23,2623.72,1.09681,0.66282,0.93475,0.86825,0.77619,0.82458,0.56048,0.90111,0.54946,0.91164,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922,0.0296076,0.00986922
24,2738.27,1.09333,0.66264,0.93518,0.86838,0.78046,0.82542,0.56384,0.89354,0.5444,0.90849,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711,0.0295713,0.00985711
25,2851.62,1.09678,0.66406,0.93546,0.86841,0.77996,0.82719,0.56382,0.89472,0.54644,0.90964,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
26,2964.28,1.08616,0.65953,0.93722,0.87112,0.78269,0.82881,0.56664,0.88702,0.53928,0.90818,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133,0.029494,0.00983133
27,3080.25,1.08141,0.65726,0.93248,0.87258,0.78353,0.8293,0.56857,0.88137,0.53641,0.90757,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765,0.029453,0.00981765
28,3192.78,1.07712,0.65332,0.93188,0.87377,0.78526,0.83128,0.571,0.876,0.53329,0.90486,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
29,3305.77,1.0779,0.65368,0.93081,0.87327,0.78451,0.83149,0.5726,0.87272,0.53199,0.90395,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873,0.0293662,0.00978873
30,3418.47,1.06986,0.65139,0.93021,0.8731,0.78711,0.83149,0.57357,0.86811,0.52731,0.90394,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349,0.0293205,0.00977349
31,3530.72,1.07287,0.64594,0.92893,0.87413,0.78747,0.83276,0.5754,0.86669,0.52535,0.90317,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
