bin_left,bin_right,count
0.0,0.02,390844
0.02,0.04,43990
0.04,0.06,15959
0.06,0.08,8295
0.08,0.1,5127
0.1,0.12,3549
0.12,0.14,2660
0.14,0.16,2028
0.16,0.18,1701
0.18,0.2,1488
0.2,0.22,1156
0.22,0.24,1008
0.24,0.26,950
0.26,0.28,893
0.28,0.3,809
0.3,0.32,810
0.32,0.34,738
0.34,0.36,698
0.36,0.38,696
0.38,0.4,735
0.4,0.42,691
0.42,0.44,741
0.44,0.46,730
0.46,0.48,786
0.48,0.5,824
0.5,0.52,879
0.52,0.54,885
0.54,0.56,962
0.56,0.58,1091
0.58,0.6,1194
0.6,0.62,1275
0.62,0.64,1504
0.64,0.66,1642
0.66,0.68,1810
0.68,0.7,2071
0.7,0.72,2470
0.72,0.74,2631
0.74,0.76,2945
0.76,0.78,3224
0.78,0.8,3425
0.8,0.82,3762
0.82,0.84,3921
0.84,0.86,3961
0.86,0.88,4102
0.88,0.9,4290
0.9,0.92,4683
0.92,0.94,5182
0.94,0.96,3460
0.96,0.98,514
0.98,1.0,0
