bin_left,bin_right,count
0.0,0.02,10608
0.02,0.04,518
0.04,0.06,188
0.06,0.08,103
0.08,0.1,76
0.1,0.12,42
0.12,0.14,39
0.14,0.16,23
0.16,0.18,34
0.18,0.2,26
0.2,0.22,12
0.22,0.24,18
0.24,0.26,8
0.26,0.28,12
0.28,0.3,7
0.3,0.32,8
0.32,0.34,10
0.34,0.36,8
0.36,0.38,9
0.38,0.4,8
0.4,0.42,9
0.42,0.44,9
0.44,0.46,4
0.46,0.48,12
0.48,0.5,11
0.5,0.52,11
0.52,0.54,11
0.54,0.56,18
0.56,0.58,12
0.58,0.6,15
0.6,0.62,12
0.62,0.64,20
0.64,0.66,17
0.66,0.68,24
0.68,0.7,27
0.7,0.72,33
0.72,0.74,38
0.74,0.76,53
0.76,0.78,56
0.78,0.8,65
0.8,0.82,73
0.82,0.84,52
0.84,0.86,54
0.86,0.88,28
0.88,0.9,11
0.9,0.92,5
0.92,0.94,1
0.94,0.96,0
0.96,0.98,0
0.98,1.0,0
