image,gt,TP,FP,FN,precision,recall,F1,F2,inference_ms
collapsed_building_image0001_3.png,43,38,8,5,0.826087,0.883721,0.853933,0.87156,18.013
collapsed_building_image0002_1.png,27,24,3,3,0.888889,0.888889,0.888889,0.888889,22.079
collapsed_building_image0002_3.png,44,39,6,5,0.866667,0.886364,0.876404,0.882353,22.113
collapsed_building_image0004_1.png,23,22,2,1,0.916667,0.956522,0.93617,0.948276,18.47
collapsed_building_image0005_2.png,38,27,14,11,0.658537,0.710526,0.683544,0.699482,19.092
collapsed_building_image0005_4.png,38,32,11,6,0.744186,0.842105,0.790123,0.820513,19.054
collapsed_building_image0010_3.png,26,22,5,4,0.814815,0.846154,0.830189,0.839695,21.978
collapsed_building_image0013_0.png,25,19,4,6,0.826087,0.76,0.791667,0.772358,15.767
collapsed_building_image0018_4.png,29,27,1,2,0.964286,0.931034,0.947368,0.9375,16.178
collapsed_building_image0019_0.png,31,27,4,4,0.870968,0.870968,0.870968,0.870968,19.843
collapsed_building_image0019_2.png,39,36,5,3,0.878049,0.923077,0.9,0.913706,19.424
collapsed_building_image0022_4.png,41,32,8,9,0.8,0.780488,0.790123,0.784314,17.438
collapsed_building_image0024_4.png,33,29,4,4,0.878788,0.878788,0.878788,0.878788,16.136
collapsed_building_image0025_0.png,27,24,2,3,0.923077,0.888889,0.90566,0.895522,16.885
collapsed_building_image0025_1.png,22,20,1,2,0.952381,0.909091,0.930233,0.917431,16.376
collapsed_building_image0026_2.png,44,37,9,7,0.804348,0.840909,0.822222,0.833333,16.259
collapsed_building_image0027_0.png,27,25,3,2,0.892857,0.925926,0.909091,0.919118,16.697
collapsed_building_image0027_1.png,28,25,3,3,0.892857,0.892857,0.892857,0.892857,16.188
collapsed_building_image0028_4.png,41,33,10,8,0.767442,0.804878,0.785714,0.797101,16.14
collapsed_building_image0029_4.png,33,31,4,2,0.885714,0.939394,0.911765,0.928144,16.236
collapsed_building_image0030_2.png,46,41,7,5,0.854167,0.891304,0.87234,0.883621,16.337
collapsed_building_image0030_4.png,38,36,2,2,0.947368,0.947368,0.947368,0.947368,16.308
collapsed_building_image0031_0.png,33,29,3,4,0.90625,0.878788,0.892308,0.884146,16.213
collapsed_building_image0031_1.png,22,20,1,2,0.952381,0.909091,0.930233,0.917431,16.044
collapsed_building_image0031_3.png,37,35,0,2,1.0,0.945946,0.972222,0.956284,16.425
collapsed_building_image0032_1.png,27,25,0,2,1.0,0.925926,0.961538,0.93985,16.189
collapsed_building_image0032_3.png,33,32,1,1,0.969697,0.969697,0.969697,0.969697,15.84
collapsed_building_image0035_0.png,26,26,5,0,0.83871,1.0,0.912281,0.962963,18.748
collapsed_building_image0037_2.png,33,26,8,7,0.764706,0.787879,0.776119,0.783133,16.82
collapsed_building_image0037_4.png,45,40,4,5,0.909091,0.888889,0.898876,0.892857,16.899
collapsed_building_image0039_0.png,30,30,7,0,0.810811,1.0,0.895522,0.955414,16.282
collapsed_building_image0039_1.png,33,31,6,2,0.837838,0.939394,0.885714,0.91716,16.493
collapsed_building_image0039_4.png,27,21,6,6,0.777778,0.777778,0.777778,0.777778,16.595
collapsed_building_image0041_2.png,41,35,7,6,0.833333,0.853659,0.843373,0.849515,15.754
collapsed_building_image0042_2.png,28,25,4,3,0.862069,0.892857,0.877193,0.886525,15.781
collapsed_building_image0044_2.png,35,33,4,2,0.891892,0.942857,0.916667,0.932203,16.63
collapsed_building_image0044_3.png,45,38,12,7,0.76,0.844444,0.8,0.826087,15.95
collapsed_building_image0045_2.png,33,28,6,5,0.823529,0.848485,0.835821,0.843373,15.785
collapsed_building_image0046_2.png,42,36,4,6,0.9,0.857143,0.878049,0.865385,15.706
collapsed_building_image0047_2.png,38,34,4,4,0.894737,0.894737,0.894737,0.894737,15.816
collapsed_building_image0048_0.png,28,24,5,4,0.827586,0.857143,0.842105,0.851064,15.895
collapsed_building_image0048_3.png,46,43,9,3,0.826923,0.934783,0.877551,0.911017,15.722
collapsed_building_image0049_2.png,35,29,7,6,0.805556,0.828571,0.816901,0.823864,16.587
collapsed_building_image0049_3.png,38,33,8,5,0.804878,0.868421,0.835443,0.854922,16.037
collapsed_building_image0050_2.png,47,44,6,3,0.88,0.93617,0.907216,0.92437,16.128
collapsed_building_image0051_1.png,23,20,4,3,0.833333,0.869565,0.851064,0.862069,16.135
collapsed_building_image0051_4.png,41,29,15,12,0.659091,0.707317,0.682353,0.697115,16.212
collapsed_building_image0052_0.png,25,20,3,5,0.869565,0.8,0.833333,0.813008,15.591
collapsed_building_image0053_2.png,42,37,9,5,0.804348,0.880952,0.840909,0.864486,15.586
