image,gt,TP,FP,FN,precision,recall,F1,F2,inference_ms
gss1006_jpg.rf.32aa7f99ebd9eed1e6777ff5a3b64517.jpg,1,1,0,0,1.0,1.0,1.0,1.0,18.498
gss1006_jpg.rf.7420665da812a124c7a8cfd6f9d67bbe.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.985
gss1006_jpg.rf.8ba83f6f0ac292da5003d3bcddd63f7a.jpg,0,0,0,0,0.0,0.0,0.0,0.0,15.719
gss1015_jpg.rf.0ffe8deefec932ca39ed0ce141726e51.jpg,2,1,1,1,0.5,0.5,0.5,0.5,16.281
gss1015_jpg.rf.5ace33228d5369ea6bf22118f6a5dca6.jpg,2,2,0,0,1.0,1.0,1.0,1.0,15.937
gss1015_jpg.rf.8a1644be346d5efbd5a9748bcaef8bb5.jpg,2,2,1,0,0.666667,1.0,0.8,0.909091,15.707
gss1015_jpg.rf.9ada927b3321306afa1ade7709bb6ad8.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.255
gss1025_jpg.rf.3790fe6512d0b9901cd1eb91d2e9f38a.jpg,3,2,0,1,1.0,0.666667,0.8,0.714286,15.829
gss1025_jpg.rf.a14c2a9d0002035bb84edb137c8daaee.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,15.477
gss1025_jpg.rf.b7d7b0cbdfeddc50569063054c09243f.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.281
gss1025_jpg.rf.ce0d3843a1dc33532e0399dc8fed9c74.jpg,2,0,0,2,0.0,0.0,0.0,0.0,15.533
gss1048_jpg.rf.0d91a66a8b142d2bd2d206d8c541e1ba.jpg,1,1,0,0,1.0,1.0,1.0,1.0,17.336
gss1048_jpg.rf.abbdd3562e9c209d0fd50a222d847940.jpg,2,1,0,1,1.0,0.5,0.666667,0.555556,16.406
gss1048_jpg.rf.e8506578995d9f15e12c2d7db6498162.jpg,2,1,0,1,1.0,0.5,0.666667,0.555556,16.454
gss1054_jpg.rf.799a805f9df47a18e8b903ab302b4d48.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.356
gss1054_jpg.rf.a1c20cd187505df04779335315a6fb2c.jpg,1,1,1,0,0.5,1.0,0.666667,0.833333,16.531
gss1054_jpg.rf.ca0622107558592fc6bce13764f3ffd7.jpg,1,1,0,0,1.0,1.0,1.0,1.0,16.321
