epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,964.464,1.23234,0.86452,1.15802,0.87295,0.7994,0.84659,0.59333,1.29673,1.07923,1.45866,9.9966e-05,9.9966e-05,0.066778
2,1872.15,1.175,0.79717,1.13086,0.8726,0.81736,0.86059,0.62371,1.02249,0.65703,1.24215,0.000199185,0.000199185,0.0335439
3,2737.89,1.13427,0.74482,1.10917,0.87575,0.82132,0.86702,0.63085,1.0052,0.64417,1.22331,0.000295301,0.000295301,0.000306635
4,3605.24,1.12411,0.72693,1.10337,0.88441,0.81971,0.86811,0.63234,1.00287,0.63991,1.20792,0.000289572,0.000289572,0.000289572
5,4473.9,1.12373,0.72515,1.09727,0.88213,0.82319,0.87044,0.63429,0.98813,0.62538,1.21443,0.000281632,0.000281632,0.000281632
6,5344.48,1.11256,0.71807,1.09876,0.88299,0.82344,0.87033,0.63407,0.98999,0.61753,1.21464,0.000271639,0.000271639,0.000271639
7,6216.29,1.11103,0.7124,1.09441,0.88524,0.82425,0.87102,0.63533,0.98282,0.60803,1.20235,0.000259752,0.000259752,0.000259752
8,7088.71,1.10507,0.7106,1.09039,0.88384,0.82574,0.87165,0.63617,0.97819,0.60071,1.20109,0.000246157,0.000246157,0.000246157
9,7962.66,1.10564,0.70777,1.09105,0.88496,0.82514,0.87233,0.63707,0.97584,0.59504,1.20405,0.00023107,0.00023107,0.00023107
10,8833.64,1.10418,0.70341,1.08523,0.88496,0.82533,0.87272,0.63791,0.97337,0.59262,1.19849,0.000214728,0.000214728,0.000214728
11,9709.36,1.10217,0.6982,1.08508,0.88562,0.82569,0.87332,0.63851,0.97315,0.58992,1.19928,0.000197389,0.000197389,0.000197389
12,10500.3,1.09021,0.68915,1.07614,0.8852,0.82694,0.87355,0.63919,0.97241,0.58763,1.19724,0.000179326,0.000179326,0.000179326
13,11279.5,1.0932,0.68851,1.08083,0.88578,0.8273,0.87385,0.6399,0.9711,0.58636,1.19705,0.000160824,0.000160824,0.000160824
14,12059.9,1.08778,0.68745,1.07774,0.88663,0.82688,0.874,0.64056,0.96956,0.5857,1.19614,0.000142176,0.000142176,0.000142176
15,12840.2,1.07957,0.6781,1.07702,0.88611,0.82756,0.87399,0.6411,0.96875,0.58546,1.1959,0.000123674,0.000123674,0.000123674
16,13630.2,1.07605,0.68823,1.09944,0.88692,0.82701,0.8742,0.64164,0.96843,0.58441,1.19591,0.000105611,0.000105611,0.000105611
17,14404.4,1.07322,0.68119,1.09532,0.88579,0.82737,0.87408,0.64198,0.96818,0.58258,1.19524,8.82718e-05,8.82718e-05,8.82718e-05
18,15178.7,1.06362,0.66887,1.09055,0.88625,0.82755,0.87399,0.6421,0.96696,0.58131,1.19389,7.19297e-05,7.19297e-05,7.19297e-05
19,15952.6,1.06328,0.66897,1.08947,0.8857,0.82845,0.87393,0.64227,0.96695,0.58065,1.19404,5.68425e-05,5.68425e-05,5.68425e-05
20,16728.8,1.0656,0.6649,1.08888,0.88588,0.82842,0.87392,0.64239,0.96677,0.58063,1.1936,4.32482e-05,4.32482e-05,4.32482e-05
21,17502.7,1.05461,0.66188,1.08902,0.88529,0.82904,0.87387,0.64247,0.96638,0.57993,1.19372,3.1361e-05,3.1361e-05,3.1361e-05
22,18278.6,1.05631,0.66296,1.08647,0.88496,0.82938,0.87387,0.64247,0.96651,0.57986,1.19373,2.13685e-05,2.13685e-05,2.13685e-05
23,19055.3,1.05133,0.65728,1.082,0.88567,0.829,0.87387,0.64245,0.96647,0.57953,1.19355,1.34282e-05,1.34282e-05,1.34282e-05
24,19832.4,1.04824,0.65527,1.08323,0.88649,0.82846,0.87398,0.64241,0.96633,0.57924,1.19325,7.6654e-06,7.6654e-06,7.6654e-06
25,20607.2,1.04957,0.65578,1.0844,0.88633,0.82842,0.87407,0.64247,0.96605,0.57961,1.193,4.17097e-06,4.17097e-06,4.17097e-06
